index,author_name,review_date,reviewer_ratings,review_body
0,Kim Gauhall,"April 29, 2020",1," I cannot login the app, every single time I install it and open it, it always gets stuck when I try to login with Facebook. What happened? Because about few months I can use this app, now I can't, also when I was trying to delete this, it seems to delete FOREVER! I really don't know why, this is rea...Full ReviewI cannot login the app, every single time I install it and open it, it always gets stuck when I try to login with Facebook. What happened? Because about few months I can use this app, now I can't, also when I was trying to delete this, it seems to delete FOREVER! I really don't know why, this is really pissed me off. So I have to view it on website, it is sad for me. I rate it one star, everything has shortcomings, although it has 1 billion downloads."
1,Berry_ Milk,"April 29, 2020",3," This is an updated review. Now that I use this app more frequently because of quarantine, it's been fun and I made tons of new friends. But for some reason, it doesn't let my like anything a lot of times. And today, now it won't let me post or comment anything. I've reported it many times but nothin...Full ReviewThis is an updated review. Now that I use this app more frequently because of quarantine, it's been fun and I made tons of new friends. But for some reason, it doesn't let my like anything a lot of times. And today, now it won't let me post or comment anything. I've reported it many times but nothing seems to be happening. Please fix this Instagram, I spend a lot of time on this app! Pushing that aside, Instagram is a fun app to explore fandoms, share interests, and make new friends!"
2,Ameer H S,"April 29, 2020",1," It was one those fav app for me but not now. If I couldn't upload pics or stories, then what's the use of opening it. I've reinstalled it several times and can post a pic when reinstalled and doesn't work when I post the next one. Lots of technical issues and when I report they say that they can't s...Full ReviewIt was one those fav app for me but not now. If I couldn't upload pics or stories, then what's the use of opening it. I've reinstalled it several times and can post a pic when reinstalled and doesn't work when I post the next one. Lots of technical issues and when I report they say that they can't see all those complaints. How bad is that customer service and I'm upset only because of that."
3,Komal Kataria,"April 30, 2020",1," Why the hell i can't use the ""add to your story"" option on my account? It's really disgusting and annoying. Its been a year now since this feature has been launched and I can't use it yet! Its been half a year now since I've been complaining about my problem continuously , there is no reviews about ...Full ReviewWhy the hell i can't use the ""add to your story"" option on my account? It's really disgusting and annoying. Its been a year now since this feature has been launched and I can't use it yet! Its been half a year now since I've been complaining about my problem continuously , there is no reviews about it , nothing. Is it the customer service you are providing?"
4,Bliss Chris,"April 30, 2020",3," the messaging system is terrible and has so many bugs and the fact that you need multiple other apps to get the full expierience is stupid when they should be built in. overall, not a bad idea but a bad execution. So many features that are found in every other social media are missing here and the m...Full Reviewthe messaging system is terrible and has so many bugs and the fact that you need multiple other apps to get the full expierience is stupid when they should be built in. overall, not a bad idea but a bad execution. So many features that are found in every other social media are missing here and the messaging system is subpar. not being able to unsend things in the process of sending is a terrible decision."
5,Anurag Mohapatra,"April 29, 2020",4, Better than Facebook. Consumes lot of internet. Maybe you could work to make it lighter without compromising any of the features. Well yeah it's my primary social media platform. The direct message service needs a lot of improvement in a way which allows text messages to get delivered with poor netw...Full ReviewBetter than Facebook. Consumes lot of internet. Maybe you could work to make it lighter without compromising any of the features. Well yeah it's my primary social media platform. The direct message service needs a lot of improvement in a way which allows text messages to get delivered with poor network.
6,ralph lucarelli,"April 29, 2020",1," the app will no longer update the feed. had been frozen for 8 hours: UPDATE 7/3/19... app is down AGAIN!! CAN NOT REFRESH OR UPLOAD Update for 9/7.... not working again. I am unable to delete private messages... this app sucks 4/28/20.... app is plagued with glitches now. Can't update pages... won't...Full Reviewthe app will no longer update the feed. had been frozen for 8 hours: UPDATE 7/3/19... app is down AGAIN!! CAN NOT REFRESH OR UPLOAD Update for 9/7.... not working again. I am unable to delete private messages... this app sucks 4/28/20.... app is plagued with glitches now. Can't update pages... won't allow me to make comments to peoples stories. ... won't allow me to open my ""following"" link"
7,Namrata Padhee,"April 29, 2020",3," I love this app but just a suggestion. Could you maybe add an option where we can choose which account we want to enter the app with if there are multiple accounts registered in a particular device? Because sometimes we are not mindful enough and post something meant for another account in the accou...Full ReviewI love this app but just a suggestion. Could you maybe add an option where we can choose which account we want to enter the app with if there are multiple accounts registered in a particular device? Because sometimes we are not mindful enough and post something meant for another account in the account that the app has opened up with. Obviously this feature won't be required for people who have signed in with just one account, it is mostly for people who have signed in with multiple accounts."
8,Michelle Lonergan,"April 29, 2020",2," I have been having a problem all day with this app. I can post something but my caption, none of my tags or location will show up with the picture. I hope this can be fixed. I only gave two stars because I really wish that you would get rid of all the nude/pornographic accounts on your site."
9,Brandon Hurley,"April 30, 2020",2," Can't add more than one account. I have two accounts, one for cosplay and one for photography and I cannot add my cosplay account in the app. I would put my username and password in, and it would just default back to my photography account, even if I told it to forget about that account. Very frustr...Full ReviewCan't add more than one account. I have two accounts, one for cosplay and one for photography and I cannot add my cosplay account in the app. I would put my username and password in, and it would just default back to my photography account, even if I told it to forget about that account. Very frustrating."
10,Sarah m,"April 29, 2020",4, It's a good app but you need to listen to  criticism I got back on my account by chance.  You need to fix the temporary deleted bug. I've had talks with people online who have had trouble getting in there accounts  after they've temporary deleted there account which shouldn't be the case. You should...Full ReviewIt's a good app but you need to listen to  criticism I got back on my account by chance.  You need to fix the temporary deleted bug. I've had talks with people online who have had trouble getting in there accounts  after they've temporary deleted there account which shouldn't be the case. You should be able to login and it be there but instead you have to fill in a report to get it back.
11,Jagdish Prasad,"April 28, 2020",3," After logout problem , humble request , i don't know English , please read full my problem ,when I logout from device it saves my identity and not give options to remove previous info , And it is very irritating , even whenever i uninstalled app and again download it saves information and don't ask ...Full ReviewAfter logout problem , humble request , i don't know English , please read full my problem ,when I logout from device it saves my identity and not give options to remove previous info , And it is very irritating , even whenever i uninstalled app and again download it saves information and don't ask for password I change my account password still didn't remove please it is matter of my privacy ,"
12,Maryam Salih,"April 28, 2020",4," It's one of my favourite apps, but unfortunately this app has a lot of issues, recently i've been struggling with uploading any pics/vids as a post or even to set it as my profile pic, it has techincal issue where it doesn't show any of my pics/vids from my gallery to pick one.. It shows empty squar...Full ReviewIt's one of my favourite apps, but unfortunately this app has a lot of issues, recently i've been struggling with uploading any pics/vids as a post or even to set it as my profile pic, it has techincal issue where it doesn't show any of my pics/vids from my gallery to pick one.. It shows empty squares.. And it only shows my recent pics not the past ones.. Please try to fix this issue, I own more than one account and this issue appears in all my accounts.. Same goes with some of my friends."
