index,author_name,review_date,reviewer_ratings,review_body
0,Daisy Daniella,"April 24, 2020",2," It was a good app when I first started. But it feels like I have to update it every 5 seconds now for it to even function properly. It crashes a lot, has weird glitches such as items or restaurants (sometimes everything) being ""currently unavailable"" for days, not being able to order, getting to che...Full ReviewIt was a good app when I first started. But it feels like I have to update it every 5 seconds now for it to even function properly. It crashes a lot, has weird glitches such as items or restaurants (sometimes everything) being ""currently unavailable"" for days, not being able to order, getting to check out then have the app clear and go back to home page. Long story short it feels like it doesn't function anymore, or at least the chance that it does are stupidly low. You can do better, so do it."
1,Jon Stockwell,"April 23, 2020",1," The app itself was ok and working fine for a while. However, after the last update is force closes on me randomly and doesn't appear to be working at all. What sucks is the service. Drivers randomly cancelling orders, not able to find addresses, food arriving cold, food arriving wrong, etc. I know i...Full ReviewThe app itself was ok and working fine for a while. However, after the last update is force closes on me randomly and doesn't appear to be working at all. What sucks is the service. Drivers randomly cancelling orders, not able to find addresses, food arriving cold, food arriving wrong, etc. I know it's hard to control quality with something like this, but it's just bad. Other similar apps have their issues, but nothing like Uber IMO."
2,Jason Alcantara,"April 22, 2020",3," If you have an issue an need customer support, it is virtually impossible to get any help. The only help they offer is a very limited FAQ. EDIT: In response to the developer's inquiry for more details, essentially I had issues that I later learned were caused by me having duplicate accounts. It woul...Full ReviewIf you have an issue an need customer support, it is virtually impossible to get any help. The only help they offer is a very limited FAQ. EDIT: In response to the developer's inquiry for more details, essentially I had issues that I later learned were caused by me having duplicate accounts. It would be nice if there were a way I could have gotten help directly in the app either via chat with or sending a message to support. Added one star to my since the developer reached out."
3,Joanna Hamer,"April 23, 2020",1," Cannot access app, it ask me for my location, everything is greyed out. It will not go any further. It's been like this for about a month now. Then yesterday I was charged for Eats Pass and I cannot access the app to even cancel it. I went online to see if I can cancel it and it said do it on the ap...Full ReviewCannot access app, it ask me for my location, everything is greyed out. It will not go any further. It's been like this for about a month now. Then yesterday I was charged for Eats Pass and I cannot access the app to even cancel it. I went online to see if I can cancel it and it said do it on the app. I CANNOT ACCESS THE APP. I've uninstalled it a reinstalled it and still the same thing. It's never worked the best but come on."
4,Linsey Park,"April 23, 2020",1," 1st and last time I will ever use this app! I put my information in, including details on how to get to my home. app told me Brian was on his way with my food. No one ever came. I had my phone next to me in case there was an issue. it never rang and I never recieved any notifications. Suddenly it sa...Full Review1st and last time I will ever use this app! I put my information in, including details on how to get to my home. app told me Brian was on his way with my food. No one ever came. I had my phone next to me in case there was an issue. it never rang and I never recieved any notifications. Suddenly it says my order is cancelled?! No attempt to notify my why! Guess Brian just gets a free $42 meal and I get to eat...crackers? Maybe? It says I wasn't charged, but I don't see the money back in my account"
5,Kiersten Collier,"April 24, 2020",2," Whenever I try to use it, it just gives me the option to enter a new address. I don't have one to enter! It worked fine before the recent update! 4/24/20: I cleared the cache and it still doesn't work. I tried to contact support, but there's nothing that covers this on the website and it tells me to...Full ReviewWhenever I try to use it, it just gives me the option to enter a new address. I don't have one to enter! It worked fine before the recent update! 4/24/20: I cleared the cache and it still doesn't work. I tried to contact support, but there's nothing that covers this on the website and it tells me to contact support in the app - which isn't working."
6,Lauren,"April 23, 2020",4," Just had an error saying ""Uber Eats keeps stopping"". Tried closing all apps and restarting my phone but that didn't fix it. I had to uninstall and reinstall for it to open. Also had issues with my map pin- until recently it was incorrect compared to my actual address. It was frustrating to not be ab...Full ReviewJust had an error saying ""Uber Eats keeps stopping"". Tried closing all apps and restarting my phone but that didn't fix it. I had to uninstall and reinstall for it to open. Also had issues with my map pin- until recently it was incorrect compared to my actual address. It was frustrating to not be able to choose my map pin and has caused confusion with drivers to the point where I have to include delivery instructions so they don't get lost. Pin is fine now somehow, though I changed nothing."
7,Mr. Deadhead,"April 23, 2020",1," the fact that you have to go through the uber app and delete any previous payment options because the uber eats app doesn't even let you choose one, and always uses the first on the list (aka the oldest, usually expired), is the stupid design flaw that has made me not use them like 5 times now. also...Full Reviewthe fact that you have to go through the uber app and delete any previous payment options because the uber eats app doesn't even let you choose one, and always uses the first on the list (aka the oldest, usually expired), is the stupid design flaw that has made me not use them like 5 times now. also a 15% service fee that drivers don't get is just bull, and way too much for an app that doesn't even work right."
8,Caeleigh Shana Stuart,"April 24, 2020",3," It definitely has its glitches but overall it's a good app. Many times it shows me a restaurant as available until the last second then says it's out of range after I decide on my order, the tracking on the map sticks a lot and isn't accurate, delivery fees aren't always visible on the app nor websi...Full ReviewIt definitely has its glitches but overall it's a good app. Many times it shows me a restaurant as available until the last second then says it's out of range after I decide on my order, the tracking on the map sticks a lot and isn't accurate, delivery fees aren't always visible on the app nor website until you go to place an order which is odd. Support and help is damn near not existent when you have an issue. That's the most frustrating part."
9,Ibrahim Tencer,"April 13, 2020",3," Service has been good so far but the interface seems designed to be confusing and get you to spend more money. 1) It should allow you to remove items from the same place where you add them instead of digging way into the cart. 2) There should be also a compact list view without pictures so you can a...Full ReviewService has been good so far but the interface seems designed to be confusing and get you to spend more money. 1) It should allow you to remove items from the same place where you add them instead of digging way into the cart. 2) There should be also a compact list view without pictures so you can actually see more than two restaurants at a time. 3) at least the sort button should be more obvious, in order to escape the largely unhelpful default view. The default view is not really a sort order."
