index,author_name,review_date,reviewer_ratings,review_body
0,Cary Brown,"April 24, 2020",1," The newly revised app removes the most helpful features, like ""where is the item in the store"" (complete with in-store map). It replaces that with ""you might like this, too"" suggestions... aka ""push ads."" Rendering it almost entirely useless, yet extremely annoying. This, slong with the mass removsl...Full ReviewThe newly revised app removes the most helpful features, like ""where is the item in the store"" (complete with in-store map). It replaces that with ""you might like this, too"" suggestions... aka ""push ads."" Rendering it almost entirely useless, yet extremely annoying. This, slong with the mass removsl of checkout lines with ""self-check-out"" kiosks, has driven me to give up shopping here. Bye-bye Wally-world."
1,Dio Brando,"April 23, 2020",4," The app gives immediate tracking information which is a good perk, and the packages often arrive early and in great condition! Walmart doesn't have as wide of a selection as, per say, Amazon or eBay, but the quality and overall performance triumphs that weakness. This app was made with quick-deliver...Full ReviewThe app gives immediate tracking information which is a good perk, and the packages often arrive early and in great condition! Walmart doesn't have as wide of a selection as, per say, Amazon or eBay, but the quality and overall performance triumphs that weakness. This app was made with quick-delivery and groceries in mind, so if you're looking to find something other than hobby and work supplies or home appliances and clothes, this wouldn't be the place to look."
2,Kristi Graham,"April 20, 2020",2, It was an awesome app until the latest update (which it forced me to do.) Now I can't sign in because it tells me I don't have an internet connection. Every. Time. (I absolutely have an internet connection.) I've tried deleting and redownloading the app to no avail. It used to be useful and help me ...Full ReviewIt was an awesome app until the latest update (which it forced me to do.) Now I can't sign in because it tells me I don't have an internet connection. Every. Time. (I absolutely have an internet connection.) I've tried deleting and redownloading the app to no avail. It used to be useful and help me find items throughout the store and make lists. Lol oh well. I guess I'll go back to the demented scavenger hunt that is Walmart lol.
3,Erin Morris,"April 22, 2020",1," Absolute trash. You finally fixed the cart issue, then one day you stopped accepting a card that I've used several times. Initially, therebwas a block that my bank removed and I've had no issues anywhere else. Around this time I was able to make a purchase of a smaller amount, then back to not able ...Full ReviewAbsolute trash. You finally fixed the cart issue, then one day you stopped accepting a card that I've used several times. Initially, therebwas a block that my bank removed and I've had no issues anywhere else. Around this time I was able to make a purchase of a smaller amount, then back to not able to purchase at all. There's no way for me to get help. No support. I guess I'll be ordering from Amazon."
4,Jess Garrison,"April 23, 2020",5," Super happy with this app, the quick shipping times, easy returns and i never have issues with pop ups or the app shutting down on its own. I always get great deals on prices and get price matching at the actual store! You can order items and do free same day pick up which i love as well! Super conv...Full ReviewSuper happy with this app, the quick shipping times, easy returns and i never have issues with pop ups or the app shutting down on its own. I always get great deals on prices and get price matching at the actual store! You can order items and do free same day pick up which i love as well! Super convenient and easy especially if you have kids or during this pandemic they have made it super easy and convenient. I have used this app for a few years now and have been happy with everything i order."
5,Tim Matthews,"April 24, 2020",1," I consistently used the list feature which allowed me to add items to a shopping list and would tell me exactly where to find each item, sometimes useful for less commonly bought items. Now I have to wander the store aimlessly? Very safety conscious decision during a pandemic walmart!"
6,Jessica Boyle,"April 14, 2020",1," App is frustrating! You have to type in a very specific search to find the item that you are looking for. It takes a lot of multiple searches and too much time to attempt to shop online to pick up at store. During the coronavirus this is essential especially shopping at a walmart location isn't as ""...Full ReviewApp is frustrating! You have to type in a very specific search to find the item that you are looking for. It takes a lot of multiple searches and too much time to attempt to shop online to pick up at store. During the coronavirus this is essential especially shopping at a walmart location isn't as ""clean"" as walmart claims. Employees don't wear masks or gloves and have no respect for ""social distancing"" which is our number one defense against catching and spreading the infection. DON'T RISK IT!"
7,Jeremy Beattie,"April 18, 2020",1," Used to be a handy shopping app. Now when you open it you have to dismiss a screen asking if you want to do online shopping, then the main screen is 90% ads instead of features you want to use. And the main ad rotates, which is way too distracting. Seems like all they care about is forcing ads down ...Full ReviewUsed to be a handy shopping app. Now when you open it you have to dismiss a screen asking if you want to do online shopping, then the main screen is 90% ads instead of features you want to use. And the main ad rotates, which is way too distracting. Seems like all they care about is forcing ads down your throat instead of a good user experience."
8,Tom,"April 13, 2020",5," This is one of the most complete apps for shopping. Not only does it tell you what they have, but also if it is in store or online, how many they have, and where to find it, and let's you pay when you check out, and keeps you receipts if you need to return. Only downside is their inventory of fast m...Full ReviewThis is one of the most complete apps for shopping. Not only does it tell you what they have, but also if it is in store or online, how many they have, and where to find it, and let's you pay when you check out, and keeps you receipts if you need to return. Only downside is their inventory of fast moving items can't quite keep up, but that is understandable."
9,Mike Wood,"April 19, 2020",1," I frequently ( >50%) get ""We are having problems , please try again later."" When checking out in the Grocery section of this App. Even more problematic: There is only a 1 hour time slot hold time- so "" later "" means never. Once someone has entered checkout and received that nebulous error message, t...Full ReviewI frequently ( >50%) get ""We are having problems , please try again later."" When checking out in the Grocery section of this App. Even more problematic: There is only a 1 hour time slot hold time- so "" later "" means never. Once someone has entered checkout and received that nebulous error message, their slot time should be locked-in until they can checkout. Walmart doesn't accept bug reports/feedback within the App. So customer service is non-existant. Old Grocery App fails also."
