index,author_name,review_date,reviewer_ratings,review_body
0,Bart Opiola,"March 5, 2020",4, Better organized menu items is a must.... Other than that good work
1,Maria Perez,"April 20, 2020",4, App needs some work but your sandwiches are the best ever love love your food 💖💖
2,Shannon Condit,"March 24, 2020",5, Amazing food every time ! Spectacular atmosphere when the world is not in quarantine.
3,Levi Baker,"April 20, 2020",5, Works great if you're not too high to use it!
4,Stephen Lovett,"April 20, 2020",5, Cheba huts app is fast and easy and very effective during these times
5,Conservative Thinker,"December 5, 2019",5, Easy app to use. Great Sandwiches!
6,tim varela,"April 4, 2020",5," Great App, Great Service, Love Chebu Hut❤"
7,Shawn Strohman,"March 1, 2019",5," always dope food. great staff, they seem to always be happy."
8,Audri Jarry,"December 17, 2019",1, I live across the street from cheba hut and this app doesn't even know it's there. I can't do anything with this app. 🤦‍♀️🤷‍♀️
9,Mitchell Fisher,"June 6, 2019",4," Can't pay at the store, otherwise good app."
10,Michael Casey,"April 7, 2020",5, Straight forward and dope!
11,Brian Pfaff,"October 17, 2019",1," Useless, no online ordering. Uninstalled."
12,Jackson Mergler,"September 1, 2019",1, Online ordering is down - useless
13,Fabian Esquer,"March 24, 2020",5, Never expect anything less these guys are awesome. Amazing vibes great food .🤙
14,Isabel Manriquez,"April 4, 2020",5, Easy! User friendly.
15,Leroy Martinez,"April 20, 2020",5, This place is awesome been eating it since 2010 great place thank you for being around and serving us stoners haha
16,Tri Rowe,"April 17, 2020",2, It sucks. It takes forever to order take out orders.
17,K-Man Tech,"March 27, 2020",5, Got my order and efficient
18,Candy Espinoza,"January 8, 2019",5," best subs in phoenix!! never disappointed,"
19,Ginnina Peterson,"July 30, 2018",4, Just download it so I'm hoping it worked but it was hella easy to use
20,Michael Brian,"April 12, 2020",5, Awesomesauce
21,Nani,"January 24, 2018",1, I waited for my sandwich (Glendale location on Olive) for an hour and a half (I live 0.2 miles away from the store) and then got the wrong order when it did come. The delivery boy also didn't want to give me my change back and made such a big deal about getting me my change? I even tipped him? Just ...Full ReviewI waited for my sandwich (Glendale location on Olive) for an hour and a half (I live 0.2 miles away from the store) and then got the wrong order when it did come. The delivery boy also didn't want to give me my change back and made such a big deal about getting me my change? I even tipped him? Just leaving this here in case someone is downloading this so they can order from that location.
22,aubrey Burns,"March 11, 2018",1, It never works!
23,Zachary Julian,"April 13, 2018",1," When users specify to save the credit card, try saving the credit card."
24,Harry Wendt,"March 2, 2018",5," Good  food, great service"
25,Rudy Murrietta,"March 8, 2018",5, Awesome and easy to use
26,Taylor Pitts,"October 13, 2017",3," The app seems useful, but I wish it had my local Cheba Hut included... Longmont opened one at least a month ago, and it only sees the Boulder location..."
27,Jazzi Bella,"October 3, 2017",5, I love the option to pay the store directly and not have to use a credit card.  Great job cheba hut!
28,Vincent Brautigam,"June 9, 2017",5, Very simple and fast and very great food! Cheba just became my new favorite place to eat!
29,Lynn Hudson,"November 1, 2017",5, Easy to use. Love this place and their food
30,Kasaundra Nowak,"May 20, 2017",5, Simplified including tips to up the game
31,Anny Nash,"July 15, 2017",5, Bombbbbbb
32,Brad Matson,"May 18, 2017",5, Love cheba
