index,author_name,review_date,reviewer_ratings,review_body
0,William,"April 22, 2020",1," Excellent App! Until you need to edit your profile to change your residence address or phone number or email address, then a nightmare! UPS and MyChoice UPS are separate accounts. You cannot edit your residence address, email or phone number in profile on UPS or MyUPS. You must email or call UPS and...Full ReviewExcellent App! Until you need to edit your profile to change your residence address or phone number or email address, then a nightmare! UPS and MyChoice UPS are separate accounts. You cannot edit your residence address, email or phone number in profile on UPS or MyUPS. You must email or call UPS and have them make the change to your profile. Changing one does not change both UPS and MyUPS. This is not explained on UPS website."
1,Aaron Abrams,"April 21, 2020",2," Update 4.21.20 - not fixed. Original - I use this app quite often on two devices, a OnePlus 7 Pro and a Moto G7. It is virtually unusable as of late. Will not open, just gets hung up on the UPS splash screen and when it finally does open after a few minutes, it won't allow me to log in using biometr...Full ReviewUpdate 4.21.20 - not fixed. Original - I use this app quite often on two devices, a OnePlus 7 Pro and a Moto G7. It is virtually unusable as of late. Will not open, just gets hung up on the UPS splash screen and when it finally does open after a few minutes, it won't allow me to log in using biometrics that I have set up. When I enter my log in info, it hangs for a few minutes then comes back with a log in error. Uninstalled and reistalled the app and nothing changes."
2,! tomekyo,"April 22, 2020",1," This one is really annoying. I don't know what is worse, the app or the UPS themselves. The app let's you login just to show you exactly the same info you saw prior to logging in. Online it is the same story so I think it has something to do with the whole setup, which is really stupid."
3,Paola Maravilla,"April 22, 2020",4," Easy to use, not 5 starts because not used to automatically detect new tracking numbers and it doesn't any more, now I have to go find the tracking number from the sender and paste it to the app."
4,Peggy Torres,"April 20, 2020",2," I have never had such a hassle trying to change my password, after almost 35 minutes I finally complete this and then they tell me that my email address still needs to be verified! I had just been using my email with them for 35 minutes 🤪"
5,Dre Hardy,"April 22, 2020",5, This app is so user friendly. I downloaded the app then used my Facebook profile to login and just like that.....It had all my packages listed with the location and dates for delivery. I didnt have to put in any tracking numbers or anything.
6,ariana monforte,"April 24, 2020",3, Just downloaded the app today. It isn't populating the addresses in my UPS address book. The names are coming up in the drop down but once a name is selected the drop down disappears and the shipping details remain blank. Please fix. Thank you!
7,Alan Bliss,"April 22, 2020",5," It's always great to be able to track my UPS shipments in this app, as well as to be proactively notified of all incoming shipments, as soon as they are scheduled. This is a VERY useful tool."
8,Leroy Petersen,"April 21, 2020",5," The UPS app is quite useful. It makes tracking multiple packages simple and recently has started showing the truck's actual location for some deliveries. Notes to the driver are possible, as well as lock box codes."
9,Debra Gates,"April 21, 2020",5, This app automatically lets me know when UPS has picked up a package addressed to me and gives me both estimated delivery date/time as well as options to change delivery. It's very handy!
10,John Hutchins,"April 20, 2020",5," Very intuitive and easy to use. The app detects the new tracking number on your phone! Essentially all you have to to is open the app . It is still hard to actually contact someone about an issue though. This was before all of this covid-19 craziness, I can't imagine it's any easier to get in touch ...Full ReviewVery intuitive and easy to use. The app detects the new tracking number on your phone! Essentially all you have to to is open the app . It is still hard to actually contact someone about an issue though. This was before all of this covid-19 craziness, I can't imagine it's any easier to get in touch with them now. Still an excellent app, if tracking your package is the majority of what you plan on using it for."
11,Jim Markus,"April 23, 2020",4, The app has some very useful functions such as being able to show the progress of the delivery on a map. This allows you to plan for the delivery. The only issue I've seen is that from time to time it says it can't display.
12,Alli Garand,"April 21, 2020",5, I like getting the up-to-date notifications on delivery day with the added bonus of being about to follow the delivery truck on the map to see when it's close-by. Very handy for apartment living.
13,Elizabeth Murphy,"April 21, 2020",5," Very helpful app. Easy to use. If I copy a tracking number to enter in the app, it automatically asks if I want to add the number when I open it."
14,Geoff Parker,"April 21, 2020",4," Pretty good. Not perfect, but very effective at tracking packages, deliveries, exceptions, etc. Very stable. Very useful."
15,Cristian Styles,"April 21, 2020",5," Everything seems technically accurate, I can keep track of all my shipments easily and everything seems up to date and organized, very nice work!!"
16,Sue Howell,"April 21, 2020",5," So handy & with me all the time no matter where I am. Can track packages, put them on hold or delay their delivery and follow their delivery on a map the day they do arrive. No more guessing!"
17,Chris Crann,"April 19, 2020",1," I am constantly having login issues.  I use the Sign in with Google feature, which redirects me to a web page for me to login to my Google account.  I can successfully login using this, however, I am frequently logged out and have to repeat this process over and over again since I do not stay logged...Full ReviewI am constantly having login issues.  I use the Sign in with Google feature, which redirects me to a web page for me to login to my Google account.  I can successfully login using this, however, I am frequently logged out and have to repeat this process over and over again since I do not stay logged in to my Google account on my default browser app (which is not Chrome). Please implement the proper Android APIs to better support Google login without relying on the browser for account sign-in."
18,Brandon Evans,"April 22, 2020",1, IMO this Android app is garbage. Constantly logging me out every other time I check it. Tells me it can connect to the internet when I have 4 bars of lte and on WiFi and all my other apps are working fine
19,Jessica Simpson,"April 23, 2020",5, Easy to use! Love being able to track my packages with such quickness and can pretty much rely on the updates being accurate.
20,spiritt M.,"April 19, 2020",5," I really like the UPS app., very easy to use and straightforward. One thing that could be improved is the price of the upgrade. I enjoy getting my packages as soon as possible, but when you order from a store and they put your order in 3 or 4 different packages it gets expensive when you upgrade to ...Full ReviewI really like the UPS app., very easy to use and straightforward. One thing that could be improved is the price of the upgrade. I enjoy getting my packages as soon as possible, but when you order from a store and they put your order in 3 or 4 different packages it gets expensive when you upgrade to have all of them come a day earlier."
21,Steve Holme,"April 21, 2020",3," The app is kind of mediocre compared to some of the competitors' offerings. It does the job and presents your parcel information in a suitable manner. However it could be more helpful. For example : I would like to see driver tracking, when your parcel is out for delivery, with the delivery number (...Full ReviewThe app is kind of mediocre compared to some of the competitors' offerings. It does the job and presents your parcel information in a suitable manner. However it could be more helpful. For example : I would like to see driver tracking, when your parcel is out for delivery, with the delivery number (ie Delivery 42 of 75) and an estimated delivery time so your not sat in all day worrying about leaving the house or nipping to the loo."
22,David Handler,"April 15, 2020",5," Able to accurately track and control delivery of packages. Can easily have an individual package sent to a different address, or held (if I am not available). I can also upgrade UPS postal delivery to regular delivery, since I upgraded to UPS's higher option. Great app., easy to use, very intuitive."
23,Jackie Hull,"April 24, 2020",5, This app does what it says and more. I especially like the Follow My Delivery because you can see where the driver is and know when they will stop.
24,Ann Manchester,"April 1, 2020",5," The app works great. When packages are delivered, I wish the delivery person would knock on the door, or ring the doorbell, so I know they have delivered my package. The app doesn't always immediately let me know that it's been delivered, And I wish the delivery guy would put the packages where I've...Full ReviewThe app works great. When packages are delivered, I wish the delivery person would knock on the door, or ring the doorbell, so I know they have delivered my package. The app doesn't always immediately let me know that it's been delivered, And I wish the delivery guy would put the packages where I've stated them on the app.. I want them on my Front Porch, NOT my Carport. Just discovered the ""Follow My Delivery"". So cool. I can follow where the UPS truck is, and how close it is to my house."
25,Jami Hushbeck,"April 23, 2020",5, I really like having the ability to check where & when my package is & when it should be delivered. Thank you!
