index,author_name,review_date,reviewer_ratings,review_body
0,Jennifer G,"March 30, 2020",3," Why you have a dots game where you aren't able to go diagonally is odd to me. I understand the concept and perhaps adding that option would make the game too much like others or the scoring too easy or just defeat the purpose of matching them up as you go, I just found it weird to do, but perhaps th...Full ReviewWhy you have a dots game where you aren't able to go diagonally is odd to me. I understand the concept and perhaps adding that option would make the game too much like others or the scoring too easy or just defeat the purpose of matching them up as you go, I just found it weird to do, but perhaps that's the point. I thought the graphics were good, but maybe some better instructions/demo mode?"
1,Adam H,"March 6, 2020",1, Primary reason for uninstalling is somehow the app eats massive amounts of battery with background operations. This was topping battery usage after removing from my charger and it wasn't even opened today. I've also seen a subjectively lower battery life since installing before I actually checked th...Full ReviewPrimary reason for uninstalling is somehow the app eats massive amounts of battery with background operations. This was topping battery usage after removing from my charger and it wasn't even opened today. I've also seen a subjectively lower battery life since installing before I actually checked the stats. 2nd reason for removing is you won't get far into the second area before you will definitely have to buy power-ups or pray you get lucky. Progression stops and 5 life timer is rediculous.
2,Scott Sherriff,"January 28, 2020",1," Used to play this game and enjoyed it. Had to uninstall several apps and didn't get around to reloading it...until now. Loaded it and attempted to open it several times with no luck. Waited up to five mintes and waited, but nothing.Unloaded and will find something else. Game isn't worth anything if ...Full ReviewUsed to play this game and enjoyed it. Had to uninstall several apps and didn't get around to reloading it...until now. Loaded it and attempted to open it several times with no luck. Waited up to five mintes and waited, but nothing.Unloaded and will find something else. Game isn't worth anything if you can't play it😕"
3,Brandon M,"January 7, 2020",3," I enjoy this game and play it often but recently, for the past few months or so, the game just barely gives me anything to work with. The majority of the time I'm just getting two dot matches. A lot of the time I get a couple pairs before it needs to reshuffle and then it's just the same problem. It...Full ReviewI enjoy this game and play it often but recently, for the past few months or so, the game just barely gives me anything to work with. The majority of the time I'm just getting two dot matches. A lot of the time I get a couple pairs before it needs to reshuffle and then it's just the same problem. It's just a scramble of dots with very few matches. Used to be I could connect long chains of dots and make multiple squares in a round. It feels like something changed and it's very frustrating."
4,Anna Thorsteinsson,"January 24, 2020",2," I get that you made the game harder to sell more power ups, but it's practically unplayable. I gave up and will play worse looking and worse playing games (that I spend money on) because at least they throw you a bone once in a while. Business department get your s together (good job designers and d...Full ReviewI get that you made the game harder to sell more power ups, but it's practically unplayable. I gave up and will play worse looking and worse playing games (that I spend money on) because at least they throw you a bone once in a while. Business department get your s together (good job designers and devs tho)"
5,susan brown,"April 18, 2020",5, My 5 year old great granddaughter showed me this game and now I'm hooked. Fun for any age...REALLY! :-)
6,Courtney Langman,"March 28, 2020",5, Love this game ! I had it on my super old phone and so excited that I found it again and I downloaded on my new phone!
7,Raelene Coburn,"March 3, 2019",1," The game itself is extremely fun, but I have experienced two major problems.  1) There is no way to block or report someone who sends multiple rematch games or has a racist, sexist, anti-semetic, or otherwise offensive screen name. Game developers do not reply to emails or make upgrades to deal with...Full ReviewThe game itself is extremely fun, but I have experienced two major problems.  1) There is no way to block or report someone who sends multiple rematch games or has a racist, sexist, anti-semetic, or otherwise offensive screen name. Game developers do not reply to emails or make upgrades to deal with these problems.  2) If you buy upgrades or have rematches on one phone, EVERYTHING GETS LOST when you get a new phone.  It's really hard to justify spending points and dollars to get everything back when the owners do not care about the user experience."
8,patrick legasse,"June 15, 2019",2," It's a good game, it really is! Not to many adds. It's just, that I have a few problems. 1: When I am making a box it stops as if I took my finger off even though I made sure I didn't take it off, I even have eye witnesses. 2: so much stuff costs money! dots cost money, endless mode costs money, bac...Full ReviewIt's a good game, it really is! Not to many adds. It's just, that I have a few problems. 1: When I am making a box it stops as if I took my finger off even though I made sure I didn't take it off, I even have eye witnesses. 2: so much stuff costs money! dots cost money, endless mode costs money, backgrounds cost money! 3: ... well there is not a number 3 but... still a couple of problems."
9,Katrina Gigliotti,"August 21, 2019",3," When I just want to play something simple and relaxing, I play this game. I've never gotten into it enough to buy things or play matches, because it doesn't hold my attention for long enough to justify money spent or commitments made. But it's great when I just need a soft distraction."
