index,author_name,review_date,reviewer_ratings,review_body
0,Rutger Taal,"April 24, 2020",1," I had exactly the same problem as others already mentioned: Be careful. I've had this app for a couple of years. They offered premium on a trial basis. I immediately downgraded back to basic because I didn't want to be charged but I was still charged for premium through my google. I tried to contact...Full ReviewI had exactly the same problem as others already mentioned: Be careful. I've had this app for a couple of years. They offered premium on a trial basis. I immediately downgraded back to basic because I didn't want to be charged but I was still charged for premium through my google. I tried to contact support but every time I went to the page it said, 'Oops, s..."
1,baconfamily,"April 24, 2020",3," I have used this for a long time and like it, but a few weeks ago the widget stopped working. The widget is configured to show the recently changed notes, but after I change and note and sync the widget doesn't update, even after waiting a couple days.| I have deleted the widget multiple times, but ...Full ReviewI have used this for a long time and like it, but a few weeks ago the widget stopped working. The widget is configured to show the recently changed notes, but after I change and note and sync the widget doesn't update, even after waiting a couple days.| I have deleted the widget multiple times, but no change. Uninstalled and reinstalled, no change. I tried configuring the widget for shortcuts. But they do not open properly. Update: Widget still broken...."
2,Ricky S,"April 23, 2020",1," The newest updates still had bug. Since Evernote update version 8.2 above, cannot send/share image through Whatsapp, and cannot open the image sent . (Open note that have picture file > select image > tap share button > choose Whatsapp > select contact > send > tap the file send > sender & receiver ...Full ReviewThe newest updates still had bug. Since Evernote update version 8.2 above, cannot send/share image through Whatsapp, and cannot open the image sent . (Open note that have picture file > select image > tap share button > choose Whatsapp > select contact > send > tap the file send > sender & receiver can't see the image files) On 8.1 version all works fine. Please fix. Thank You"
3,Surinder Kumar,"April 26, 2020",1, Never use this for storing sensitive information. This is always accessed by hackers as well as its own employees seeking for ur data. I have got a message of paying dollars for my own data allegedly hacked by someone through this app.
4,Ayat Khrisat,"April 25, 2020",5, This is the first time I wrote a review for an app. I am Android developer and really amazed about what you done guys but can you please enhance image processing for handwriting it's hard sometimes to capture notes. love you Evernote
5,tiger dragon,"April 25, 2020",2, It is a good app but i cant write in arabic from right to left.. It forces me to right from left to right like English.. I hope to fix this issue and it will be 5 stars app. Ty.
6,Peter Haththotuwa,"April 25, 2020",5," Incredible app. Use it constantly. Great for organization, and for creating and working on projects over time"
7,Chandan Nagaraja,"April 22, 2020",1," Evernotes been ok since I started using it 2 or 3 years back but it has suddenly decided to go completely buggy on me today. I'm unable to create new notes, edit old ones. Neither is it allowing me to edit /create (keeps stalling, freezing) not does it save when you try to exit a note. I just lost a...Full ReviewEvernotes been ok since I started using it 2 or 3 years back but it has suddenly decided to go completely buggy on me today. I'm unable to create new notes, edit old ones. Neither is it allowing me to edit /create (keeps stalling, freezing) not does it save when you try to exit a note. I just lost an important note to this. My attempt to uninstall and reinstall doesn't seem to have yielded much either. It was working just fine till two hours back. I'm using a Realme X phone. Kindly help plz"
8,raj katiyar,"April 23, 2020",5, Best app for organizing your schedules and notes. But high price for premium features.
9,Daniel Valencia,"April 5, 2020",1," I think I might be done with evernote and looking for an alternative. It has always been very okay--even with a paid subscription. It was the only option. But I've had a problem the entire time I've used it. If I use evernote across all of my devices (the only reason I use it) it constantly happens ...Full ReviewI think I might be done with evernote and looking for an alternative. It has always been very okay--even with a paid subscription. It was the only option. But I've had a problem the entire time I've used it. If I use evernote across all of my devices (the only reason I use it) it constantly happens that an older version of a note on one device will sync as the most recent version, even though that device hasn't been synced in days. I lose days of information. If I have it on my computer and I didn't close it out and my computer is in sleep mode for a weekend and I've been using it on my phone throughout the weekend and I return to the computer and wake it up, that version of the notes syncs up and screws me out of the entire weekend's worth of data and updates. What kind of idiot programming allows it to think a note that hasn't been updated in two days on one device should override a note that has been constant use on another device. And why hasn't this been issue been dealt with after lord knows how many years evernote has been going. If your data is important and you are a regular user. Look for something else. I am. I'm so fed up I could spit. While I'm at it. The formatting is a crazy person. I can change the formatting for the whole note and then I'll delete a line and the formatting for everything after that will revert back to a previous formatting. Sometimes I'll be making a list and every line will be a larger font. It's seriously like the damn thing is drunk. It doesn't matter what device I use. It has always been an idiosyncracy I put up with because I didn't want to have to find something better."
