index,author_name,review_date,reviewer_ratings,review_body
0,Joe Wilson,"April 25, 2020",4," Decent app, but has anyone had the trouble when you try to look at your devices and they say it's not connected or not available? App is updated, but still get the same message. Google tells me it my router, and the devices have to be closer. I can set the device right next to the router and still g...Full ReviewDecent app, but has anyone had the trouble when you try to look at your devices and they say it's not connected or not available? App is updated, but still get the same message. Google tells me it my router, and the devices have to be closer. I can set the device right next to the router and still get the same message. Troubleshooting help from Google has never helped either."
1,P K,"April 25, 2020",2, The Google home capable smart clock from Lenovo that I have been using for the past couple of months has been working great with the app until a couple days ago. I've uninstalled and reinstalled the home app and factory reset the smart clock several times but it can't seem to connect. There really i...Full ReviewThe Google home capable smart clock from Lenovo that I have been using for the past couple of months has been working great with the app until a couple days ago. I've uninstalled and reinstalled the home app and factory reset the smart clock several times but it can't seem to connect. There really isn't any trouble shooting information I can't find.
2,Manu S,"April 25, 2020",3," I want to just cast the video to Chromecast and not the audio and there is no setting available in the app!! Chromecast is been there for a while now and it's one of the basic need for the users and I didn't find any setting. Please add this feature ASAP, if this feature is there I will change to 5 ...Full ReviewI want to just cast the video to Chromecast and not the audio and there is no setting available in the app!! Chromecast is been there for a while now and it's one of the basic need for the users and I didn't find any setting. Please add this feature ASAP, if this feature is there I will change to 5 🌟. If it is already there ease let me know how to just cast only the video but not the audio. Thanks in advance. On April 25th: I didn't get any useful information with the link provided by Google."
3,JEREMY SMITH,"April 25, 2020",5," It's slow &has problems but let it setup for 20+ minutes. It might link some devices together. It just needs to stay on the wifi i set & my chromecast needs a reliable plug for the power cord. Just design a tini latch. A 10 year old can do it, but i've seed Google Home app drive people completely cr...Full ReviewIt's slow &has problems but let it setup for 20+ minutes. It might link some devices together. It just needs to stay on the wifi i set & my chromecast needs a reliable plug for the power cord. Just design a tini latch. A 10 year old can do it, but i've seed Google Home app drive people completely crazy, attempt to uninstall google & toss the home speaker back in the box. Tip. If it doesn't find your device go to settings & try to ""remove devices"" from the home then delete saved wifi. Start again"
4,Alvin Antony,"April 24, 2020",2, Guys..facing some serious trouble here..the app overall is good but I am facing trouble most of the time when I use it to cast the screen of my device. I don't know what's going wrong..it casts the screen without any problem for 10 to 15 minutes and then after that the audio goes off and it complete...Full ReviewGuys..facing some serious trouble here..the app overall is good but I am facing trouble most of the time when I use it to cast the screen of my device. I don't know what's going wrong..it casts the screen without any problem for 10 to 15 minutes and then after that the audio goes off and it completely freezes. I am using a xiaomi device Android 10 with MIUI 11 OS. Plugged Google chromecast in my TV.
5,Jonathan Ledger,"April 24, 2020",1," Sluggish, no widgets, no way of integrating with other automation tools, glacial rollout of new features and it doesn't even have a dark mode. This app feels as bad as it did over a year ago - which closely mimics Google home in general. The only meaningful updates I ever see to the Google home expe...Full ReviewSluggish, no widgets, no way of integrating with other automation tools, glacial rollout of new features and it doesn't even have a dark mode. This app feels as bad as it did over a year ago - which closely mimics Google home in general. The only meaningful updates I ever see to the Google home experience these days are when voice recognition for various commands breaks for a week or so. What is going on Google?"
6,Frank Catrine,"April 24, 2020",2," No grouping, cannot create rooms, difficult to use. It took me 2 minutes to set up a light group with Ana, on Alexa. With Google home there is no option. Research on line said to set up a room with multiple devices, but there is no add room option. Very limited functionality."
7,marc krigel,"April 24, 2020",2," controls my home... a delight ... Google Customer Service is available 24x7 and is staffed by highly trained technicians/agents. However, lately I get ""sorry it looks like (WeMo or Sonos) is unavailable right now"" or ""... Cannot be reached"", though the individual apps work just fine. Sometimes the e...Full Reviewcontrols my home... a delight ... Google Customer Service is available 24x7 and is staffed by highly trained technicians/agents. However, lately I get ""sorry it looks like (WeMo or Sonos) is unavailable right now"" or ""... Cannot be reached"", though the individual apps work just fine. Sometimes the error message is delivered and the command successfully completed. Worse, there is a WeMo device which has been taken off-line that apparently cannot be removed from Google Home."
8,Wayne Penny,"April 24, 2020",3," I like the app but having trouble with the app on Android TV Nvidia Shield TV & Chromecast keep getting the same message exposing sensitive info during casting /recording .The Nvidia Shield TV is running on Android pie iv tried to turn of ""Let others control your casted media"" but won't turn off on ...Full ReviewI like the app but having trouble with the app on Android TV Nvidia Shield TV & Chromecast keep getting the same message exposing sensitive info during casting /recording .The Nvidia Shield TV is running on Android pie iv tried to turn of ""Let others control your casted media"" but won't turn off on Nvidia Shield TV please help and my phone is Samsung galaxy S10 plus on android 10"
9,Your Neighbor,"April 25, 2020",1," Does Chromecast not allow screen mirroring anymore?? We had a chromecast and set it up some time around 2018. Back then, i can screen mirror to my tv with it (played games to a bigger screen or just fb) but then some time after, i stopped. And at one point i reset my phone so i lost google home app....Full ReviewDoes Chromecast not allow screen mirroring anymore?? We had a chromecast and set it up some time around 2018. Back then, i can screen mirror to my tv with it (played games to a bigger screen or just fb) but then some time after, i stopped. And at one point i reset my phone so i lost google home app. Today, i've re-installed it to try screen mirroring again now that i can play games again. But it seems i can't screen mirror anymore. I can still cast youtube, but it's the games i want bruh."
10,Leon Rawlins,"April 23, 2020",3," What's the point of setting up the audio sync settings of a grouped Chromecast when it forgets all about the parameters 24hrs later? Also, every single audio group should be saved in a file listing sound and sync settings per device. That way when I cast to ""Home Audio"" it might be a little more liv...Full ReviewWhat's the point of setting up the audio sync settings of a grouped Chromecast when it forgets all about the parameters 24hrs later? Also, every single audio group should be saved in a file listing sound and sync settings per device. That way when I cast to ""Home Audio"" it might be a little more lively, and when I cast to ""Bedroom Audio"" the defaults might be subtle. The fact that all of this equipment only seems to use the last known sound level is mind-blowingly dumb for smart gear."
11,Bill Perez,"April 25, 2020",1, Can't find a way to mirror my tablet or phone screens. won't connect to either of my chrome cast devices. before was nice and easy when I use the Chromecast app now I can't use the Chromecast devices I have which I've had for many years so now I can't return them or use them.
12,Ajith Mohan,"April 25, 2020",2," It would be nice to change ok/hey google detection to something else. It's bothersome to say hey google everytime you want to change the music or volume etc. It's a bothersome phrase for repeated ""frequent"" use. Something simpler would do better."
13,Donny Fernando,"April 24, 2020",1," I think the developer team should fix this major issue about the disconnected device. I have google mini nest and now it keeps disconnected, i tried to reboot all the devices, the apps as well, and now i couldn't even set the speaker. Please fix it ASAP"
14,Coletane Lopez,"April 22, 2020",3," These days my Google Nest Mini, have really been annoying me. I feel like throwing it out the window. It doesn't do what I asked for, or it, or even if I asked to play a certain song on music apps. Not happy about ball these days with this AT ALL!!"
15,Edwin Rivera,"April 24, 2020",5," Overall has been great. For once, I can project most things on my phone it's awesome. On the other hand there are movies on other videos on YouTube that are not projected on the tv."
16,Loz B,"April 24, 2020",2, Chromecast now not working on this app since last update. Doesn't even recognise it exists. Otherwise it's ok but the whole 'home' and 'rooms' thing is poorly planned and more confusing than just having a list.
17,Jaman,"April 25, 2020",1, The interface is unintuitive and adding new devices usually doesn't work. It's a joke how this is a multi billion dollar company's best attempt at synchronizing devices in a home.
18,Steve Chapman,"April 23, 2020",2, Speaker groups are flakey as hell. Woe betide you if you try to Bluetooth output from a Google home speaker to another better speaker as you'll only get popping sounds and broken audio. It's been like that for almost 2 years without any signs of a fix.
19,Rachel Galea,"April 26, 2020",1, The screen mirroring stopped functioning altogether. I reset the app. It seems like the function has been removed. Looking at other reviews with the same issue.
20,druid,"April 25, 2020",3, Did you guys pushout an update to Chromecast? Suddenly my TV won't pay the sound. The video can be seen but the audio come from my phone. Was perfectly fine till last night. What did you guys do?
21,Don Woodley,"April 24, 2020",1," After last update lights & smart plugs are coming up as offline even if I uninstall & reinstall through kasa to google home they still won't work on mobile. Wife hasn't done latest update yet, it still works ok on her mobile."
22,The Budder King,"April 22, 2020",1, Very IMPORTANT application that is always glitchy. Should be a huge focus of Google resources if they are selling us smart devices. I shouldn't have to click in the app for half an hour to HOPEFULLY make changes to a Max speaker.
23,ryleek burgess,"April 23, 2020",1, App is a hit or miss it works the first time and after that nothing. I have many Google devices that I can't sync with the app or use for example Netflix or Spotify because they aren't visible on the Google home app.
24,Mario Santos,"April 23, 2020",1," Garbage. Why does Google make you download an extra app to connect your Chromecast? Just make the option available on a web browser instead of forcing people to download another app. And even then, it's a nightmare to setup."
25,Dana Swaney,"April 23, 2020",2," I don't understand why it is so difficult to add a device to different piece of Equipment. Also it only allows me to add one device not 2, a example Garage Door 1 but not Garage 2. I have found this with my cameras also"
26,"Vermithrax, Dracarys","April 26, 2020",3, The instructions for changing the assistants voice is great to bad there is absolutely no way to change it. Other than that I have no problem with this app
27,Wendy Palmer,"April 25, 2020",3, It was good but after the last update my music won't continue to play when I change screens in my phone. It has nothing to do with the player I am using.
28,Robert Hansen,"April 22, 2020",4, I've had issues trying to configure certain items to this app. I have two Chromecast devices and I had a hard time configuring II Chromecast so anyway I don't know how much longer I'm going to use this app.
29,Christine Vendette,"April 22, 2020",1, Really loved this app and was able to do everything I needed. But ever since the update I can no longer connect to my google chromecast. I can no longer use my chromecast so I no longer have tv
30,Dalibor Rikić,"April 24, 2020",4," Great app but I can't add xbox, when I select it on a list, nothing happens, just greyed screen. Is there any solution? (Clear cache and data doesn't help)"
31,Reyes Espinoza,"April 25, 2020",1, Have tried multiple devices and seen different videos. CAN'T switch wifi networks after a month. Should have returned the garbage chromecast that first day I bought it.
32,pradip pinge,"April 25, 2020",4," Earlier it runs fine, but after mi tv updated, Tv screen hangs after connection by google home app, can't play anything from mobile, please solve my problem, its very problematic"
33,vani pappu,"April 25, 2020",2," My Google home mini stopped casting my audio suddenly from my phone, i used to cast my audio earlier don't no what happened suddenly i have uninstalled and installed again but not working please help me out Thanking you"
34,Boss Boots,"April 23, 2020",4, I love this app it seems like every thing I buy that's Bluetooth or smart whatever can be linked to Google home and then I can do a whole bunch more things. Everything becomes 10x's better once I link it to Google home mind blowing 🤯🤯🤯💯💯💯
35,Derek Covington,"April 20, 2020",5," This has become an intrinsic part of our lives; we use it multiple times daily to control the various smart devices connected around our house. I especially love that this syncs with Google Assistant, I use it to turn our lights on and off with the 'Hey Google' function. Extremely easy to use and ef...Full ReviewThis has become an intrinsic part of our lives; we use it multiple times daily to control the various smart devices connected around our house. I especially love that this syncs with Google Assistant, I use it to turn our lights on and off with the 'Hey Google' function. Extremely easy to use and efficient at what it does. Thoroughly satisfied. Only con is that I wish we could use it to control our Ring cameras."
36,Jason skyrme,"April 22, 2020",4, Love the Google ecosystem and this brings everything together really nicely. One star less as not sure why my Nest Smoke alarms aren't included and Google Music not working on my Samsung S8 - 1st world problems though.
37,Kristine Dulce,"April 21, 2020",4," Good overall. However, I am unable to manage my routines. Whenever I open the page, it is completely blank. It has been like this for quite a while. App is up to date and I have cleared the cache. I have a note 10+. My husband has the same phone and it works on his. Please help. Through my search fo...Full ReviewGood overall. However, I am unable to manage my routines. Whenever I open the page, it is completely blank. It has been like this for quite a while. App is up to date and I have cleared the cache. I have a note 10+. My husband has the same phone and it works on his. Please help. Through my search for a solution, it looks like there's quite a bit of us having this issue..on different devices as well. Please fix!!! Thank you!"
38,Charity Alich,"April 25, 2020",4, For the most part I love this app however there are a few issues integrating certain Wi-Fi accounts.
39,Amanda Gard,"April 21, 2020",1," It's great when it connects. WHEN it connects. I've had it a week. My WiFi is full bars with no lags in any device I have, even when the while house are using it, and yet I can never get this app to mirror my screen about 90% of the time. I've used different devices to connect, rebooted a million ti...Full ReviewIt's great when it connects. WHEN it connects. I've had it a week. My WiFi is full bars with no lags in any device I have, even when the while house are using it, and yet I can never get this app to mirror my screen about 90% of the time. I've used different devices to connect, rebooted a million times and still this app rarely casts. My Chromecast device is never recognised no matter what I do. Hopeless!"
40,Mark Taubman,"April 21, 2020",1," Unlike several other people that had a quick and easy experience setting up their new wifi network, my experience was extremely frustrating. Initially it looked as though it was working well and quickly.. found router and setup new network with ease. Then, wouldn't locate access point (which at the ...Full ReviewUnlike several other people that had a quick and easy experience setting up their new wifi network, my experience was extremely frustrating. Initially it looked as though it was working well and quickly.. found router and setup new network with ease. Then, wouldn't locate access point (which at the time was right next to the router), then crashed, restarted and wouldn't let me add access point in. Uninstalled, reinstalled 4 times.. nothing. I kept at this for an hour. Plan to return today."
41,Charles Ostberg,"April 25, 2020",4, Like it for the most part got one for my mom and sister too. But having problems with audio cutting out when using Disney app only
42,Brian Baj,"April 9, 2020",1," The app doesn't work. Fortunately the speaker was free so not a big loss. - Only a few options do anything when clicked inside the app, so i was able to add another user and register my address. That was it. -------' Update: after a year of using the Google mini home as a way to listen to music only...Full ReviewThe app doesn't work. Fortunately the speaker was free so not a big loss. - Only a few options do anything when clicked inside the app, so i was able to add another user and register my address. That was it. -------' Update: after a year of using the Google mini home as a way to listen to music only since that was the only thing it worked for, it stopped working after connecting to new ISP. The instructions were useless for connecting to new WiFi."
43,Damien T,"April 23, 2020",3," Still not a very intuitive interface. Also, having to factory reset your home mini to disconnect it from past other guest users and long gone devices is pretty bad."
44,CC,"April 25, 2020",1, The latest update lost connection to my smart bulbs and will not reconnect even after resetting multiple times. Test before rolling out updates!
45,Sameera Shaakunthala,"April 22, 2020",1," Everything is voice activated, or you have to type it if you can't talk. Would have been useful if frequent commands were in the main screen of the app as shortcuts. I stead, the way it is now, I have to click on the mic, wait till it initializes, and then tap it. Very inefficient. Another problem i...Full ReviewEverything is voice activated, or you have to type it if you can't talk. Would have been useful if frequent commands were in the main screen of the app as shortcuts. I stead, the way it is now, I have to click on the mic, wait till it initializes, and then tap it. Very inefficient. Another problem is, routines are only voice activated. You can't use a timer as it's trigger. Due to those issues, I use this app only to turn off TV and cast my screen. Other than that, I don't find the app useful."
46,issa zaganago,"April 24, 2020",3," Google home App is not fully functional, still pulling data from Grand father App Nest. We google home app to function standard alone only not depending on Nest App for set up"
47,Philip Mak,"April 6, 2020",1," My Chrome Cast suddenly stopped working and was not able to be connected by any device in the house. Yes we had the same WiFi, yes we tried turning it off but to no avail. I did however find a solution. - While the Chromecast is plugged into the TV, hold down the button on the side of the Chromecast...Full ReviewMy Chrome Cast suddenly stopped working and was not able to be connected by any device in the house. Yes we had the same WiFi, yes we tried turning it off but to no avail. I did however find a solution. - While the Chromecast is plugged into the TV, hold down the button on the side of the Chromecast. - hold down until you see a blank screen then the reboot sequence will commence - once it reboots use Home to detect it again and follow the steps on screen and app. Good luck."
48,Michael Santonato,"April 3, 2020",3," It was really great. I really loved it... Especially the home Mini. As with any new technology that people start to love, you really get attached to it. But then things get complicated... Instead of trying to improve things, companies end up making the m worse sometimes. ... Neither of my home minis...Full ReviewIt was really great. I really loved it... Especially the home Mini. As with any new technology that people start to love, you really get attached to it. But then things get complicated... Instead of trying to improve things, companies end up making the m worse sometimes. ... Neither of my home minis work now. I get an error message saying ""required permissions cannot be obtained."" And there seems to be no answers in the help threads. And the help threads are locked for some reason...."
