index,author_name,review_date,reviewer_ratings,review_body
0,Sabah Mehmood,"April 24, 2020",5," Loved this app. As it allows me to save my pics of years ago, even if it is deleted from my gallery. And also the best part is, it gives you a flash back of years ago with cute titles. But one thing I didn't like that there's no privacy to hide the photos, anybody can excess the photos and videos wi...Full ReviewLoved this app. As it allows me to save my pics of years ago, even if it is deleted from my gallery. And also the best part is, it gives you a flash back of years ago with cute titles. But one thing I didn't like that there's no privacy to hide the photos, anybody can excess the photos and videos without any lock. Any which ways the app is awesome."
1,Brandon Kaczor,"April 21, 2020",1," So sad this photo gallery comes pre-loaded on your phone. A very unintuitive and difficult app to use. Sometimes I take a picture with my phone, then going to the Google photos and cannot find the very last picture I took one moment ago. A very frustrating experience to even find a photo you literal...Full ReviewSo sad this photo gallery comes pre-loaded on your phone. A very unintuitive and difficult app to use. Sometimes I take a picture with my phone, then going to the Google photos and cannot find the very last picture I took one moment ago. A very frustrating experience to even find a photo you literally just took, all while some photos from who the hell knows when are sitting right in front of you and you do not want to view. this app makes me want to smash my phone against the wall. 0 stars!"
2,Bob Corso,"April 20, 2020",3," A Great App but with sone major flaws. It forces all photos to be cataloged by date thus offering little flexibility in making albums. I have had to change the dates on hundreds of photos to get them where I want them. There is also no way to 'collapse' timelines or albums, or create sub-catagories ...Full ReviewA Great App but with sone major flaws. It forces all photos to be cataloged by date thus offering little flexibility in making albums. I have had to change the dates on hundreds of photos to get them where I want them. There is also no way to 'collapse' timelines or albums, or create sub-catagories (like the email folders in gmail) therefore forcing you to scroll through hundreds of albums and thousands of pictures. It would be nice to have the location name on the photos much like Apple does."
3,Owen Billo,"April 20, 2020",1," The auto-backup was nice at first, but now it's turned on me. I ran out of storage space (couldn't send or receive emails for a bit) and saw that the main thing using storage was this app. I deleted ~60% of my backed up photos (which I had to back up on a USB because Google automatically deletes pho...Full ReviewThe auto-backup was nice at first, but now it's turned on me. I ran out of storage space (couldn't send or receive emails for a bit) and saw that the main thing using storage was this app. I deleted ~60% of my backed up photos (which I had to back up on a USB because Google automatically deletes photos off your devices too) and turned off sync. What do I see 2 weeks later? All my ""deleted"" photos are back and new photos are still being backed up despite me telling it not to. This is criminal."
4,Riley Robinson,"April 24, 2020",4," Overall, the UI is great, and it has a ton of great features. It really is the best gallery I have ever used. My complaint is that you cannot do a mass download. If you need to download multiple pictures from the cloud to your device, you have to either do them one at a time of go onto the Google ph...Full ReviewOverall, the UI is great, and it has a ton of great features. It really is the best gallery I have ever used. My complaint is that you cannot do a mass download. If you need to download multiple pictures from the cloud to your device, you have to either do them one at a time of go onto the Google photos website wherein you can mass-download."
5,Richard Kimble,"April 13, 2020",1, This app is horrible! The app I had on my other phone was much better! Here are the main reasons: (1) The photos are not in ABC order in the album just randomly placed where you have to scroll all over to find it (2) The number of images you have in an album is not shown (3) When you export files fr...Full ReviewThis app is horrible! The app I had on my other phone was much better! Here are the main reasons: (1) The photos are not in ABC order in the album just randomly placed where you have to scroll all over to find it (2) The number of images you have in an album is not shown (3) When you export files from another source it doesn't keep the same name for most of them. Why? (4) You are not given the option of changing the name of the photo is you chose to. DITCH THE SCREEN MESSAGE! F- grade given!
6,Dax Talbert,"April 23, 2020",5," Love how intuitive Google Photos app is. It takes all the monotonous organization like: option to fix pics orientation, will show you if you have duplicate pics, and you get more group&sort options than gallery or my files!). Google photo app will suggest the items previously listed and you decide w...Full ReviewLove how intuitive Google Photos app is. It takes all the monotonous organization like: option to fix pics orientation, will show you if you have duplicate pics, and you get more group&sort options than gallery or my files!). Google photo app will suggest the items previously listed and you decide whether or not you want to allow changes (sometime I think a pic looks better upside down🧐🤔). I didnt quite understand the high quality vs original resolution back up, but I'll continue reading."
7,Grace C,"April 24, 2020",1," Ever since the update, haven't been able to move photos into different folders without either a problem notification or it being copied instead of just moved. Pictures also randomly upload into my cloud or categorize themselves, and I don't know how, when, or why, so when I want to see a particular ...Full ReviewEver since the update, haven't been able to move photos into different folders without either a problem notification or it being copied instead of just moved. Pictures also randomly upload into my cloud or categorize themselves, and I don't know how, when, or why, so when I want to see a particular pic, need to do some hunting. Finally, some pictures are now just black. Thanks."
8,Robert Mathieson,"April 13, 2020",2," A new issue one has emerged. Since the last 4 updates I can not always edit photos in the app. This is a serious issue for me as I use it frequently each day. The dreaded circle of death arrives when I press Save. The editing and saving processes are inconsistent and either freeze, slow down or fail...Full ReviewA new issue one has emerged. Since the last 4 updates I can not always edit photos in the app. This is a serious issue for me as I use it frequently each day. The dreaded circle of death arrives when I press Save. The editing and saving processes are inconsistent and either freeze, slow down or fail to work. At other times they may work as designed. This is enormousley frustrating so i'm going to be examining other photo apps. Hoping to find a more consistently performing app."
9,Monica S,"April 20, 2020",2," For example, if you want an OLD picture as a Facebook profile picture, it's very difficult to do so using Google photos. If you go through Facebook, it's hard to find such an old picture, since everything is sorted by date. If you go through Google photos, it gives you can option to share directly t...Full ReviewFor example, if you want an OLD picture as a Facebook profile picture, it's very difficult to do so using Google photos. If you go through Facebook, it's hard to find such an old picture, since everything is sorted by date. If you go through Google photos, it gives you can option to share directly to Facebook as a new post, but not as a profile picture. That's why there should be a option to ""promote"" pictures to most recent, so that they are easier to find."
