index,author_name,review_date,reviewer_ratings,review_body
0,Anna Luna,"April 22, 2020",5," Works better on Motorola phone than Google Calendar for notifications. This app pops up individual push notifications that are harder to miss than the ones that come up for Google Calendar. This app could be improved, however, by automatically giving you the option to set a time for a notification. ...Full ReviewWorks better on Motorola phone than Google Calendar for notifications. This app pops up individual push notifications that are harder to miss than the ones that come up for Google Calendar. This app could be improved, however, by automatically giving you the option to set a time for a notification. I have to click too many things to add a notification. Also, if it synced more seamlessly with reminders on Google Calendar and Gmail, that would be helpful."
1,Evan Smith,"April 22, 2020",4," Great app for managing tasks. A few downsides: 1) Can't see tasks in Google Calendar when accessing from your phone. Makes it hard to schedule. 2) When deleting a re-occuring task your only options are to delete it the one time or every single one of them ever. Just like with calendar events, there ...Full ReviewGreat app for managing tasks. A few downsides: 1) Can't see tasks in Google Calendar when accessing from your phone. Makes it hard to schedule. 2) When deleting a re-occuring task your only options are to delete it the one time or every single one of them ever. Just like with calendar events, there should be an option to only delete future tasks and not remove the past ones completed. 3) Re-occuring tasks don't show up in your task list until the day of, so it's hard to edit re-occuring tasks"
2,churvachurva,"April 24, 2020",2," Love the app's UX :) clean and straight to the point, pleasing to the eyes. Suggestions: 1. Hope the notifications that would appear on the phone would have more options when the tasl comes up (e.i. move to another time, focus, etc. instead of just mark as done) 2. Wish there was a framework to over...Full ReviewLove the app's UX :) clean and straight to the point, pleasing to the eyes. Suggestions: 1. Hope the notifications that would appear on the phone would have more options when the tasl comes up (e.i. move to another time, focus, etc. instead of just mark as done) 2. Wish there was a framework to oversee the whole tasks for the day from the different 'lists' from work/personal/ etc...to one look at 'my tasks' or things to do today... If I'm not mistaken that these are not yet incorporated. :)"
3,George Kao,"April 24, 2020",4," 3 features that would make me move from Todoist: 1. A cleaner interface for ""today"" list so that once today's items are done, can look blank, gives great feeling of completion. 2. Ability to set a recurring due date based on completion rather than a set rhythm, e.g. if I set repeat on Monday but I w...Full Review3 features that would make me move from Todoist: 1. A cleaner interface for ""today"" list so that once today's items are done, can look blank, gives great feeling of completion. 2. Ability to set a recurring due date based on completion rather than a set rhythm, e.g. if I set repeat on Monday but I want it done every 7 days and I actually do it Tuesday, have the next occurrence on Tuesday. 3. Three or four levels of priorities within a list."
4,Sam Liveson,"April 23, 2020",4," The widget is beautiful and simple. I like having a list of things to do to look at whenever I have free time. But it's silly that you can't sync the task times with the Google calendar app. Tasks need to be merged as Reminders in Google Calendar, or the Task calendar needs to be available in the Ap...Full ReviewThe widget is beautiful and simple. I like having a list of things to do to look at whenever I have free time. But it's silly that you can't sync the task times with the Google calendar app. Tasks need to be merged as Reminders in Google Calendar, or the Task calendar needs to be available in the App version of Google Calendar."
5,Jan Váňa,"April 24, 2020",2," It boggles my mind that the tasks created in the app STILL don't sync with the Google Calendar on the Android device. As much as I'd love to use this app, until this is made possible, I'm stuck with creating tasks in Google Keep, whose remindes (again, mind-bogglingly) DO sync with both Google Calen...Full ReviewIt boggles my mind that the tasks created in the app STILL don't sync with the Google Calendar on the Android device. As much as I'd love to use this app, until this is made possible, I'm stuck with creating tasks in Google Keep, whose remindes (again, mind-bogglingly) DO sync with both Google Calendars (meaning the web version and the Android version)."
6,Gary Hughes,"March 30, 2020",4," Getting more and more into this app, but it still needs a few extra features, such as being able to share ones's to-do list with other apps, etc. I'd also like to see a prioritizing feature so that to-do lists/items can be ordered according to their relevance and importance, other than simply being ...Full ReviewGetting more and more into this app, but it still needs a few extra features, such as being able to share ones's to-do list with other apps, etc. I'd also like to see a prioritizing feature so that to-do lists/items can be ordered according to their relevance and importance, other than simply being dragged to the top of one's list, which is only way to currently prioritize items. Maybe colour coded or a starring system introduced. Hope this is useful for potential future updates."
7,Laurence Gonsalves,"April 16, 2020",3," It used to be better. They got rid of multiple layers of nesting, which I used all the time. The new version ""helpfully"" offers to corrupt your old data. The fact that tasks disappear instead of getting checked is also a major downgrade. The completed tasks view seems to place tasks in random order,...Full ReviewIt used to be better. They got rid of multiple layers of nesting, which I used all the time. The new version ""helpfully"" offers to corrupt your old data. The fact that tasks disappear instead of getting checked is also a major downgrade. The completed tasks view seems to place tasks in random order, and so there's no clear way to see what I did each day. (Also, on desktop the new keyboard shortcuts are absolutely terrible.) Multi-account support is also broken: if you ""share"" (eg: a web page) to Tasks it places the task in whatever Google account you'd last used in the Tasks app, and there's no way to move a task from one account to another. So you end up with work tasks in your personal task list and vice-versa."
8,Jason Rivette,"April 18, 2020",4," The app is great, but would like a few more features. Ability to sync with calendar, reminders, and have more sublists. Either way, the app is very satisfying. I just go back and forth between this and keep notes, which has more features. But this is great for simple daily task lists"
9,Bob Becker,"April 13, 2020",4," I'm only using Google Tasks because other task apps don't fire notifications properly using Android Beta 3. However, GT has a MAJOR flaw that makes it uncomfortable to use. Repeat tasks do not show up until the next due date after completing the last one. In fact, the task may not show up until some...Full ReviewI'm only using Google Tasks because other task apps don't fire notifications properly using Android Beta 3. However, GT has a MAJOR flaw that makes it uncomfortable to use. Repeat tasks do not show up until the next due date after completing the last one. In fact, the task may not show up until some random time the day it's due. Pretty scary to use; doesn't feel reliable. Future tasks DO show up properly using the calendar app in Chrome on my PC. Please extend that function to Android!"
10,Wendy Dillard,"March 28, 2020",3," This app is good for listing minor unimportant tasks. Using this for any important tasks can be a proplem because there is no pop up reminder that lets you know the task is coming up. You have to manually check to see what tasks need to be done, which if you have the time to continually check your l...Full ReviewThis app is good for listing minor unimportant tasks. Using this for any important tasks can be a proplem because there is no pop up reminder that lets you know the task is coming up. You have to manually check to see what tasks need to be done, which if you have the time to continually check your list it works. However, if your busy doing something and an important task needs to be done you will fail to complete it because there was no alert outside the app to let you know it is coming up."
11,David Mallen,"March 29, 2020",4," For me, there should be a way to sort completed tasks alphabetically this is particularly important for repetitive tasks like groceries where you buy the same things over and over again. I like to go to the completed tasks and just tap on the grocery items that I need now. But it's too difficult to ...Full ReviewFor me, there should be a way to sort completed tasks alphabetically this is particularly important for repetitive tasks like groceries where you buy the same things over and over again. I like to go to the completed tasks and just tap on the grocery items that I need now. But it's too difficult to find what I'm looking for in my lengthy unsorted list. If the list were sorted alphabetically I would be able to find items quickly."
12,Lucas Dondo,"April 4, 2020",3," It's great! It's really simple, and I love it, certainly it's way too simple... There should be some ""Advanced features"" to customize some options/features. It would be awesome if it could be integrated with Google Calendar. Maybe the SubTasks could follow the same due date (Makes sense to me and I ...Full ReviewIt's great! It's really simple, and I love it, certainly it's way too simple... There should be some ""Advanced features"" to customize some options/features. It would be awesome if it could be integrated with Google Calendar. Maybe the SubTasks could follow the same due date (Makes sense to me and I bet also other users/potential users)."
