index,author_name,review_date,reviewer_ratings,review_body
0,Joan Carles Vegas,"April 11, 2020",4," I usually do sudokus to chill and get distracted for some time. I really dig the style and the colors are very helpful, by far the most goodlooking sudoku app in the market. But even if I love challenges, I'd love to have a gamemode without the timer, that allows me to just enter and do some sudokus...Full ReviewI usually do sudokus to chill and get distracted for some time. I really dig the style and the colors are very helpful, by far the most goodlooking sudoku app in the market. But even if I love challenges, I'd love to have a gamemode without the timer, that allows me to just enter and do some sudokus without feeling that extra pressure and becoming stressful instead of enjoyable. Different moods, different game modes. Congrats to the devs :)"
1,Blessed Mama,"February 14, 2020",2," I live the style and color, but the timer is way to short. I am fairly quick at sudoku but I cant go fast enough which makes it no longer fun. The timer should either be increased or have an option if you want to play that way or not. I had deleted it once before and thought I would try again but I ...Full ReviewI live the style and color, but the timer is way to short. I am fairly quick at sudoku but I cant go fast enough which makes it no longer fun. The timer should either be increased or have an option if you want to play that way or not. I had deleted it once before and thought I would try again but I see nothing is different. Plus it doesnt want to load now. Really really want to be able to give it 5 stars... I just cant with that timer."
2,Ruma Adhikary,"March 27, 2020",4, The game is good but I guess the coins and gems should be also used for other things too and not for only continuing the level or getting extra time.(Only for suggestions:- Like buying new boards or something like that the gems or coins can be used).I hope the creators will understand what I am tryi...Full ReviewThe game is good but I guess the coins and gems should be also used for other things too and not for only continuing the level or getting extra time.(Only for suggestions:- Like buying new boards or something like that the gems or coins can be used).I hope the creators will understand what I am trying to say. Otherwise the game exciting.
3,Anna Elder,"April 18, 2020",5, Fun and colorful! Only drawback is that it is a little awkward to get used to removing/deleting numbers in error and using the pencil-in notepad.
4,DB,"February 25, 2020",5, Great variety of puzzles and challenge of time restraint. I appreciate that you can go backnon a level and improve your time. I haven't experienced any glitches and it is my go to favorite.
5,Angel Collins,"February 15, 2020",1, I've uninstalled this game bc it's too hard to tell the squares apart. I found a different one that is much easier to tell. Let me know when you make the lines stick out more.
6,Janhvi Das,"February 19, 2020",3," Its a very nice game i love it , even it is so easy to play but their are so many levels in it i am playing it from 3 months but it is not ending"
7,DJ Kaipat,"March 24, 2020",4, Quite an experience. Tricky at first due to the way it was set up but it is great. Good job developers
8,Rachelle Erickson,"April 7, 2020",5, Great so far! I've never done sudoku like this. Its a good variety!
9,John McGonigle,"April 2, 2020",4, Nice time filler the puzzles are challenging but possible.
10,joshuaisemperor,"February 16, 2020",4, Love the game only a bummer that there isnt a timeless mode or something.
11,Wayne Playford,"March 27, 2020",5, Salright be better with out the bright colours and better lines between the squares
12,christina Williams,"April 10, 2020",5, The game works a whole lot better since the update. Thanks hashcube!
13,AshtHaha ley Ross,"February 24, 2020",5, I love this game so far! It is very fun 2 play! Keep up good work
14,binoj pm,"April 3, 2020",5, This game trains quick thinking in short timings
15,Tamara Rhoten,"December 18, 2019",4," Edit: After several emails, I'm back on my correct level and enjoying the game again. This game is addicting and challenging, love it! I was almost to level 300 and enjoyed this game until it started me over at the beginning!!! I have sent multiple emails to support for over 2 weeks now and they don...Full ReviewEdit: After several emails, I'm back on my correct level and enjoying the game again. This game is addicting and challenging, love it! I was almost to level 300 and enjoyed this game until it started me over at the beginning!!! I have sent multiple emails to support for over 2 weeks now and they don't seem to help. I have all of my coins and gems, but level 5?!?! Going to uninstall if it doesn't get fixed really soon."
16,Sarah Pascual,"November 18, 2019",1," As much as I love the game, daily player, I hate that it kicks me out in the middle of the daily quest as I am in the middle of playing. I am unable to get back in even though I'm close to solving. Please fix this. The update also made the numbers so small at times you can't tell which number is whi...Full ReviewAs much as I love the game, daily player, I hate that it kicks me out in the middle of the daily quest as I am in the middle of playing. I am unable to get back in even though I'm close to solving. Please fix this. The update also made the numbers so small at times you can't tell which number is which or whether that number is correct unless you use a cell check hint. Will update review when this issue is fixed."
17,Joshua Tenpenny,"December 19, 2019",3," Good gradual introduction to sudoku, starting with trivial puzzles. Puzzles on a short timer, pay or watch ads to extend. Paid hints & power-ups. No way for experienced solvers to skip ahead, no option to turn off error checking. (It will not let you make a mistake.) Number buttons show how many lef...Full ReviewGood gradual introduction to sudoku, starting with trivial puzzles. Puzzles on a short timer, pay or watch ads to extend. Paid hints & power-ups. No way for experienced solvers to skip ahead, no option to turn off error checking. (It will not let you make a mistake.) Number buttons show how many left to place. Default interface is select a number and then place it, but can switch to select cell first. Color coding of numbers can be turned off. I'd like the bars dividing the grids to be thicker."
18,Belinda Robinson,"January 10, 2020",4," Really enjoy playing. Lots of different puzzles, so always look forward to new puzzle when l do solve one in allocated time. I am unsure if why we collect coins. The jewels can be used to obtain extra time, but the coins don't seem to be used for anything. 🤷‍♀️"
19,Miguel Rodriguez,"March 20, 2020",4, Fun and simple to use
20,Juanita Cox,"April 20, 2020",5, Love working my mind and that's what this game do for me. thanks
21,GAURAV AGRAWAL,"January 28, 2020",3, Nice..all starts from basics but need to improve.. There is no comptation with other players
22,Alex Cerdan,"November 25, 2019",3, Game is simple and quick. The only issue I have is puzzle 10 is wrong. The twos cross and should technically not be solvable.
23,Catherine Chan-Bhanushali,"January 8, 2020",3," The levels are virtually impossible to solve on time going into level 600 and above. The time limits for some levels are so small, it isn't feasible to solve them"
24,Storm Reign,"April 14, 2020",5, Love this game layout. Motivating.
25,Faith Aldridge,"December 18, 2019",5, I absolutely love this game. Its switch-up of layouts for the sudoku games keeps it interesting and the powerups and view make it even more fun!
26,Tracy Farebrother,"February 3, 2020",4, A game to help pass time when you want to do mindless games.
