index,author_name,review_date,reviewer_ratings,review_body
0,Ian Savoury,"April 26, 2020",1," LESS IS MORE! Enough already with all of the ads before starting any kind of game, or when you leave a game...here we go again with the slew of ads. Also, with all of the in game bonuses, or ""special cards"" to help you win more chips, that in itself has caused my phone to crash due to all of the ani...Full ReviewLESS IS MORE! Enough already with all of the ads before starting any kind of game, or when you leave a game...here we go again with the slew of ads. Also, with all of the in game bonuses, or ""special cards"" to help you win more chips, that in itself has caused my phone to crash due to all of the animations that come with the bonuses. Because it freezes everything, I reboot the app, thus missing out on hands way too much. Stop, just stop! Used to speak highly of this app...no longer do."
1,James Soloman,"April 25, 2020",1," Extremely deceptive advertizing, highly seductive app. The system often welches on awards and support is extremely untrusting and even covertly demeaning to it,s paying users. There is a high lack of explaination of the games. There is lots of collusion between players and extremely high rakes on ma...Full ReviewExtremely deceptive advertizing, highly seductive app. The system often welches on awards and support is extremely untrusting and even covertly demeaning to it,s paying users. There is a high lack of explaination of the games. There is lots of collusion between players and extremely high rakes on many of the games. No details are offered on how jackpots and prizes are distributed, so you are often left in the dark, without being allowed to understand the odds. Well built app from HELL."
2,Fran Gard,"April 14, 2020",5," slow play. If you do not spend money you do not win. You are doing a better job. I like that daily buss. Play is getting a lot better for a poor man. I got some good play. Thank you.play is getting a lot better. Thank you.play has been very good a lot of fun. I really enjoy. Thank new games all the ...Full Reviewslow play. If you do not spend money you do not win. You are doing a better job. I like that daily buss. Play is getting a lot better for a poor man. I got some good play. Thank you.play is getting a lot better. Thank you.play has been very good a lot of fun. I really enjoy. Thank new games all the time, have good time playing.i hit a wrong button and loss my game play. I loss 283,ooo,000 chip. Can I get help.what happen to my old account you have still not given me back my 280000000 million. A"
3,Phillip Blount,"April 15, 2020",1," While I still feel the same, by that I mean I don't trust it...I will say this game is like a drug... In terms of chasing that 1st high and never getting there.... As much as I don't like losing with the best drawing hands to 7/2 or 8/3 it has happen quite a few times and I keep coming back for more...Full ReviewWhile I still feel the same, by that I mean I don't trust it...I will say this game is like a drug... In terms of chasing that 1st high and never getting there.... As much as I don't like losing with the best drawing hands to 7/2 or 8/3 it has happen quite a few times and I keep coming back for more. I guess I'm a Glutton for punishment oh well lol..."
4,Robert Calvanico,"April 18, 2020",3," It is fine. I think when you are winning, the site at times, makes you have a good hand, and someone stays in with 10-2 offsuit and wins. My opinion, no evidence that this happens. Also when you are playing in higher stake games, never are you getting any flops. Over and over for more times, then no...Full ReviewIt is fine. I think when you are winning, the site at times, makes you have a good hand, and someone stays in with 10-2 offsuit and wins. My opinion, no evidence that this happens. Also when you are playing in higher stake games, never are you getting any flops. Over and over for more times, then not you keep losing. Again just an observation."
5,Marques Gaither,"April 25, 2020",3," Highly addictive! Beware of problems with gameplay. 1. Problems with signal fading during play. 2. ""Daily Blitz"" bug, which results in selecting correct pair, showing highlighted as correct but the response of the game is delayed but the game clock is still running resulting in billions in game mone...Full ReviewHighly addictive! Beware of problems with gameplay. 1. Problems with signal fading during play. 2. ""Daily Blitz"" bug, which results in selecting correct pair, showing highlighted as correct but the response of the game is delayed but the game clock is still running resulting in billions in game money loss. 3. Spent over $$$$ real but often left with no money at end of game play. 4. Slow/No response. Wrote into customer service twice about issues I have had with the game but still no response."
6,Brian Warwick,"April 15, 2020",1," They say the cards are random but I've played cards for decades and have never seen so many good starting hands lose to junk hands and when they give you great flops, someone else has a better one way too many times to be a coincidence. I also question if some of the players are actually computer ge...Full ReviewThey say the cards are random but I've played cards for decades and have never seen so many good starting hands lose to junk hands and when they give you great flops, someone else has a better one way too many times to be a coincidence. I also question if some of the players are actually computer generated just to take all your chips to try and get you to buy some. I've never bought any and won't but they sure have many pop ups trying to get you to purchase them."
7,B B,"April 25, 2020",1, TOTAL scam poker. Not realistic at all. DO NOT waste money on this app. The CS bot will be along shortly to reply and assure all that the cards dealt give everyone an equal shot to win. This is true BUT real poker isn't always 50/50. For example AA vs A6o is a 95% chance to win but this app makes it...Full ReviewTOTAL scam poker. Not realistic at all. DO NOT waste money on this app. The CS bot will be along shortly to reply and assure all that the cards dealt give everyone an equal shot to win. This is true BUT real poker isn't always 50/50. For example AA vs A6o is a 95% chance to win but this app makes it a 50/50!!! Donks love this cause they can play dumb and still win. Stay far away from this ridiculous scam if you want real poker experience
8,Bill Hinton,"April 16, 2020",4," I would add the follow things now that I have played for a while...the graphics are great, the games are fun but one thing I have noticed is how many times I lose to the river card when I have a good hand and the river doesn't help me but the dealer. It just seems somewhat pre-planned. The only game...Full ReviewI would add the follow things now that I have played for a while...the graphics are great, the games are fun but one thing I have noticed is how many times I lose to the river card when I have a good hand and the river doesn't help me but the dealer. It just seems somewhat pre-planned. The only game on my phone that I have interruption with internet service whether at home (WIFI) or on LTE service and it interrupts my play...very frustrating and i dont know why it occurs."
9,Giraffx Design,"April 23, 2020",2," Too Complicated, Too much to learn, Too Many Popups. Now it's getting worse. I have lost hands in Omaha because of the idiotic Golden Cards popup that covers the screen when cards are being dealt. This is unbelievable! How is a player supposed to make play decisions if he cannot see the board. Turn ...Full ReviewToo Complicated, Too much to learn, Too Many Popups. Now it's getting worse. I have lost hands in Omaha because of the idiotic Golden Cards popup that covers the screen when cards are being dealt. This is unbelievable! How is a player supposed to make play decisions if he cannot see the board. Turn off that idiotic popup!"
