index,author_name,review_date,reviewer_ratings,review_body
0,Tiana Robinson,"April 15, 2020",5," In terms of the service it's an excellent service if your patient enough to wait for a delivery slot, but still worth using. Quick idea, can you make it so that you can add delivery instructions to your address list instead of at check out to prevent having to re add the same instructions everytime ...Full ReviewIn terms of the service it's an excellent service if your patient enough to wait for a delivery slot, but still worth using. Quick idea, can you make it so that you can add delivery instructions to your address list instead of at check out to prevent having to re add the same instructions everytime you order? It keeps getting deleted everytime you go in or go back to add something you missed."
1,Analia Burgos,"April 22, 2020",2, This app used to be good before COVID-19. Now when you need it the most. The have all kind of service charges that is almost not worth using it. Rather risk it and line up at the store.
2,iftekhar,"April 29, 2020",1," Bug in the app. Didn't allow me to call the shopper, neither could see update on replacement. Too much fees compared to other app. Not recommending to other users."
3,Effie Sosa,"April 21, 2020",3, Mi first experience was great..today however I placed an order and when I put my card info in I was then blocked...and it's the same card I always use and I have sent various messages and still noone has replied.
4,OLIVER MACINTOSH,"April 18, 2020",5, You should be able to put your order in a que and get notified once a shopper has been assigned your order or a notification when shoppers are available. Great service but the app can be improved
5,Trit Sterling,"April 19, 2020",3," Available delivery times do not refresh when they become available, even when closing app and reopening. Had to remove an item in order trigger refresh."
6,Sarmista Barik,"April 11, 2020",5, I liked this app very much. Very helpful for getting essential utilities at our door step. Very quick and ontime service.
7,Anuj Patel,"April 10, 2020",1," I was not able to use the service at all, as since last 2 weeks I am seeing ""Shoppers occupied"" only."
8,Suranjan Das,"April 17, 2020",5, Overall application is good. But please add return policy for some products . Final itemized bill should be provided.
9,Desiree B.,"March 5, 2020",2," It seems like a really nice app, good layout and lots of stores but when I tried to place my first order it has cornershop pop (a $99 a year service that makes your delivery free) checked on the order confirmation page. It will not allow me to uncheck it and I'm not sure if placing an order will aut...Full ReviewIt seems like a really nice app, good layout and lots of stores but when I tried to place my first order it has cornershop pop (a $99 a year service that makes your delivery free) checked on the order confirmation page. It will not allow me to uncheck it and I'm not sure if placing an order will automatically subscribe me to this service? Additionally the service fees for stores seems like a lot, 20% at many stores... Instacart has delivery for the same yearly price with no fees at the store."
10,Alexandre Lebel,"February 8, 2020",2," Received an advertisement telling me about this app and inviting me to install it. I liked the concept so I did, after registering it tells me the service isn't available in my location yet. Thanks for wasting my time. Edit: After reading through other reviews here I'll definitely Heber use this ser...Full ReviewReceived an advertisement telling me about this app and inviting me to install it. I liked the concept so I did, after registering it tells me the service isn't available in my location yet. Thanks for wasting my time. Edit: After reading through other reviews here I'll definitely Heber use this service, this looks like so much trouble and so many different people have issues with the service."
11,Lisa Ragno,"April 13, 2020",1, I have tried to use this several times but there is never times available nor shoppers very disappointed
12,Xceptional 88,"February 23, 2020",1, something is seriously wrong with this app. i downloaded this app entered city Brampton and area code and it said currently not in your area. whereas who recommended me is my neighbor and I used same postal code while she is using it regularly i am being told not in my area. both of us are on androi...Full Reviewsomething is seriously wrong with this app. i downloaded this app entered city Brampton and area code and it said currently not in your area. whereas who recommended me is my neighbor and I used same postal code while she is using it regularly i am being told not in my area. both of us are on android
13,Jason Sakhai,"March 31, 2020",3, Need to add a notification feature to this app so it can notify the user via email or text when their favorite shop has delivery windows available. It is a simple feature to add and it will make it more convenient for shoppers(users of this app).
14,Hanna,"April 7, 2020",5," Really good! Awesome service. Completely recommend, specifically in this hard times"
15,Donna Pettalia,"April 10, 2020",1, I understand that times are difficult right now but I've had an order in my cart for 2 weeks now. Even if I log in and see that there is a delivery spot when I click on it it is gone. Honestly if it's that difficult maybe they need more people. We all have to adapt to the new reality and I'm finding...Full ReviewI understand that times are difficult right now but I've had an order in my cart for 2 weeks now. Even if I log in and see that there is a delivery spot when I click on it it is gone. Honestly if it's that difficult maybe they need more people. We all have to adapt to the new reality and I'm finding that's not happening.
16,Ari Liederman,"April 29, 2020",5," Great communication, produce picked was excellent quality."
17,Kalyan Chakravarthy Jonnada,"April 16, 2020",1," not useful at all, never get the delivery time always ""not available'"
18,Lara W,"February 25, 2020",5, Super convenient! The app has great features like your shopper being able to text you about substitutions and letting you know when they're on their way
19,Steve Bercovici,"March 12, 2020",1," Ordered a couple of times without issue. On the third time, the app wouldn't let me order. An error message prompted me to contact customer service to fix an issue. Representative just told me to wait it for out a couple of hours and that everything is ok, refusing to investigate any further. Absolu...Full ReviewOrdered a couple of times without issue. On the third time, the app wouldn't let me order. An error message prompted me to contact customer service to fix an issue. Representative just told me to wait it for out a couple of hours and that everything is ok, refusing to investigate any further. Absolutely no accountability. No thanks. Terrible customer experience. Evidently, 8 hours later, I was still unable to process the order."
20,Arvind Viswanathan,"April 28, 2020",3, No option to change the app language. Has defaulted to French just because I'm ordering in Montreal.
21,Patricia De Los Angeles R.G,"February 22, 2020",5," I was checking this site I love, thank you Amazing choices and savings, I highly recommend this site for know ones I will choose this site. Thank you"
22,rajesh viswanathan,"April 9, 2020",1, Every time login it says no slot available for delivery
23,Helen Marshall,"April 16, 2020",5, Excellent service. Good communication between the shopper and myself regarding out if stocks and replacements and fast delivery. The service fee was a little high for Costco but worth it since I don't have time to stand in line right now.
24,hasiba Ajaz,"April 2, 2020",5, This was the first time I tried Cornershop and the experience was AMAZING. I would highly recommend this app. And would place more orders in future... Thank you CONERSHOP
