index,author_name,review_date,reviewer_ratings,review_body
0,OMID K.i,"April 26, 2020",4," It is really amazing! It has really helped me and I think it would make a great alternative for chrome, the only two problems I ran into was that there was no tabs section so you couldn't open tabs and multi-task and manage your searches and the other one was that I had a problem downloading stuff a...Full ReviewIt is really amazing! It has really helped me and I think it would make a great alternative for chrome, the only two problems I ran into was that there was no tabs section so you couldn't open tabs and multi-task and manage your searches and the other one was that I had a problem downloading stuff and it really bugged me. I hope you can fix this issues."
1,Asif A. Ali,"April 18, 2020",5," Way sleeker, faster and cutter than the default one. I don't have an option to set Google Go as my default search app though. ☹ The voice search, and app search / launching via Google Go is superb. Highly recommended for older device owners and data savers. 😊 Gotta love Google for innovating simple...Full ReviewWay sleeker, faster and cutter than the default one. I don't have an option to set Google Go as my default search app though. ☹ The voice search, and app search / launching via Google Go is superb. Highly recommended for older device owners and data savers. 😊 Gotta love Google for innovating simpler and powerful apps. Now only if we get a simpler/ lighter version of YouTube app, it would be heaven. 😂"
2,Aaron Amick,"April 18, 2020",5, I performed the search this morning looking for an app that would read website Pages back to me. Google go came up in my search I downloaded it opened or searched for the website address that I wanted read to me pressed play off it went. Incredible. Amazing. I can listen to several Pages worth of in...Full ReviewI performed the search this morning looking for an app that would read website Pages back to me. Google go came up in my search I downloaded it opened or searched for the website address that I wanted read to me pressed play off it went. Incredible. Amazing. I can listen to several Pages worth of information now that I didn't have time to set and read as I'm continuing about my day. Amazing. Incredible. Thanks Sergey thanks Larry thanks alphabet thanks Google.
3,Deepinder Sandhu,"April 15, 2020",5," It's an awesome experience to surf through Google Go. The speed at which we get solutions to all queries is commendable. Google has played a pivotal role in getting something new on table almost at intended intervals. In fact Google is the one that is on Top of the list and is going to great fathoms...Full ReviewIt's an awesome experience to surf through Google Go. The speed at which we get solutions to all queries is commendable. Google has played a pivotal role in getting something new on table almost at intended intervals. In fact Google is the one that is on Top of the list and is going to great fathoms to bring a smile on your face with something new which is introduced when a particular kind of demand arises, Cheers to Google Go app. Google has got the pulse of its customers and rightly so is...."
4,Felipe Suarez,"April 13, 2020",3," Seems good,but in the recent apps there are as many tabs as you'd just closed,instead of just one even if you'd just closed them pressing the back button(should be only one google go app if so).Also,when you go back from a search it takes you to a blank page waiting for you to write again,when I thi...Full ReviewSeems good,but in the recent apps there are as many tabs as you'd just closed,instead of just one even if you'd just closed them pressing the back button(should be only one google go app if so).Also,when you go back from a search it takes you to a blank page waiting for you to write again,when I think you should be taken to the home page.Another thing is,when some pages are loading there's this sign that let you know there's a Lite version of the page,this stops the loading and is frustrating"
5,GRIM reefer,"April 11, 2020",4," I give it 4 stars .. It works great with my phone and has everything i need in one place . However , Im still wondering how this app decided to download to my phone without my permission. I never gave permission to download this app and I even have my setting to not allow this to happen. Yet I got i...Full ReviewI give it 4 stars .. It works great with my phone and has everything i need in one place . However , Im still wondering how this app decided to download to my phone without my permission. I never gave permission to download this app and I even have my setting to not allow this to happen. Yet I got it and dont know how or why. Can someone explain this?"
6,Ricardo Cardenas,"April 18, 2020",5," I was watching movies in YouTube I install an app from YouTube solitary card game and I beat the card game challenge somehow I had 336 points I succeed that's a map give me different kind of games in the slow down in the phone continuously often. I decided to watch previously before p*** tubes and I...Full ReviewI was watching movies in YouTube I install an app from YouTube solitary card game and I beat the card game challenge somehow I had 336 points I succeed that's a map give me different kind of games in the slow down in the phone continuously often. I decided to watch previously before p*** tubes and I stop .. I'm trying to get help say login.. And so today I have been trying to get ahold 😭😂 of mi son and can't till you get back to me ,so if I don't want to get into a routine with you guys for"
7,Fatima Pires,"April 15, 2020",4," It such a great app but there is no NEWS option apart from IMAGES VIDEOS and language when searching for something. WHY IS THIS NOT THERE AS A UNIVERSAL OPTION when it is present in the Parent app. It doesn't make sense whatsoever. Please ass this option. It becomes a harrassment with that option mi...Full ReviewIt such a great app but there is no NEWS option apart from IMAGES VIDEOS and language when searching for something. WHY IS THIS NOT THERE AS A UNIVERSAL OPTION when it is present in the Parent app. It doesn't make sense whatsoever. Please ass this option. It becomes a harrassment with that option missing. Fix it ASAP, GOOGLE"
8,Vollala Sai Teja,"April 9, 2020",3," Compared to the past,the present features of this app are not so good!im not able to see the top searches readily on the home page as soon as i am able to see them before as soon as i click the search bar!!! I plead the google to restore the feature as soon as possible!!"
9,Anup Vishwas,"April 18, 2020",5," Google Go is one of the best browser, its search engine is also better than other, I'm uninstall other all browser after use Google Go, its customize is very good, easy to use, no bugs, no required any permissions, save our internet data, easily access when we have slow network conditions"
