index,author_name,review_date,reviewer_ratings,review_body
0,Arjun P Nair,"April 29, 2020",5," Hike is way faster and mind boggling to use than whataspp. On festive or new year days it becomes bit laggy due to the heavy load, but apart from that it offers way more features like simple cute stickers with awsome themes and finishing. Hikes ability to send a normal free SMS if the other persons ...Full ReviewHike is way faster and mind boggling to use than whataspp. On festive or new year days it becomes bit laggy due to the heavy load, but apart from that it offers way more features like simple cute stickers with awsome themes and finishing. Hikes ability to send a normal free SMS if the other persons data or internet is switched off is worth th praise."
1,Mayank jugran knowledge is power,"April 30, 2020",5," It's the best messaging app and i feel proud in this indian app,sticker's wow;interface wow,everything is wow,but please try to do one thing convence and take all the chatters into hike.before it was tough becz evryone use less ram phone but now people can install more apps and they can keep Hike al...Full ReviewIt's the best messaging app and i feel proud in this indian app,sticker's wow;interface wow,everything is wow,but please try to do one thing convence and take all the chatters into hike.before it was tough becz evryone use less ram phone but now people can install more apps and they can keep Hike also as second app and once they addicted with this definetly there is no chance for other chatting app this app is fantastic in there own"
2,Ambadas Bomen,"April 21, 2020",2," Its a better app,but I think hike just focused on stickers, I think it should make a user friendly interface.. It will definately help in increasing the users. I personally asked many users why they uninstall hike the ans was ""I don't find the interface user friendly""...Pls try to improve interface....Full ReviewIts a better app,but I think hike just focused on stickers, I think it should make a user friendly interface.. It will definately help in increasing the users. I personally asked many users why they uninstall hike the ans was ""I don't find the interface user friendly""...Pls try to improve interface..Make it a bit simpler and easy to handle..."
3,Vipin Pant,"April 29, 2020",2," I having a bad experience with this so called sticker chat app. From the past two days, messages over this platform were taking time to reach to my loved one ....plz don't test my patience???? Not only that, it got hanged few occasions while replying under the receiver's text throughout the conversa...Full ReviewI having a bad experience with this so called sticker chat app. From the past two days, messages over this platform were taking time to reach to my loved one ....plz don't test my patience???? Not only that, it got hanged few occasions while replying under the receiver's text throughout the conversation. Just to inform you I am having the latest Android OS and better internet connectivity so these options r ruled out. Hope to see a acknowledgment atleast!!!!"
4,Saurabh Pathak,"April 17, 2020",5," Whoever is facing problem with delivery of masseges, try this. Turn off ""auto suggest stickers"" option and try again, it will resume immediately. And if other person is also facing this tell them to do the same. Tell me if this works. And for hike team, it is a bug that I found, please look into it....Full ReviewWhoever is facing problem with delivery of masseges, try this. Turn off ""auto suggest stickers"" option and try again, it will resume immediately. And if other person is also facing this tell them to do the same. Tell me if this works. And for hike team, it is a bug that I found, please look into it. Thank you."
5,sajid pathan,"April 27, 2020",4," I have long wanted to backup my account but I am having a lot of difficulty getting backups. Whenever I try to backup, I am not getting the option of backup and reset, There is an option of auto backup in the new version but it is also unable to work."
6,Gunamala Poobalan,"April 26, 2020",3, My issue is the issue of all I suppose. It will be great if the emojis which are typed along with the text are a little bigger like in WhatsApp so that we don't need to strain ourselves to identify whether it is crying emoji or laughing emoji. The second think is that it is great to have such wonder...Full ReviewMy issue is the issue of all I suppose. It will be great if the emojis which are typed along with the text are a little bigger like in WhatsApp so that we don't need to strain ourselves to identify whether it is crying emoji or laughing emoji. The second think is that it is great to have such wonderful pictures as wallpapers but it would be very nice if we could able to see the preview of the picture as wallpaper before applying it.
7,Arnab Paik,"April 24, 2020",4, I am using this for the first time... And it is quite well....i found issues....the app lags sometimes... specially while changing the themes...the dark mode puts even more strain on eyes as its not only darkens the background but also the individual messages.....I like the interface 👍. And I hope ...Full ReviewI am using this for the first time... And it is quite well....i found issues....the app lags sometimes... specially while changing the themes...the dark mode puts even more strain on eyes as its not only darkens the background but also the individual messages.....I like the interface 👍. And I hope developer will fix the issues
8,Poulomi Ganguly,"April 16, 2020",5," Hi, I really am clueless as to how access the back up option for all the Hike media on my phone. As it is taking up a lot of space on my phone and there is no way i can know whether they are backed up or how to do it. Please work on your UI 🙏 and it would be great for an avide Hike-r like me if you...Full ReviewHi, I really am clueless as to how access the back up option for all the Hike media on my phone. As it is taking up a lot of space on my phone and there is no way i can know whether they are backed up or how to do it. Please work on your UI 🙏 and it would be great for an avide Hike-r like me if you introduce video calling option on Hike 😊"
9,Shimizu Shigure,"April 27, 2020",4, Love the app it just needs a bit of some improvements: • It glitches a bit sometimes so improve this • Improve Emojis • Add BTS and some other kpop stickers •///The pictures we share with anyone(like screenshots of chats or something) they are not sent in the same order 😣/// fix this please.... • A...Full ReviewLove the app it just needs a bit of some improvements: • It glitches a bit sometimes so improve this • Improve Emojis • Add BTS and some other kpop stickers •///The pictures we share with anyone(like screenshots of chats or something) they are not sent in the same order 😣/// fix this please.... • Add more FRIENDS (tv show) stickers Please try to do these things and I'll give you 5 stars Thank you! 😁
10,ravi bhargav,"April 22, 2020",3, I want to give it a 5 star but im only concerned about it is its security.When other apps are providig strong end to end encryption hike lacks in this area.The user data can also be shared with a third party also.Signal messaging app privides a 256 bit end to end encryption.I love you guys as it fee...Full ReviewI want to give it a 5 star but im only concerned about it is its security.When other apps are providig strong end to end encryption hike lacks in this area.The user data can also be shared with a third party also.Signal messaging app privides a 256 bit end to end encryption.I love you guys as it feels hike is our app own app..kindly look into this to make it the best
11,paresh kulkarni,"April 21, 2020",2," Many times we get user is offline even when other users are communicating through other social media like whatsapp,fb messenger. Another observations is after getting above message if user send one more message then 1st message will be delivered to other user along with 2nd message like pushing a ca...Full ReviewMany times we get user is offline even when other users are communicating through other social media like whatsapp,fb messenger. Another observations is after getting above message if user send one more message then 1st message will be delivered to other user along with 2nd message like pushing a car from another car.. Please look into this. Thank you"
