index,author_name,review_date,reviewer_ratings,review_body
0,Ravivarma G,"April 11, 2020",5," First thing I love here, no need to register, doesn't need any information about us. We can join with our friends by using random code. That's I love lot. Simple and neat. Some suggestions: chat environment may be added in future. Create point table. Increase multiplayer. Draw options may be added."
1,santosh mule,"April 18, 2020",5, Superb game but sometimes there comes an network issue in both the mobiles which we want to play ......but the app is superb and functions are also too good ..those who are installing this app no need to worry ....this app have safety too.but plzzzz check what's the network problem..
2,Sundararaman Gopalan,"April 25, 2020",5," Very nice game to play...very well suited for playing with friends without any online payment...no chip...no payment required. you can play with your family and friends. Very nice. If you can add 6 players, it would be great."
3,Madhusudhan Amireddi,"April 23, 2020",3," If we receive call, the player gets dropped. Also no drop facility available. Sometimes the game doesn't open. Otherwise the app is very good"
4,RIAZ AHMED,"April 1, 2020",4," Good app, but need some improvement. Need drop option and more players options. Also, it keeps disconnecting, that must be improved."
5,Sarvesh G,"April 12, 2020",2, No chat support for android. Connection time out after 30 seconds of screen time.
6,Naveensai Reddy Vanteddu,"March 29, 2020",5, Presently the app is good and should add 6player option and teen patti should also be included in the app. Over all its a good app for rummy and for free multiplayer mode .
7,Dharani Sri,"April 10, 2020",4, Good app works fine. It would be nice if 6 players can play and if drop option is there.
8,bharath karavadi,"April 18, 2020",1, Am tryng to join a table. Its showing connection lost.. Them i tried to create a table of 4 then also same message.
9,immadi naveen kumar,"April 19, 2020",1," Such a worse app, cant even work properly, all the time says connection issue and exits"
10,Safrin Rameez,"March 25, 2020",4, Sometimes the group button is not appearing...other than that its awesome
11,princy thilak,"April 5, 2020",4, It's really good but i wanted 6 people but the max players are 4
12,Mohaidheen Pichai,"December 5, 2019",1," This is one of theweaste game,it's not working properly , bt it's need a internet.worst worst worsted"
13,indhumathi samy,"September 16, 2019",1, Too much of adds. It's so annoying. Then cards are not grouping weather playing. Very irritating game
14,ARUNA KUMAR J,"February 13, 2019",4, it would be great if we have drop option in the game and switching the tables options.
15,Terra,"February 7, 2019",1," confusing! rules didn't explain a damn thing, definitely not like rummy at all! uninstalled!🤔🙄😣😲😡"
16,Naveen Yapalaparvi,"October 6, 2018",5," Super rummy. It feels like I play Rummy in a palace, with my friends and family. Wow!"
17,hema karthik,"October 8, 2018",5, Loved the online multiplayer feature
18,sirisha chowdary,"April 3, 2020",1, Some times correct show is also declared as wrong by system
19,Suryanarayana Varma,"April 7, 2020",4, Nice game but sometimes I confused.
20,Arvind B,"November 19, 2018",5, Been playing it all day with my wife. The perfect Indian Rummy game on the store
21,Mashahood G,"March 18, 2020",3, jbrdsti comment kiyu lete ho yarr ???
22,Upendra Kvn,"April 21, 2020",4, Upendra it's good
23,Udhayapradap Udhayapradap,"April 7, 2020",5, The real rummy
24,Rashmi Rao,"October 6, 2018",5, Enjoyed playing it! Nice !
25,A Google user,"October 6, 2018",5, Smooth graphics... Awesome feel...
26,Divakar Hs,"March 28, 2019",4, very good for time pass
27,Vilavan Lankford,"March 10, 2019",1, i don't want to sign in with Facebook and it would not accept my name Jim because it said that a name should have at least 4 letters
28,sekaran gnana,"January 4, 2019",5, backround music was boring
29,prajwal acharya,"October 13, 2018",5, Nice game play enjoyed it...
30,A Google user,"October 13, 2018",5, Nice game better than other rummy game i liked it ....
31,Roy Thomas,"April 28, 2020",5, Wow what a wondraful game
32,A Google user,"October 15, 2018",5, Top game i feel it is a good game
33,A Google user,"October 14, 2018",5, In love with the game
34,Rakesh Rakesh,"October 13, 2018",5, Enjoy the game
35,A Google user,"October 15, 2018",5, it is a super game👌👌
36,A Google user,"October 14, 2018",5, It is beautiful
37,Shashank kulal Shashank kulal,"October 14, 2018",5, One of the best game
38,Anupa Shetty,"October 8, 2018",5, Nice game play....
39,A Google user,"October 14, 2018",5, Best time killer loved it plz download😀
40,Rahul Bangera,"October 14, 2018",5, Nice game .love it❤️
41,Karthik Bangera,"October 14, 2018",5, Nice game loved it
42,Shashank Kulal,"October 14, 2018",5, Very nice game
43,HARSHITH KARKERA,"October 14, 2018",5, Addictive..loved it
44,Darshan N,"October 14, 2018",5, Nice game enjoyed it
45,Puneet Shetty,"October 13, 2018",5, super game like it
46,Brenda Lewis,"October 13, 2018",5, Loved this app
47,A Google user,"October 13, 2018",5, Nyc game.. enjoyed...
48,A Google user,"October 14, 2018",5, NYS game play✌️✌️
49,Sanju- Name I like most,"April 30, 2020",1, Cannot play with friends ... Always lost with connection
50,Gvs Raju,"April 7, 2020",5, Add drop
51,Abinaya Subramaniyan,"April 19, 2020",5, Hi super
52,Sowmya dsouza,"April 5, 2020",1, Worst game
53,puvanesh mudaliar,"April 16, 2020",1, Worst ap
54,Sathish K,"April 12, 2020",4, Super
55,Subburaj Perumal,"April 18, 2020",4, Hh
56,swaran khanna,"April 23, 2020",4, Super
57,Pavan Janakiram,"April 29, 2020",5, Super
58,S Chitra,"April 6, 2020",5, Not boring
59,srinivasu nekkanti,"April 16, 2020",5, V good
60,sarath chandra,"April 26, 2020",5, Nice game
61,sambu kutty,"April 23, 2020",5, Nice app
62,tanooj kumar,"April 25, 2020",5, Superb app
63,Ajay Sree Charan G,"May 1, 2020",5, Wonderful app
64,Legoria Sunderraj,"April 29, 2020",4, Nice game
65,dev mallewar,"April 5, 2020",5, Good
66,Guppi Sridhar,"April 19, 2020",5, Good
67,nag raj,"April 24, 2020",5, Good
68,nandini athikam,"April 27, 2020",3, Satisfied
69,nagendra gowda,"December 22, 2019",5, Good
70,Vijith Puthran,"October 13, 2018",5, Sooper game
71,A Google user,"October 13, 2018",5, nice game
72,Rajesh Acharya,"October 14, 2018",5, Super
73,selva mani,"July 20, 2019",5, wow
74,PREMRAJAN SN,"May 28, 2019",5, amazing game.
75,A Google user,"October 13, 2018",5, Nice game
76,A Google user,"October 14, 2018",5, Nice game
77,Neha Amin,"October 14, 2018",5, Nice game
78,Subhash Subhash.D,"October 14, 2018",5, Superb game
79,Sandeep Maindan,"October 13, 2018",5, Nice game
80,Rakshith Shetty,"October 14, 2018",5, Nice game
81,Kiran Kumar,"October 15, 2018",5, Good game
82,lahari vaidya,"October 14, 2018",5, Nice game
83,Jagruthi Gutta,"April 20, 2019",1, bad
84,Sreenath v.s,"April 26, 2019",4, Good
85,Kiran Kulal,"October 17, 2018",3, Nice
86,A Google user,"October 15, 2018",5, Asm game
87,Jasmitha Palan,"October 15, 2018",5, Super
88,Ravi Kant,"April 26, 2020",5, pasti
89,Pramod kumar.s,"December 9, 2019",5, Nice game.
90,A Google user,"October 14, 2018",5, Nice Game....!
91,A Google user,"October 15, 2018",5, Good game👍👍
92,vinoth lss,"November 26, 2018",5, 👌
93,LifeVoyage,"October 13, 2018",5, Adventure game
94,Dixit Shetty,"October 16, 2018",5, Nice game
95,Kishan Rao,"October 6, 2018",5, Nice one
96,Sneha Shetty,"October 13, 2018",5, Nice game
97,A Google user,"October 15, 2018",5, Beautiful game😍😍😍
98,Raghu Nandan,"October 6, 2018",5, Awesome
99,vishwanath D,"October 15, 2018",5, Best
100,Ramesh R,"April 21, 2020",5, Good
