index,author_name,review_date,reviewer_ratings,review_body
0,Genesis Quihuis,"April 16, 2020",2," Tools are great, love overall experience and canvas set up. It worked great for about a week before it kept crashing within a few actions! It wouldn't even save my work. It seems to be a big problem others have mentioned often. It needs fixing and fixing soon or else im not the only who might be lea...Full ReviewTools are great, love overall experience and canvas set up. It worked great for about a week before it kept crashing within a few actions! It wouldn't even save my work. It seems to be a big problem others have mentioned often. It needs fixing and fixing soon or else im not the only who might be leaving. Edit: 4/16/20 will no longer be using the app. It crashes too often and has progressed to corrupting my files completely, unusable. Im using an android device."
1,Pebbles,"April 14, 2020",5," I absolutely love this app! To me it's like the android version of Procreate but, of course not the same. It has excellent ability to customize your brushes to an excellent point. Although I have the full version now, previously I could not load the community for extra brushes and textures. The sele...Full ReviewI absolutely love this app! To me it's like the android version of Procreate but, of course not the same. It has excellent ability to customize your brushes to an excellent point. Although I have the full version now, previously I could not load the community for extra brushes and textures. The selection tool can be confusing at first but as with all programs you'll have to get used to it. I do really recommend buying the full version, it's worth it, and this is a wonderful program for Android!"
2,Gyem Lham,"April 5, 2020",4, Honestly the best app. I'm just a beginner but i did lots of stuffs with this. It is easy and simple. I didn't have to search through net for the tutorial to use the tools. Various brushes that's just amazingggg. Words are not enough to praise it(just saying). Worth the shot. Try it. Edit: it's a gr...Full ReviewHonestly the best app. I'm just a beginner but i did lots of stuffs with this. It is easy and simple. I didn't have to search through net for the tutorial to use the tools. Various brushes that's just amazingggg. Words are not enough to praise it(just saying). Worth the shot. Try it. Edit: it's a great app but i wish they didn't lock the layers and tools after trial😫
3,riddlemuck,"April 11, 2020",4," This app is one of the best on Google Play. I've had it for over a year with no issues until now. Usually it's very reliable & even if I forget to save a project my progress wouldn't disappear when revisiting the app later on. Now saved projects are becoming corrupted. I was working on one and I sav...Full ReviewThis app is one of the best on Google Play. I've had it for over a year with no issues until now. Usually it's very reliable & even if I forget to save a project my progress wouldn't disappear when revisiting the app later on. Now saved projects are becoming corrupted. I was working on one and I saved several times at different points, but the app crashed and I lost over 20 minutes of progress — progress that I had saved seconds before the crash. Loved the app, but needs improvements."
4,Cassandra Shannon,"April 12, 2020",5, I bought this app and it is better than most drawing apps I have seen. It passes up procreate. This app is 10 dollars to get the whole thing. It was totally worth it. Plus you dont have to buy the whole thing to draw. You can just draw without layers and fancy stuff. You do get a free trial to try t...Full ReviewI bought this app and it is better than most drawing apps I have seen. It passes up procreate. This app is 10 dollars to get the whole thing. It was totally worth it. Plus you dont have to buy the whole thing to draw. You can just draw without layers and fancy stuff. You do get a free trial to try the whole version. If you're looking for a free drawing app that is amazing this one is it. You can still draw on it without buying the whole app.
5,Bruna Campos,"April 22, 2020",3," I love this app. I bought the paid version because it's totally worth it. I tried with other Android apps for drawing, and Infinite Painter was the most complete, versatile and intuitive. It's amazing what it can do for the price they are asking. BUT the app still has some quite serious bugs that ma...Full ReviewI love this app. I bought the paid version because it's totally worth it. I tried with other Android apps for drawing, and Infinite Painter was the most complete, versatile and intuitive. It's amazing what it can do for the price they are asking. BUT the app still has some quite serious bugs that make it very frustrating to use the app. The app keeps on crashing and I'm constantly getting kicked out of it. When I reopen the app my work is still there but with a much lower resolution..."
6,oofles noodles,"April 2, 2020",2," At first I recommended this app to my friends and said it was a FREE alternative to pro-create, I thought it was amazing and the interface was great and user friendly, but then the trial ended and basic things such as layers were locked???? I know for a good app it has to make money but locking laye...Full ReviewAt first I recommended this app to my friends and said it was a FREE alternative to pro-create, I thought it was amazing and the interface was great and user friendly, but then the trial ended and basic things such as layers were locked???? I know for a good app it has to make money but locking layers? That's low, ibis paint X is a great and actually free app, it has ads you can use to unlock special brushes, I really dont want to delete this app because some of my best pieces are on here."
7,Fayen Wolfe,"April 2, 2020",1," Constantly crashing and will no longer open ANY of my drawings. The screen just turns black. All the layers are blank. I've tried everything. All my artwork has been destroyed. If this app actually worked, I would never let go of my tablet. Everything is customizable and detailed and beautiful... Ho...Full ReviewConstantly crashing and will no longer open ANY of my drawings. The screen just turns black. All the layers are blank. I've tried everything. All my artwork has been destroyed. If this app actually worked, I would never let go of my tablet. Everything is customizable and detailed and beautiful... However, the app often crashes when I merge layers or hit the undo button. Spare yourself the heartache. Tons of people have reported the same issue online... I should have listened to them."
8,Zayra Maldonado,"April 6, 2020",2," So it appears that after a week your ""free trial"" is over and you cant access basic stuff like filters, brushes and more and i wish you could just watch an ad just like ibis paint x for the paid stuff, and also if you go to community, there might be innapropiate artwork and the app wont tell me, jus...Full ReviewSo it appears that after a week your ""free trial"" is over and you cant access basic stuff like filters, brushes and more and i wish you could just watch an ad just like ibis paint x for the paid stuff, and also if you go to community, there might be innapropiate artwork and the app wont tell me, just imagine a little kid going to the community artwork to see some type of gore or sexual content and nothing happens"
9,Courtney Truax,"April 23, 2020",4," I have a very fun time with this app but the reasons I gave it 4/5 is because you can't use layers and I know its to better help the company but it is kinda hard to make somthing good with out layers,also i cant upload anthing (just a me problem) And it would be very helpful it you would be able to ...Full ReviewI have a very fun time with this app but the reasons I gave it 4/5 is because you can't use layers and I know its to better help the company but it is kinda hard to make somthing good with out layers,also i cant upload anthing (just a me problem) And it would be very helpful it you would be able to undo certain thing so if you were to get somting perfect for your drawing but then you realisze that you messed up after you made that perfect thing for your drawing. I look forward to future work."
10,E Dog,"April 24, 2020",3," This is my first digital art experience. I really like the functionality. 3 stars only due to a few issues. 1) Importing psd files is a joke. Not once has it worked like it claims. Just crashes app. (I'm using a Galaxy S6 Tablet). 2) I would like to request better info on making your own ""brushes"". ...Full ReviewThis is my first digital art experience. I really like the functionality. 3 stars only due to a few issues. 1) Importing psd files is a joke. Not once has it worked like it claims. Just crashes app. (I'm using a Galaxy S6 Tablet). 2) I would like to request better info on making your own ""brushes"". Little simpler, more in-depth....I feel they're inadequate and I'm a physicist! Lol 3) Lastly, writing customer service doesnt seem to work with this company either..."
11,Wobbles and Bean,"April 17, 2020",1," Dismal. Not stable. Also, if you favorite a brush, it becomes unusable for the eraser option, and if you accidentally ""unfavorite"" a brush, it will simply vanish. My favorite outlining brush, the manga inker, is simply GONE. I like this UI, but these bugs are INEXCUSABLE. Especially at this price po...Full ReviewDismal. Not stable. Also, if you favorite a brush, it becomes unusable for the eraser option, and if you accidentally ""unfavorite"" a brush, it will simply vanish. My favorite outlining brush, the manga inker, is simply GONE. I like this UI, but these bugs are INEXCUSABLE. Especially at this price point. You need to fix this. You. Need. To. Fix. This."
12,Annabella Kue,"April 9, 2020",3, This app is great. I love all the tools it has access to. Its's also got a fair price after the trial for all the features it offers. I would have given it a high rating but the app randomly crashes on me. While I don't lose my work it gets frustrating when it keeps happening over and over again.
13,Ellis Gardner,"April 10, 2020",3," The app has been great until today. I was trying to work on a new piece and idk if it was because of me resizing the frame from time to time or if i was running an app along with it, but either way the app crashed, even to the point to where my phone completely froze and i couldnt do anything. I mig...Full ReviewThe app has been great until today. I was trying to work on a new piece and idk if it was because of me resizing the frame from time to time or if i was running an app along with it, but either way the app crashed, even to the point to where my phone completely froze and i couldnt do anything. I might uninstall then reinstall, but if that doesnt work, then idk what to do.."
14,Jovan Kha,"April 14, 2020",3," I love this app. I even paid for the full version. This is one of my fav drawing app. But i still dissapointed with this app performance. There are some bugs that need to be fix. Especially when i just draw something and undo it, the one that gone is the second previous draws, not my previous draw. ...Full ReviewI love this app. I even paid for the full version. This is one of my fav drawing app. But i still dissapointed with this app performance. There are some bugs that need to be fix. Especially when i just draw something and undo it, the one that gone is the second previous draws, not my previous draw. Sometimes i also lose what i just draw, when i press something else & sometimes the apps accidentally stopped and i kicked out from the apps. I hope you can fix it. I love this apps so much. Thankyou"
15,Ashton Miller,"April 25, 2020",4," After using this app for about 6 months and comparing it to other alternatives this is by far the best app currently on android. One of the biggest issues is the various bugs. Layers will become invisible, it may delete random layers,sometimes crashes. Another thing is when it comes to art that invo...Full ReviewAfter using this app for about 6 months and comparing it to other alternatives this is by far the best app currently on android. One of the biggest issues is the various bugs. Layers will become invisible, it may delete random layers,sometimes crashes. Another thing is when it comes to art that involes text its really hard seeing as theres theres no text tool. But over all a great app and would recomend if your looking for a cheaper way to get into digital illustrating!"
16,Melody West,"April 29, 2020",2," Was in the middle of making a sketch I really liked and the app just crashed for no reason. It's not the first time this happens, if the issue doesn't get fixed I might have to look for another drawing app, very disappointing as I've already paid the 15 bucks, because in the beginning it was working...Full ReviewWas in the middle of making a sketch I really liked and the app just crashed for no reason. It's not the first time this happens, if the issue doesn't get fixed I might have to look for another drawing app, very disappointing as I've already paid the 15 bucks, because in the beginning it was working fine and looked promising."
17,DAN SPLOSHGOSH,"April 5, 2020",4," I Love it, with two exceptions I can't scroll through or look at my pictures and zoom in and out without loading the picture. The use of the term overwrite instead of save is confusing. Otherwise it would be five stars.I know that sounds a bit mean. I'm using it on my first Chrombook and finding tha...Full ReviewI Love it, with two exceptions I can't scroll through or look at my pictures and zoom in and out without loading the picture. The use of the term overwrite instead of save is confusing. Otherwise it would be five stars.I know that sounds a bit mean. I'm using it on my first Chrombook and finding that Chromebook and related programs lack intuitive functionality that I have always found with Samsung products. Best Drawing App I have found. Thank you"
18,__abk.__,"April 12, 2020",4," it's a really good app, and it's a great replacement for procreate while my ipad is out of commission. my favourite feature is that you.l can make the brushes have a slightly different hue with each brushstroke. however, when i'm listening to music or using my phones splitscreen to watch youtube, th...Full Reviewit's a really good app, and it's a great replacement for procreate while my ipad is out of commission. my favourite feature is that you.l can make the brushes have a slightly different hue with each brushstroke. however, when i'm listening to music or using my phones splitscreen to watch youtube, this app closes them down. i find that really annoying and is the main contributor to why i only gave this a 4 star rating. overall, it is a great app, and has the ability to customise your interface."
19,Jayden,"April 15, 2020",2, When you make a mistake you have to erase like the whole thing so your mistake is gone and there is no back button! It's so annoying! And there isn't the thing where you draw something and it's on both side of the paper so you have to do one eye at a time for example. So it the eyes look wacky and n...Full ReviewWhen you make a mistake you have to erase like the whole thing so your mistake is gone and there is no back button! It's so annoying! And there isn't the thing where you draw something and it's on both side of the paper so you have to do one eye at a time for example. So it the eyes look wacky and not straight and the line also look wacky. If I were you I wouldn't get this game.
20,Kiren Melissant,"April 24, 2020",2," I like the app,alot, even paid for the full version, but lately it has been crashing a lot. A s soon as i open the app, it sends me back to my home screen. I can't continue my projects bwnd cant download them to continue on a different app. Please fix this asap!"
21,Amanda H.,"April 24, 2020",3," Fantastic UI and tools, but just days after paying for it, I can barely use it. It crashes constantly. Would be a 5 star app if I could actually use it. (1 star now) Update: Clearing the cache regularly helps the crashing issue, but it is still a hassle."
22,Mandana Tavakoli,"April 3, 2020",4, This app is very nice with many tools that you won't get in other android art apps. The brushes are also amazing. There are many settings and you can create your own brushes. The only problem is that it crashes sometimes and I've already lost a lot of artworks because of that. It would be amazing if...Full ReviewThis app is very nice with many tools that you won't get in other android art apps. The brushes are also amazing. There are many settings and you can create your own brushes. The only problem is that it crashes sometimes and I've already lost a lot of artworks because of that. It would be amazing if this could be fixed
23,Clara Rüdiger,"April 11, 2020",2," I was super happy at first, tested the app and then bought it. Ive got the app for 4 weeks now and the app starts crashing on regular basis! But this app started crashing regularly. I send an email to the support and didn't even get a response. So much wasted potential"
24,Michelle Mohammed-Lutchman,"April 26, 2020",4," The app is great so far, and is one of the better art apps on this platform, but it needs more stability, and more so, a better UI for landscape mode. The brush categories and brush settings get cut off in landscape mode, no matter the scale or device used."
25,edgar ledgard,"March 15, 2020",5," Love the app. Really useful, and really intuitive. Biggest problem I have is that the app randomly crashes, and when it does it deletes entire layers. I have lost hours of progress because of this bug, and it has happened several times on several projects. I hope this gets fixed soon. It's happened ...Full ReviewLove the app. Really useful, and really intuitive. Biggest problem I have is that the app randomly crashes, and when it does it deletes entire layers. I have lost hours of progress because of this bug, and it has happened several times on several projects. I hope this gets fixed soon. It's happened over the course of a few months. I really do enjoy the app though"
26,Gitzenberg X,"April 15, 2020",3," Infinite Painter is a good art application for anyone looking to draw something, although it has some mobile app curses like having to pay for A BUCKET TOOL and some other features in a $6.00 bundle(or $10.00 if you want to get everything), yes its expected that you have to pay, but for real? You ha...Full ReviewInfinite Painter is a good art application for anyone looking to draw something, although it has some mobile app curses like having to pay for A BUCKET TOOL and some other features in a $6.00 bundle(or $10.00 if you want to get everything), yes its expected that you have to pay, but for real? You have to play six dollars to get access to get sonething that is usually free since day 1. Aside from these medium issues, this is one of the better drawing apps in the app store out there."
27,Xatolos,"April 22, 2020",4," So far good, just wish there was a way to turn off touch on the canvas, and only allow pen functions on canvas. I tend to put my hand on the screen but not have the stylus close enough to activate palm rejection, so I randomly either have the canvas shrink, or zoom in, or just undo my last command. ...Full ReviewSo far good, just wish there was a way to turn off touch on the canvas, and only allow pen functions on canvas. I tend to put my hand on the screen but not have the stylus close enough to activate palm rejection, so I randomly either have the canvas shrink, or zoom in, or just undo my last command. Very frustrating."
