index,author_name,review_date,reviewer_ratings,review_body
0,Tara Kimball,"April 19, 2020",5," I love this App. It has gotten me financially on track and has helped me re-build my credit score. It allows me to easily track my monthly income, spending, and bill payments. You can choose a category and subcategories to set up a budget tailored to your lifestyle. The only change I would find usef...Full ReviewI love this App. It has gotten me financially on track and has helped me re-build my credit score. It allows me to easily track my monthly income, spending, and bill payments. You can choose a category and subcategories to set up a budget tailored to your lifestyle. The only change I would find useful is to be able to add subcategories of my choice. It does have tags so I can note expenses that actually pertain to me. It tracks my credit score which is pretty accurate. I definitely recommend!"
1,Damian Holley,"April 26, 2020",4," Great app to get started. This app is perfect for those who don't have any sort of budget and need a place to start. Connecting all your account, bank, credit, retirement, investment is extremely easy and intuitive. Get access to your credit report and monitoring is a great feature as well. I use th...Full ReviewGreat app to get started. This app is perfect for those who don't have any sort of budget and need a place to start. Connecting all your account, bank, credit, retirement, investment is extremely easy and intuitive. Get access to your credit report and monitoring is a great feature as well. I use this app personally to keep a big picture of my finances, but the detailed book keeping I do on my own. I would like to see more customization options to categorize, but overall a very solid FREE app."
2,M Bugay,"April 25, 2020",3," Good but could be better. I do think this app is good for creating budgets and monitoring your spending, but it loses 2 stars because I have to constantly verify my accounts. What's the point of adding my accounts if I have to verify them almost every day? Additionally, when I tried to verify some a...Full ReviewGood but could be better. I do think this app is good for creating budgets and monitoring your spending, but it loses 2 stars because I have to constantly verify my accounts. What's the point of adding my accounts if I have to verify them almost every day? Additionally, when I tried to verify some accounts, I was told they could not connect and should wait and try again, repeatedly."
3,RayDebi Galanti,"April 27, 2020",5," I'm in love w this app! It's easy to set up & being able to see my money spent, saved, & being able to see my budget in one place is awesome. I used to dread logging into all different financial places (like banks, credit cards, etc) & this is a one stop app that allows you to see it all. You can't ...Full ReviewI'm in love w this app! It's easy to set up & being able to see my money spent, saved, & being able to see my budget in one place is awesome. I used to dread logging into all different financial places (like banks, credit cards, etc) & this is a one stop app that allows you to see it all. You can't pay bills from it but it alerts you when a bill that you've set up comes in & notifies you when a deposit is made. It saved me by alerting me of a maintenence fee. Love & recommend!"
4,Daniel Dionne,"April 19, 2020",5," I really like Mint for keeping track of all of my accounts. I am somewhat nervous about putting all of my financial information in one place and online in general, but so far after over 5 years I have had no issues. I had many credit cards to pay off. Mint made it easy to track balances, due dates, ...Full ReviewI really like Mint for keeping track of all of my accounts. I am somewhat nervous about putting all of my financial information in one place and online in general, but so far after over 5 years I have had no issues. I had many credit cards to pay off. Mint made it easy to track balances, due dates, minimum payments, and interest rates of all cards. You can set a goal for paying credit card debt off and see a monthly payment plan, how much to pay on each card."
5,L P,"April 20, 2020",5," This app allows me to consolidate my different credit card accounts as well as my banking account. I love how you can customize each transaction type as well as your monthly budgets. The app does have a small delay in updating the accounts sometimes, but it is not egregious. It usually takes a few h...Full ReviewThis app allows me to consolidate my different credit card accounts as well as my banking account. I love how you can customize each transaction type as well as your monthly budgets. The app does have a small delay in updating the accounts sometimes, but it is not egregious. It usually takes a few hours to a couple days for some accounts and only a few minutes for others."
6,Erika Marquez,"April 20, 2020",4, Great app! The only thing I dont like is that it takes like a day or 2 to reflect on the overview section what your finances really are. I wish it showed right away. I know that if you click into your account you do see it.. just not quite yet on the overview. Other than that its great! I like seein...Full ReviewGreat app! The only thing I dont like is that it takes like a day or 2 to reflect on the overview section what your finances really are. I wish it showed right away. I know that if you click into your account you do see it.. just not quite yet on the overview. Other than that its great! I like seeing what my trends are and the budget it creates for me is so helpful!
7,Izak Hatton,"April 26, 2020",4," App works well the only thing that is disappointing is the fact that the widget doesn't seem to show budget information. It shows how much debt to income you have, any alerts, how much is in each account and pending transactions. However it doesn't show the one thing I would expect which is your bud...Full ReviewApp works well the only thing that is disappointing is the fact that the widget doesn't seem to show budget information. It shows how much debt to income you have, any alerts, how much is in each account and pending transactions. However it doesn't show the one thing I would expect which is your budget. If there is a way to show budget information for Android please let me know."
8,Martin Colon,"April 22, 2020",2," The only reason why this gets two stars is because it actually worked before. I have consistently had to manually update my bank accounts, investment accounts, subscriptions and that is just the ones that are working. Half of my accounts that I put in such as Netflix and Pedestal banking throw error...Full ReviewThe only reason why this gets two stars is because it actually worked before. I have consistently had to manually update my bank accounts, investment accounts, subscriptions and that is just the ones that are working. Half of my accounts that I put in such as Netflix and Pedestal banking throw error messages even if the credentials are correct. I have kept this app up to date and reinstalled it. If you would be considering using an app for banking don't pick this one."
9,Tari Inyeinengi,"April 10, 2020",5," This app has helped change my perspective on money. It brings everything together, so you can view a comprehensive summary of your finances. The only thing I would change is the interface on the Android phone. But altogether this app has helped me create a more healthy, exciting and knowledgable rel...Full ReviewThis app has helped change my perspective on money. It brings everything together, so you can view a comprehensive summary of your finances. The only thing I would change is the interface on the Android phone. But altogether this app has helped me create a more healthy, exciting and knowledgable relationship with my finances. I love it!"
