index,author_name,review_date,reviewer_ratings,review_body
0,Sourabh Tiwari,"April 22, 2020",4," Wonderful and awesome app, helped me in grooming my career, hope it will help me in future to achieve the great heights. Currently one issue is there, I am not getting the option to update my months in total experience column, it is only showing to update the number of years. Please do the needful."
1,sriram R,"April 19, 2020",4," App is super for applying and searching jobs. I have a small suggestion it would be helpful if there is a continuous follow up from recruiter like notifying the recruiter about applicants and also a courtesy reply would be great ex: job is filled, require more skills, interview ongoing etc. The appl...Full ReviewApp is super for applying and searching jobs. I have a small suggestion it would be helpful if there is a continuous follow up from recruiter like notifying the recruiter about applicants and also a courtesy reply would be great ex: job is filled, require more skills, interview ongoing etc. The application status remains same for months together which doesn't look good for naukri. If updated this would stand apart from other market players"
2,bidyut Ranjan,"April 24, 2020",3, I am using the app since long and day by day it's quality of service is improving. Now a days lots of bogus calls and freaky consultants are disturbing by promising the candidates for a paid service membership. it seems the platform slowly and slowly moving towards commercial marketing platform.
3,rohit a,"April 17, 2020",3, Jobs at town places can also be listed or shown then it will be of great use.Now it shows jobs at Big cities only so include more city specially if it is a district then that city must be included .Specially if l can got to see jobs at my home city it will be great.
4,Sanchita Mulay,"April 19, 2020",1," I doubt if my profile is seen on the employer's portal. I don't think so my profile is too bad to get selected. I am using this for 5 yrs, not a single relevant call/ communication by relevant employer has been received."
5,Prathyu Goud,"April 22, 2020",5, The only problem is without enough storage we can't update the profile but it's really best app for job seekers.
6,anadi dwivedi,"April 21, 2020",5," Great app. One thing I suggest if possible kindly help us to provide some sort of paid service facility towards the free ones. Like highlighting C.V., Providing more nos of job opportunities towards the big brand and high repute organization, etc. 👍"
7,Manoj Dubey,"April 21, 2020",5, This is best application for job search as freshers or experience i got many calls and opportunities from different recruiter via this application. I would recommend to use this application.
8,Gokul Saran,"April 22, 2020",5, Good and easy to access . You can succeed of you know how to use it properly
9,A Google user,"April 22, 2020",4, it is really great platform for those kind of people who really interested for jobs. definitely it really work to find out great jobs calls not like others app.
