index,author_name,review_date,reviewer_ratings,review_body
0,Priyanka Thakur,"April 13, 2020",5," Really a great app. I've been using this for over 2 years now. I've made over 10 booking on this app and I've never had any major inconvenience except one time, however the issue was with the bus operators and the RedBus team was very helpful and provided me with a quick resolution. Thankyou team Re...Full ReviewReally a great app. I've been using this for over 2 years now. I've made over 10 booking on this app and I've never had any major inconvenience except one time, however the issue was with the bus operators and the RedBus team was very helpful and provided me with a quick resolution. Thankyou team RedBus."
1,Parag Chinchole,"April 17, 2020",5," Comfort & Ease of travelling in busses. Best option to find the perfect journey plan. You can actually see Tickets price range, busses photos, consumers feedback-ratings-past experiences. You may judge be yourself the best bus to travel. Also through this app the bus operator would also come to know...Full ReviewComfort & Ease of travelling in busses. Best option to find the perfect journey plan. You can actually see Tickets price range, busses photos, consumers feedback-ratings-past experiences. You may judge be yourself the best bus to travel. Also through this app the bus operator would also come to know why people ignored their fleets on this route."
2,mahesh darisa,"April 23, 2020",1," Recharge option is not available. This is really very worst policy. During the times of lockdown, people will provide more options to do operations easily from home, on the contrary you're encouraging going outside for recharges by disabling the options. Very poor mentality who ever had implemented ...Full ReviewRecharge option is not available. This is really very worst policy. During the times of lockdown, people will provide more options to do operations easily from home, on the contrary you're encouraging going outside for recharges by disabling the options. Very poor mentality who ever had implemented the idea of disabling the recharge option."
3,ANUPAMA MISHRA,"April 22, 2020",1, The worst app I have ever used. My bus got cancelled 2 times and I am not getting any refund as the they refuse to believe the bus was cancelled. This is not a proper system. My bus from Jaipur was cancelled one day before the lockdown because no transport was allowed to go out. I had already paid f...Full ReviewThe worst app I have ever used. My bus got cancelled 2 times and I am not getting any refund as the they refuse to believe the bus was cancelled. This is not a proper system. My bus from Jaipur was cancelled one day before the lockdown because no transport was allowed to go out. I had already paid for it and now the authority says that the bus wasn't cancelled and I should contact the bus operator. And the bus operator says Red bus is responsible. I would never recommend it. The worst app ever!
4,ANUJ SINGHVI,"April 17, 2020",1, Recharge option not coming . Application getting worst day by day . Helpline no. does not respond properly.
5,subramanian perumal,"April 15, 2020",5, Super cool app to book bus tickets. Good offers too. Mobile recharge option through cash back is good idea.
6,Chayan Bhowmik2,"April 7, 2020",1," Mobile recharge option is not available now. So, i am unable to reacharge my mobile from wallet balance. Make available it soon."
7,Shawn Paes,"April 4, 2020",5, Thanks but one thing you can improve on is to be able to modify pickup points after getting the ticket. Red bus customer sevice could not do it but bus operator did it easily.
8,amarnath pandey,"April 10, 2020",1, Recharge option is not showing now. Earlier it was available. My wallet balance is near to expire and journey is not possible due to lock down.
9,Shivam Shashank,"April 5, 2020",1," Got Rs. 100 cashback but can't use only. Tried recharging Airtel no. with ₹1498. It's failing everytime. Raised concerns, dropped mails but no use."
10,MrSureshraja,"March 6, 2020",5," No option to give zero or minus stars. Pure cheating. Better to book directly through operators. Booked a ticket. Wanted to cancel and it shows bus operator policy does not allow to cancel. Contacted bus operator. They said if booked through them, can be cancelled. They are ready to cancel but redBu...Full ReviewNo option to give zero or minus stars. Pure cheating. Better to book directly through operators. Booked a ticket. Wanted to cancel and it shows bus operator policy does not allow to cancel. Contacted bus operator. They said if booked through them, can be cancelled. They are ready to cancel but redBus don't allow. This is pure cheating. Never go for this app. Book directly through bus operator. Please"
11,Annisalya Alya,"February 16, 2020",1," On my 1st time use this app, there's good and nothing happened. But, when i want to use again for my next trip, i can't login. I was try to enter my number repeatedly, but again and again, the app said that my session is expired?!?! I was disappointed and dissatisfied with this app. Please, repair t...Full ReviewOn my 1st time use this app, there's good and nothing happened. But, when i want to use again for my next trip, i can't login. I was try to enter my number repeatedly, but again and again, the app said that my session is expired?!?! I was disappointed and dissatisfied with this app. Please, repair this app ASAP bcz i think this is the best app for booking bus."
12,Angana Chakravarty,"February 29, 2020",1," I've been using the app for the a very long time now. But suddenly I'm unable to book bus tickets, because as soon as I enter my details it takes me back to the seat plan page stating that ""something went wrong."" Very disappointed. It's an emergency and I've been struggling since yesterday, but I'm ...Full ReviewI've been using the app for the a very long time now. But suddenly I'm unable to book bus tickets, because as soon as I enter my details it takes me back to the seat plan page stating that ""something went wrong."" Very disappointed. It's an emergency and I've been struggling since yesterday, but I'm unable to book the tickets."
