index,author_name,review_date,reviewer_ratings,review_body
0,AGmusic,"April 29, 2020",3," The game is good overall, but the problem is that there are so many online daters in the game. Literally it doesn't matter which game you choose, there will always be some of the weirdest 10 year olds ever dating and doing other stuff to each other. Like, dude, there's this thing called tinder, look...Full ReviewThe game is good overall, but the problem is that there are so many online daters in the game. Literally it doesn't matter which game you choose, there will always be some of the weirdest 10 year olds ever dating and doing other stuff to each other. Like, dude, there's this thing called tinder, look into it. But anyway, the game is epic overall! 7/10 because of online daters"
1,Axel Plaz,"April 29, 2020",3," It's Good, I love things about this game but it's Good! But. I give 3 stars because It treats me like mobile on Chromebook. I don't see why the game treats me like that on a Chromebook. And Second. You Can't Type Numbers. I don't see why you can not do this but If You can type numbers. It could be a...Full ReviewIt's Good, I love things about this game but it's Good! But. I give 3 stars because It treats me like mobile on Chromebook. I don't see why the game treats me like that on a Chromebook. And Second. You Can't Type Numbers. I don't see why you can not do this but If You can type numbers. It could be alot more better. Like people can say their score on Other games. Please. It could be alot better if you fixed this."
2,Celicia Colbert,"April 29, 2020",3," Can you please fix your games? Everytime I drive the car in Mansion Tycoon 2, the car goes crazy. It keeps flipping over please fix. I really enjoyed that game until that happened. Also, some of the games stop working or they just play very slow. Despite some of the mistakes in the games, I really e...Full ReviewCan you please fix your games? Everytime I drive the car in Mansion Tycoon 2, the car goes crazy. It keeps flipping over please fix. I really enjoyed that game until that happened. Also, some of the games stop working or they just play very slow. Despite some of the mistakes in the games, I really enjoy roblox. It has nice article and it's very creative."
3,Gabriel Diplan,"April 26, 2020",4," It's a really good game! Really good updates, and a great way to kill times, just a couple issues that made me leave it as a four star review, there was a little issue, going on with Roblox, and some of my friends where feeling it to, there was, an oddly amount of lag for me, and some others, when m...Full ReviewIt's a really good game! Really good updates, and a great way to kill times, just a couple issues that made me leave it as a four star review, there was a little issue, going on with Roblox, and some of my friends where feeling it to, there was, an oddly amount of lag for me, and some others, when my internet was 100% fine, I'd like for the game to have a small update just incase that was a bug that needs fixing. Thanks!!!"
4,Albert Is Bae,"April 29, 2020",3," Its a good game but there is a lot of online daters, scammers, scam bots, etc. Also I would like to add that I cant chat in most games. I dont know if its because i play on my phone or not. Its also dumb that we cant say numbers. Like sometimes it works if you say like car6 or something like that. I...Full ReviewIts a good game but there is a lot of online daters, scammers, scam bots, etc. Also I would like to add that I cant chat in most games. I dont know if its because i play on my phone or not. Its also dumb that we cant say numbers. Like sometimes it works if you say like car6 or something like that. I would rather you play on a computer or laptop because I cant chat. ;-;"
5,Blox Blogs,"April 26, 2020",5," I love Roblox and have been playing since mid 2017. It's so cool to have such a vast majority of games, with no ads from other websites and it's free. The perfect combo. For better controls and for less lag, I would highly recommend playing Roblox on a desktop or a laptop. This has literally been my...Full ReviewI love Roblox and have been playing since mid 2017. It's so cool to have such a vast majority of games, with no ads from other websites and it's free. The perfect combo. For better controls and for less lag, I would highly recommend playing Roblox on a desktop or a laptop. This has literally been my favourite game for most of my life. Thanks, Roblox. 👌"
6,ShadowSeeker,"April 27, 2020",4," Something happened to my account, I cannot sign back in. I spent money on the game too, so basically it was for nothing. My account is Swiftclaw_warrior so if you can fix my account please do. I would give five stars but this issue gets in the way. I'm almost sure my account has been hacked Edit 1: ...Full ReviewSomething happened to my account, I cannot sign back in. I spent money on the game too, so basically it was for nothing. My account is Swiftclaw_warrior so if you can fix my account please do. I would give five stars but this issue gets in the way. I'm almost sure my account has been hacked Edit 1: so, I was able to get in but now I can not get into the games. This is not an internet thing, I have changed internets and turned on data and yet nothing. I also can't see my friends"
7,Sonya Horton,"April 29, 2020",4," It is a really good game but, when I play in my Chromebook the mouse seems to go away. I don't mean like go off the screen I mean it's not there at all! The only time it is there is when it is over something to click like the chat button or buttons on the game I am playing. I have tried to go on dif...Full ReviewIt is a really good game but, when I play in my Chromebook the mouse seems to go away. I don't mean like go off the screen I mean it's not there at all! The only time it is there is when it is over something to click like the chat button or buttons on the game I am playing. I have tried to go on different games but, every time the mouse isn't there. Both me and my sister would like this problem to be fixed when y'all can!"
8,Gina Tracy,"April 26, 2020",5," Really great game. I love the graphics and how you can play with others. i would really like if there was no limit to friends. Also I would like if you could un block people because, one of my friends got hacked and blocked me now i cant play with her unless she is on another account. Other than tha...Full ReviewReally great game. I love the graphics and how you can play with others. i would really like if there was no limit to friends. Also I would like if you could un block people because, one of my friends got hacked and blocked me now i cant play with her unless she is on another account. Other than that its a reallly great game. I would love to see more updates and future content."
9,lindsey keith,"April 28, 2020",5," This game is great. There are so many games. There is action games, girly games, tycoons, spooky game and many more.You can find new friend or play with your friends, but be careful which friend you chose. I downloaded the app about when I was 6, I've been playing it since. Give it a go and try it o...Full ReviewThis game is great. There are so many games. There is action games, girly games, tycoons, spooky game and many more.You can find new friend or play with your friends, but be careful which friend you chose. I downloaded the app about when I was 6, I've been playing it since. Give it a go and try it out. Hope you like it as much as me!!!!"
