index,author_name,review_date,reviewer_ratings,review_body
0,Igor K,"April 22, 2020",5," I've always had several dozen different news sources updating me every hour from social media to blogs to my TV(whether I was looking for it or not). And when I found this , it's been a game changer. Espresso gives me critical world updates in a quick 10 minute read. No more,no less. Do you miss out...Full ReviewI've always had several dozen different news sources updating me every hour from social media to blogs to my TV(whether I was looking for it or not). And when I found this , it's been a game changer. Espresso gives me critical world updates in a quick 10 minute read. No more,no less. Do you miss out on some other news ?yes. But honestly there is so much noise this is just the perfect sweetspot . A fantastic way to unplug from the media churning machine and focus."
1,patrick mcdougall,"April 13, 2020",1," The app is stuck on April 1, 2020 and we are cancelling the subscription because there is no way to get tech help on the Economist website without paying a service who cannot respond to a question. This is a very disappointing product."
2,Lucas Smith,"April 23, 2020",4," Doesn't automatically load the current day's news. I have to swipe to refresh. Sometimes, it can't load today's news at all. Otherwise I really enjoy the app."
3,Natascha Talos,"March 24, 2020",5," Great format! Perfect lenght of articles, very reduced and focussed on the essential for getting informed in the morning. The only suggestion I would have is to link further readings if the reader is interested in getting more insights on a topic"
4,Nemanja Borovac,"April 17, 2020",4," Great little app. One thing that breaks the experience, somewhat, is the inability to switch the dates with a simple swipe on the main screen."
5,Jeff Neuser,"April 11, 2020",5," I currently enjoy it a lot. They improved the page-swiping functionality, which was the main reason I deleted the app the first time."
6,Debasis Roy,"April 2, 2020",4," Good source of summary information. However, more often than not that app doesn't load smoothly."
7,Nicholas MacCallum,"April 3, 2020",1, Impossibly difficult to unsubscribe from this service. It's like they just want you to pay forever! Very disappointed in an otherwise impressive publisher.
8,Doug Macintosh,"April 24, 2020",4," The app is fine, but the real strength of The Economist is the deeper articles of its weekly edition."
9,Barbara,"April 18, 2020",5, Brilliant and incredible news reporting. Espresso gives the depth of stories in the time I have to read in the morning.
10,Rene Peritz,"April 23, 2020",5, A useful app. Would recommend a broader choice of data on trending topics affecting national interests or priorities.
11,Jax Shadow,"April 9, 2020",5, Love this app and the Economist content. I start every morning with my coffee in one hand and my espresso on my phone in the other hand.
12,Patrick Burke,"April 14, 2020",4," Quick, efficient summary of top stories. The format is nice."
13,Alina F,"April 19, 2020",5, Great summary of the day's headlines. Absolutely love catchinh up with the news whilst enjoying my coffee each morning.
14,Cameron Rood,"April 8, 2020",5, Fantastic quick reads to get the most important stories without wasting time on unimportant information.
15,Jim Williams,"March 31, 2020",5, Bite-size breakfast news bits;. Served hot off the press and very satisfying; a great way to start your day!
