index,author_name,review_date,reviewer_ratings,review_body
0,Arron Krusky,"April 29, 2020",1," I remember the old days when transposing chords wasn't locked behind a paywall. Insulting after flipping past all the ads. Update: Nope, I just used your site for years. I only downloaded the app because the mobile site redirects you to the app if you try to do almost anything you used to be able to...Full ReviewI remember the old days when transposing chords wasn't locked behind a paywall. Insulting after flipping past all the ads. Update: Nope, I just used your site for years. I only downloaded the app because the mobile site redirects you to the app if you try to do almost anything you used to be able to do (like even look at a chord diagram)."
1,Rochit Khatri,"April 29, 2020",4, Good app for chords and popular tabs. But it's a dumb app too. Once you open a tab on the app you can't open something from chrome to app. And once you open something chrome to app then you only open the version you've clicked the link for. You want the same song? Search it again. I know these arw s...Full ReviewGood app for chords and popular tabs. But it's a dumb app too. Once you open a tab on the app you can't open something from chrome to app. And once you open something chrome to app then you only open the version you've clicked the link for. You want the same song? Search it again. I know these arw small but it's very annoying to use for a person who uses it everyday.
2,Hydra Thorn,"April 28, 2020",2," Not really a problem with ads, though it does get annoying when it plays ads with sound. The main issue is how pushy the subscription is, to use the tuner, metronome, chord library, you have to pay a subscription for those, and to add on if your searching for a song and it only has one version of a ...Full ReviewNot really a problem with ads, though it does get annoying when it plays ads with sound. The main issue is how pushy the subscription is, to use the tuner, metronome, chord library, you have to pay a subscription for those, and to add on if your searching for a song and it only has one version of a chord or tab it's highly likely that it'll be a pro tab which you'll have to pay for. Pretty dumb design."
3,Todd Hess,"April 24, 2020",2," Frustrating: everytime I hit the back button weather in the app or on my tablet controls it takes me back to the homepage. Back means going to the previous page you were on ""my favorites"", not the homepage. I'm trying to practice and there wasting my time. And I pay for this I don't need my time was...Full ReviewFrustrating: everytime I hit the back button weather in the app or on my tablet controls it takes me back to the homepage. Back means going to the previous page you were on ""my favorites"", not the homepage. I'm trying to practice and there wasting my time. And I pay for this I don't need my time wasted. I pay for the service so I don't need to put up with bull****. Damn it back memes last page..."
4,Nathan DiDonato,"April 25, 2020",2," On my android 7 tablet older versions zoomed. Now, even though it’s downloaded most of my tabs for offline, it still takes almost a full minute to open the app, go into favorites, click a song, and wait for it to load. There's just too much popup/dropdown junk and unneccessary ""featured"" vids that o...Full ReviewOn my android 7 tablet older versions zoomed. Now, even though it’s downloaded most of my tabs for offline, it still takes almost a full minute to open the app, go into favorites, click a song, and wait for it to load. There's just too much popup/dropdown junk and unneccessary ""featured"" vids that open up all the time that I have zero interest in seeing (sometimes 3 on top of each other!). At this rate I'm better off going back to paper, IT DOESN'T CRASH! Songsterr is cheaper and better!"
5,Nina Belcher,"April 25, 2020",5," Love this app, I've used it since high school when I got my first guitar. Always recommend to my friends. I wish there was an option for Military personnel to buy a plan that doesn't expire after 30 days. I go months without a signal and then I can't access the downloads 🙌 Just a lil suggestion, ot...Full ReviewLove this app, I've used it since high school when I got my first guitar. Always recommend to my friends. I wish there was an option for Military personnel to buy a plan that doesn't expire after 30 days. I go months without a signal and then I can't access the downloads 🙌 Just a lil suggestion, otherwise 10/10 would recommend!"
6,Cal Potter,"April 27, 2020",1," This app used to be free. All of a sudden there was a money grab and the producers decided to charge. I understand the ""need"" to charge users for production but this app did it in the wrong way. The exploitation of users and the recording function only further this app's abuseof the system. I wish f...Full ReviewThis app used to be free. All of a sudden there was a money grab and the producers decided to charge. I understand the ""need"" to charge users for production but this app did it in the wrong way. The exploitation of users and the recording function only further this app's abuseof the system. I wish for the old app and honest days."
7,Matthew Sychantha,"April 30, 2020",2," Its just not an app for what I need. I need a lightweight app that loads things quick and at ""most"" transposes. This has 100 different features and notifications that clutter up the screen that you can't just dismiss without letting it go through a spiel. Why am I going to upload a video teaching a ...Full ReviewIts just not an app for what I need. I need a lightweight app that loads things quick and at ""most"" transposes. This has 100 different features and notifications that clutter up the screen that you can't just dismiss without letting it go through a spiel. Why am I going to upload a video teaching a song I haven't learned yet? I have 2 gigs of ram on device, and tabs take 3 minutes to load. They take 10 seconds in my browser on desktop. I respect the library size but make a lite version. Please?"
8,Elliot Ashton,"April 23, 2020",1," Signed up for the 1 week free trial for the premium feature to find that it wouldn't allow me to access the in app features without signing up again although showing an active subscription in the play store. On top of this, i have also been charged £19.99 for the ""free trial"" so i am out of pocket a...Full ReviewSigned up for the 1 week free trial for the premium feature to find that it wouldn't allow me to access the in app features without signing up again although showing an active subscription in the play store. On top of this, i have also been charged £19.99 for the ""free trial"" so i am out of pocket and cant even use the features anyway! Absolutely appalling."
9,Cameron Buttorff,"April 16, 2020",2, When it works it's a great app but half the time I cant get it to open or work properly or the words won't turn sideways properly when I rotate my phone. I've got a Samsung galaxy 7 so I shouldmt have any issues. I also pay for the app to get the auto scroll feature among other things. But have been...Full ReviewWhen it works it's a great app but half the time I cant get it to open or work properly or the words won't turn sideways properly when I rotate my phone. I've got a Samsung galaxy 7 so I shouldmt have any issues. I also pay for the app to get the auto scroll feature among other things. But have been disappointed lately on how the app is been operating. Will change rating when bugs are fixed. As of rn I want a refund.
