index,author_name,review_date,reviewer_ratings,review_body
0,Kimberley Rampersad,"April 15, 2020",1," Videos I've added to Watch Later and Offline disappears every time I open the app. Not very user friendly to view an account you're following. Each time I have to search the account by name to be able view their videos, rather than if I were to simply click 'Following', which in reality has no real ...Full ReviewVideos I've added to Watch Later and Offline disappears every time I open the app. Not very user friendly to view an account you're following. Each time I have to search the account by name to be able view their videos, rather than if I were to simply click 'Following', which in reality has no real value on the app."
1,A Google user,"April 18, 2020",2, No improvement that I see. Still a very crappy app! I hate the new home page in the app! Give the user the ability to decide what is on the home page or what screen the app opens with! Stop forcing me to use an app the way you want!! Not a very good app. The app doesn't seem to be getting better!
2,Link Letter,"April 24, 2020",4, The app is better than viewing thr website from an internet browser as it seems the videos stream much better from the app. The only downside of the app presently is it doesn't connect to the messages service. But other than that its very good and stable.
3,Mike Swindler,"April 20, 2020",1," New updates? Ha. Why did you remove the possibility of casting to devices other than Chromecast?! It was dodgy, but still useful. I was hoping an update would fix or add features not remove existing ones!! Very disappointing."
4,Todd Schreiner,"April 16, 2020",1," It used to be a good app, but not it just crashes everytime I open it. I have uninstalled and reinstalled and it still crashes when I try to log in. Not good. Better using the web browser."
5,Daniel Brinkman,"April 24, 2020",5," High quality, artistic, and creative content. Most importantly, the lack of invasive ads. I hope more people can support this platform and put their content on here!"
6,Paul Bushe,"April 16, 2020",2, Still can't purchase movies through the app. Needs a massive upgrade in that area. Also vimeo needs to get onto platforms like PlayStation and Xbox. Also a search button would be useful.
7,Gregory Chan,"April 5, 2020",5," Easy to use. My account was frozen (automated flag) and someone cleared it within 24 hours. Very easy to use and publish to other sites (YouTube). No ads on the video. Simple interface to tweak settings for the video (thumbnails, other details on the player). Using this to publish church sermons. Us...Full ReviewEasy to use. My account was frozen (automated flag) and someone cleared it within 24 hours. Very easy to use and publish to other sites (YouTube). No ads on the video. Simple interface to tweak settings for the video (thumbnails, other details on the player). Using this to publish church sermons. Using NCH video editing software to edit and creat .mp4 file."
8,Rares Serban,"April 19, 2020",1," Support email is fake: ""... like you sent a direct email to an address we are not actively monitoring..."" No way to contact for bugs or issues. Shame on you!"
9,Peter Snow,"April 9, 2020",4," Not bad, but has a very annoying habit in that each time you do a search for videos and carefully are scrolling through the.many results, adding videos to your watch later list, the search results suddenly refresh and you are back at the top of the list with no reference of where you had got to. I f...Full ReviewNot bad, but has a very annoying habit in that each time you do a search for videos and carefully are scrolling through the.many results, adding videos to your watch later list, the search results suddenly refresh and you are back at the top of the list with no reference of where you had got to. I find this incredibly destructive to my organised way of working."
10,Coke Horner,"April 19, 2020",5, Vimeo is extremely reliable and efficient and is a powerful tool that can be used to reach millions of viewers. I am absolutely satisfied using this app!
11,Ethan Concepcion,"April 10, 2020",1, One of the worst apps for streaming. I only use because it's where my courses materials are. There's no way to minimize videos or just play sound. No fast forward or rewind other than manually clicking and hoping it's a good spot. I don't even understand why they made this app with so many other com...Full ReviewOne of the worst apps for streaming. I only use because it's where my courses materials are. There's no way to minimize videos or just play sound. No fast forward or rewind other than manually clicking and hoping it's a good spot. I don't even understand why they made this app with so many other competitors successfully implementing better features
12,Adrian Pinnock,"April 21, 2020",4, I use Vimeo to upload the videos we host on our work website. It's been a great experience for the last 4 months no draw backs to the mobile app. What is there is easy to use and accessible.
13,Shrirang Deshmukh,"April 22, 2020",5, The filter seems to be a bit of an issue. For example if I search for allo allo then I wont get any.
14,John F. Hampton Jr.,"February 15, 2020",5," I love the app as far as being able to keep up with videos let my friends put out. I do however hate the fact that it will not use picture and picture and show on top of other apps in the app permissions. This is a blatant shortcoming of the app. That's why I gave it four stars instead of five. I am...Full ReviewI love the app as far as being able to keep up with videos let my friends put out. I do however hate the fact that it will not use picture and picture and show on top of other apps in the app permissions. This is a blatant shortcoming of the app. That's why I gave it four stars instead of five. I am editing my review to give the app five stars. Previously, I could only see two lines of any comment or replies to comments and now it is showing the full comment, So I'm giving it five stars."
15,Audrea Lott,"March 4, 2020",2," Good quality videos, but really challenging to navigate the app; if I exit a video it goes all the way to the beginning of the list and I have search and work my way back to the video. There's no ""continue watching"" feature. Watched videos don't show up in my history. My feed has unwanted material, ...Full ReviewGood quality videos, but really challenging to navigate the app; if I exit a video it goes all the way to the beginning of the list and I have search and work my way back to the video. There's no ""continue watching"" feature. Watched videos don't show up in my history. My feed has unwanted material, suggestions, staff picks that outnumber items from accts I'm following. Would love to be able to set up a playlist and determine what order videos will be played, especially when watching series."
