index,author_name,review_date,reviewer_ratings,review_body
0,Mark Allthewaypr,"April 25, 2020",1, Is App has totally lost it's luster! I used it three years ago to buy a house. Back that it worked wonderfully. Now unfortunately I get houses that I do not want even though I specified that I do not want them such as HOA'S. Get quite understand what happened to this app obviously they are not keepi...Full ReviewIs App has totally lost it's luster! I used it three years ago to buy a house. Back that it worked wonderfully. Now unfortunately I get houses that I do not want even though I specified that I do not want them such as HOA'S. Get quite understand what happened to this app obviously they are not keeping up with it I do not recommend it anymore going to check out red fin.
1,Johnny Appleseed,"April 23, 2020",4," Love this app! Love the map search feature!! I've been using the app the last week and it has been great, until today. Now anytime it's loading the map it crashes. I've uninstalled amd reinstalled multiple times, restarted my phone and it still wont work in map mode. Seems like it could be my mobile...Full ReviewLove this app! Love the map search feature!! I've been using the app the last week and it has been great, until today. Now anytime it's loading the map it crashes. I've uninstalled amd reinstalled multiple times, restarted my phone and it still wont work in map mode. Seems like it could be my mobile device but other apps are working just fine. I'm at a loss, i hope it will work in the future, there's no better app for sale and rental properties than Zillow!!"
2,Brandon Varney,"April 24, 2020",2," Having the exact same problem with the exact same phone (Pixel 3) as Aaron Lin. I try to open the app, everything seems to load but the map and then it crashes. And on a side note the app bugged me about a lot of different properties I was mildly interested in, but managed to let a deal of a lifetim...Full ReviewHaving the exact same problem with the exact same phone (Pixel 3) as Aaron Lin. I try to open the app, everything seems to load but the map and then it crashes. And on a side note the app bugged me about a lot of different properties I was mildly interested in, but managed to let a deal of a lifetime that I had faved slip through un-notified and we lost our chance :c I can only assume some grey-washing flippers are planning to ruin the poor thing."
3,Rosalia Olmos,"April 24, 2020",2," Loved this app but it's crashing after April 2020 update. I'm actively looking for a home and this app was extremely helpful until the last update. Now it crashes 3 seconds after opening. I've started to use thevRealtor app, but the listing prices are higher for the exact same homes i had in my favo...Full ReviewLoved this app but it's crashing after April 2020 update. I'm actively looking for a home and this app was extremely helpful until the last update. Now it crashes 3 seconds after opening. I've started to use thevRealtor app, but the listing prices are higher for the exact same homes i had in my favorites on Zillow. Don't know which listing price is real."
4,N Rey,"April 23, 2020",3," It needs to add a feature to ""trash"" houses you don't like so your not going over the SAME houses all the time while trying to find recently added houses. Also a feature to exclude some neighborhoods for example I would like to search Fairfield county without having to look at Bridgeport or other un...Full ReviewIt needs to add a feature to ""trash"" houses you don't like so your not going over the SAME houses all the time while trying to find recently added houses. Also a feature to exclude some neighborhoods for example I would like to search Fairfield county without having to look at Bridgeport or other unfavorable areas. It really takes up too much time trying to get thru the cities you don't like."
5,chandler bailiff,"April 20, 2020",5, Zillow is a great app and a great place to begin the daunting task of home/apartment hunting. They have so many listings and the app and website is easy to navigate and understand. The only thing I wish they had were reviews of apartment complexes so I could see how others feel about the complexes a...Full ReviewZillow is a great app and a great place to begin the daunting task of home/apartment hunting. They have so many listings and the app and website is easy to navigate and understand. The only thing I wish they had were reviews of apartment complexes so I could see how others feel about the complexes and the management of said complexes.
6,thiago garvio,"April 19, 2020",3," it is help and let's me see different houses in the market w/o having to drive too far. However, some listings are not quite up to date. Also, there is no way to filter ""pre-foreclosure"" and ""foreclosed"" properties. They show up as available properties, without prices due to being owned by the bank."
7,TSB,"April 24, 2020",2," It has some good features, like the details and price history, which is very useful. But it's not up to date and you can't filter out foreclosures. Also houses for rent when lessed revert to an old prior sold price instead of indicating they were leased."
8,Frederick Elliott,"April 22, 2020",2, I love this app except for the fact that every single day I get a notice about a new listing in my area and it's a house that has been on here for many months now. The person trying to rent the room keeps changing the add everyday so that everyone gets a notice. I am considering deleting this app ju...Full ReviewI love this app except for the fact that every single day I get a notice about a new listing in my area and it's a house that has been on here for many months now. The person trying to rent the room keeps changing the add everyday so that everyone gets a notice. I am considering deleting this app just because of that one person. If I could block them from showing up on my end I would.
9,Marcos H,"April 2, 2020",1," There are houses listed on Zillow that can only be found if you search for them by address. Good is a more trustworthy site than this app. My real estate agent presented with over 10 house which have been on the market for several weeks but didn't appear when a search for the town the house were lis...Full ReviewThere are houses listed on Zillow that can only be found if you search for them by address. Good is a more trustworthy site than this app. My real estate agent presented with over 10 house which have been on the market for several weeks but didn't appear when a search for the town the house were listed. But as soon as I entered the address, like magic the house appeared with all of the information."
10,Kandice Horton,"April 25, 2020",2," I initially loved this app, but after the update yesterday, it will not load at all. I've tried uninstalling and reinstalling. No fix. Hope it gets fixed soon. I'll rate it better."
11,Michael Schmidt,"April 12, 2020",4, Great way to check real estate values. It's been helpful as I have helped some younger friends plan to buy a home. I do have one friend however who sold his house for more than twice the zedtimate. So be aware that values given are estimates!
12,James Monroe,"April 10, 2020",1," I used to be able to view the whole country map, with houses. After clicking on a zillow email about a particular zip code, that zip is all I can view, no matter how many reboots, restarts I do (it's not in the search, filters or anywhere else). Maybe if I uninstall, and reinstall."
13,"marshab 1 of 3 VCA, school board meeting","April 18, 2020",4," Love seeing properties as soon as they are listed. Don't have to wait for an agent. Can eliminate those that won't work for us. But would like it if we did not get repeated notifications for those properties not on the market any longer, for sometimes years."
14,Martin White,"April 10, 2020",5," Utilize this app weekly, it runs smoothly, although sometimes search parameters can exclude relevant results. If I find a property on another app I will look it up for review on Zillow. Information that constitutes search results is only as good as the realtors who upload the listings."
15,Tim Morris,"April 16, 2020",3, I've used this application for my rental home two different times and the second time it's just not working while trying to access applications. Can't get ahold of anyone from Zillow on the phone and there appears to be no email responses coming back to me so I'm disappointed
16,Cheri M,"April 23, 2020",3," I like it, but I really wish I could see my tags on the website as well, and an option to not show me a particular house would be awesome too. Really tired of notifications about a house I hate, but I can't exclude it from my saved search."
17,Dana Teagle,"April 3, 2020",3," Wonderful app ! but I hate the geographical map !! if you want to push one red dot you may end up pushing a totally different one because they're so close together sometimes... That's annoying. The map isn't needed, it would be better off if they got rid of it.."
18,Lopez TV,"April 8, 2020",5," Finding houses was like finding a needle in a hay sack. Zillow made it a ton lot easier to find not just the houses but land, ect. All the house information shows up in just one touch. Zillow is a very usful app when finding your Ideal home, I recommend this app to everyone."
19,Doug Krueger,"April 24, 2020",1," Update 4/24: Crashes on open since 5PM 4/23. T-Mobile confirms Zillow has issues. Love the features and design. Great job! Moving from Colorado to North Carolina, we don't know which town, so one suggestion, please allow sorting of favorites by state and town so I can plan a trip. Exporting the list...Full ReviewUpdate 4/24: Crashes on open since 5PM 4/23. T-Mobile confirms Zillow has issues. Love the features and design. Great job! Moving from Colorado to North Carolina, we don't know which town, so one suggestion, please allow sorting of favorites by state and town so I can plan a trip. Exporting the list would also be excellent. Thanks!"
20,Tzahi Ben Shabat,"April 24, 2020",1," Be careful posting properties in Zillow!! They claim to be transparent but log everything you post without giving you an option to change non public data. This results in an obscure POV of your property. I learned to cautious with posting on Zillow and will definitely share my story with my colleagu...Full ReviewBe careful posting properties in Zillow!! They claim to be transparent but log everything you post without giving you an option to change non public data. This results in an obscure POV of your property. I learned to cautious with posting on Zillow and will definitely share my story with my colleagues, friends and other home owners"
21,Kris Bock,"April 3, 2020",5, Fantastic! I love that you can set what filters for exactly what you want and don't have to sift through all the houses to find the right ones. They also pick houses you may like based off your preferences. It's easy to get a short list of houses with the heart icon.
