index,author_name,review_date,reviewer_ratings,review_body
0,Chinese Redneck,"April 13, 2020",5," Don't say it's not good just because you don't know how to use it, you need to install kernel that is made for this search engine that's about it. Been using it ever since, well, since the first time I knew how a electronic device work. It's not better than Google or worst. It's just a normal search...Full ReviewDon't say it's not good just because you don't know how to use it, you need to install kernel that is made for this search engine that's about it. Been using it ever since, well, since the first time I knew how a electronic device work. It's not better than Google or worst. It's just a normal search engine."
1,W o W,"March 18, 2020",1, Needed to recover an account and the only way to do it when cellphone and verification code doesn't work is downloading this app. Would rate it even worse were 1 star not the lowest
2,Joe Loh,"January 5, 2020",1," After downloaded baidu, cant believe my samsung s10+ was hang in a sudden. Couldnt even unlock & restart my phone. Good job china"
3,Tommy,"April 13, 2020",1, app keeps crashing. really horrible
4,bbh osh hhh,"March 22, 2020",1, the app is rubbish，keep asking to install something that can speed up the app.if u don`t want to install the app can`t use ，but after install it，this app still can`t use ，everytime when i want touse it，it will jump out from the app and back to my homepage
5,SilverZone430,"March 24, 2020",1, What took you so long to install it? Does you try to put in with virus or something? It tooks forever to finish the install is like what the hell.
6,Justin Rose,"December 9, 2019",5, Anyone that says this app is bad or trash this app is only intended for Chinese users or anyone that can understand Chinese. stop giving bad reviews dumbasses. don't be a idiot and ask why it doesn't have English.
7,Leo Lo,"May 2, 2019",4," This app is really for Chinese users. It read my preferred news to my bt headphone when the phone is in my pocket. That's neat. This is exactly the app I want. Google app also offer news feeds but Google does read it out. For non Chinese users, this app is irrelevant."
8,Stephen,"January 20, 2020",5, Great App But It's All In Chinese
9,Cheryl Ng,"February 1, 2020",1, Unable to register without Chinese phone number.
10,Peter KUAN,"November 27, 2019",1, Too noisy. Keeps beeping! Cannot shout off aound. So have to uninstall.
11,Chongy Kong,"June 12, 2019",1, Useless app. Cant completely remove residue file in my phones during uninstall. Had an account but couldn't pass the verification stage.
12,Jimmy Lemmon,"March 11, 2020",3, Can't create an account without a chinese phone number.
13,saddam hossain,"October 16, 2018",3," Need to translated in English. by the way,, nice sofwr. easy to use"
14,Chris Gibbons,"November 18, 2019",1, Why does it want to make phone calls? Or access photographs and other files . Then go into chinese when you deny access.
15,Kennz Woo,"April 24, 2020",1, too many ads & data killer
16,john yau,"January 31, 2020",3, slow picture presentation
17,An,"February 5, 2019",5," Good browser, can find anything I need."
18,Elbek Daniyarov,"February 16, 2019",1, No option to create account with non-Chinese phone number
19,kyaw win,"October 21, 2018",5, It is much better if the application is in English.
20,Leon Liu,"April 27, 2019",1," useless app,make my mobile becomes unbelievably shity slow, I bless you people who install and has installed the app."
21,Wayne Zhang,"November 25, 2018",1," Rubbish, totally annoying for the update version validation and too much permission demanding"
22,Ad Lim,"July 23, 2019",5, Entertaining and informative. Like it.
23,Dongli Wei,"April 16, 2020",1," To change something, has to download app, cannot just use computer"
24,kri lee,"June 2, 2019",1, what?i can't register account. why?.crash
25,Kipznels Obabe,"September 6, 2019",5, Good and efficient browser nothing like it
26,Eduardo Sucilan,"November 3, 2018",1, There should be language translation.
27,Yee ling Teoh,"June 9, 2019",5," Some people say it is bad and useless,but to me? Nah. The people that don't know Chinese, just simply don't download it. Is it that hard to understand?"
28,Cruroar Fletcher,"July 5, 2019",1," Unlike other apps, this app does not provide uninstall at Google play store."
29,Ryan Zheng,"July 21, 2019",5, You just type English words and it will show up
30,Saumil Bhatt,"September 14, 2019",1, How can we change language ? Can't you detect country and switch be it?
31,A Google user,"December 24, 2018",3, user experience is not good when clicking text and buttons.
