index,author_name,review_date,reviewer_ratings,review_body
0,Zvi Steinberg,"April 19, 2020",3," Works well enough except it has a tendency to notify you of a article, then when you click takes you to a completely unrelated article or one you've already seen, and there isn't a ""breaking news"" section on the home page to find the new article yourself"
1,Ralph Michael Balindres,"March 31, 2020",1," Please check this apps because after installing this apps, then tried to view the live video it keeps on saying ""we could not load this video"" try to tap again, even using iPhone has same issue. But we can play the video from the bottom. We have a good connection. The site is not also blocked on our...Full ReviewPlease check this apps because after installing this apps, then tried to view the live video it keeps on saying ""we could not load this video"" try to tap again, even using iPhone has same issue. But we can play the video from the bottom. We have a good connection. The site is not also blocked on our router/firewall. Any reason ? I have my OPPO Device, with model CPH1919, Android 8.1, ColorOS ver. 5.2.1"
2,Matthew Stephens,"April 22, 2020",1, Please check app. It crashes on boot up and I am unable to use it. Disappointing when I have a paid subscription.
3,Harsh Shah,"April 22, 2020",1, Worst. I signed up for the student subscription but I couldn't get access to it . What is this?! If you can't give it why are you advertising it?!
4,Akachi Okoro,"April 22, 2020",5, Great app with good functionality but can be sluggish at times.
5,Emily Gray-Fow,"February 25, 2020",4," Great source of news and information, but for a freelance writer the subscription is a bit steep. Maybe Bloomberg could split the subscriptions in two, with a lower tier accessing news etc plus a limited number of more detailed market data each month, and a higher tier accessing more in depth market...Full ReviewGreat source of news and information, but for a freelance writer the subscription is a bit steep. Maybe Bloomberg could split the subscriptions in two, with a lower tier accessing news etc plus a limited number of more detailed market data each month, and a higher tier accessing more in depth market data, able to track shares, etc?"
6,Neelish Chainani,"April 20, 2020",5, One of the best apps out there for markets news. wish it had more free articles
7,Rj Nismo,"February 14, 2020",1, The monthly price they are asking doesn't even justify as an annual price. May be if it was one time price of 30dollars perhaps worth considering. Their content isn't that special or exclusive justifying this ridiculous price. you can find similar stories and features in many other free app.
8,Kola Fabiyi,"March 25, 2020",5," This is the best app I have used in a long time for my investment assessment. It is very stable, has clean interface (easy to navigate), up to date in all required information and very responsive in all functionalities. Great app."
9,Chris Kay,"April 17, 2020",5," Great app, works well, dont want advertisements. Please give me subscription option to remove them."
10,John Maalouf,"April 23, 2020",1, I'm a subscriber but it keeps making me solve Google captchas over and over again.
11,Deleted Smith,"February 28, 2020",1, Absolutely way too many links to pay walls. Regardless of how the developer tries to justify it there's so many Dang ads in here there's no reason for pay walls. I will be deleting it off my phone shortly.
12,James Coulter,"February 29, 2020",2," I purchased a year subscription, but when I attempt to read an article, I am told that I have to subscribe AND there is no on-line chat help available!"
13,Rahul Beniwal,"April 18, 2020",4," Bug in app Can not close notifications or search, status bar gets clicked instead of these"
14,v e,"April 15, 2020",1, I subscribe to Businessweek through google. I emailed and it still won't see my subscription
15,Thomas Roulain,"February 27, 2020",5," A bit pricey, but we already knew that, and you get what you pay for. 5 stars from me, I use it upwards of 16 hours a day (across multiple platforms)."
16,Simon Nieper,"March 28, 2020",4," So far so good, just using it for creating a watchlist, they have access to many indexes etc."
17,G,"March 29, 2020",1, Can't listen to any podcast for more than 3 or 4 minutes before getting the error: We could not load the video. Tap to retry.
18,Eze Chidera,"March 28, 2020",3, The app is good.....very very informative.. But it crashes most of the time.. Can you fix this bug I use Gionee s9
19,Nick Kemp,"March 24, 2020",4, Very useful when seeking a blend of news and financial markets updates. Summaries on securities also very helpful getting a high level picture.
20,A Google user,"April 5, 2020",5, i like the listen feature in thr app. Has coverage of latest events in detail.
21,Eldar Rihm,"March 31, 2020",1, App crashes randomly while browsing through the articles on a Pixel 3 (10.0)
22,Richard Hefner,"March 12, 2020",1, Haven't been able to log into the new app. Endless captchas. Have reverted to using the web site.
23,Ian Oliver Keene,"March 9, 2020",2, Incredibly slow to load and open. Rest of apps and web browsing snappy. This app feels like a 90s computer with dial up internet.
24,Jerome Facey,"April 1, 2020",5, Great app. Give you information that counts and you can listen to the articles
25,Tiffany Li,"March 16, 2020",5," Very useful and insightful info, especially on the markets ! It is very handy to view the market trends and movements too !"
26,Cillian,"February 14, 2020",2, Good for written news but the media player is rubbish. Live video lasts about 2 minutes before crashing & freezing.
27,Faisal Al Awadhi,"March 13, 2020",2," The notifications never take me to the actual story, instead an old story i read keeps opening everytime."
28,Harvitpal Arora,"March 15, 2020",4, Great app. Would be 5 star if faster response rates to loading content
29,Fabian De Beer,"February 28, 2020",4," Informative, but would appreciate better access to articles and basic technicals."
30,Jonathan Cheever,"March 14, 2020",3, App is great for informed news. No way to shut notifications off. Uninstalling until fixed. Let's be real here developers.
31,Jason Spitzer,"March 21, 2020",1, I can't get past the splash screen; locks up every time. Please fix.
32,Mark L,"April 19, 2020",2, Very very difficult abd time consuming to unsubscribe.
33,Gerald Joe,"April 8, 2020",2, Paywall for text news but can see video free on YouTube. CNBC video free is as good. Bloomberg used to have good series on artists. Miss that.
34,Mykel H,"February 27, 2020",1," Can't see more than 5 articles for free per month. Therefore, I will never subscribe."
35,Steven Gray,"March 19, 2020",1," Crashes constantly, locking up the whole device and requires a restart."
36,Boris Dobric,"March 11, 2020",1," It doesen't have dark mode Also it,s not user friendly like other news apps. It was expecting much more form bloomberg"
37,Chad Williamson,"March 11, 2020",1, Subscription AND adverrisements? No way. The world can get it's news elsewhere. Hard uninstall with a big lump of poo on top.
38,Bruno Esteves Macedo,"April 11, 2020",3," Nice app, a bit slow and the pay to view anoys a bit"
39,Manning Phillips,"April 19, 2020",4, Great app but no way to reduce frequency of update.
40,Jimmy Lam Kok San,"March 2, 2020",5, Excellent apps. Very informative and helpful esp in US stocks prices.
41,Koh Simon Liang Meng,"April 17, 2020",4, Great Coverage & Real Time Data
42,Neeraj Sharma,"March 16, 2020",5," Great app, informative, wish they could also give live feed, then no app can beat this"
43,Barry Levinsohn,"April 5, 2020",1, Keeps asking that I subscribe in order to be able to read articles.
44,Senthilnathan Nagarethinam,"April 23, 2020",5, Best and clean app for business news 👏
45,Muk Phanachet,"April 8, 2020",5," 1-5 yr graph is helpful for analysis. Allow a watch list to track your fav markets, stocks and funds."
46,YAHYA SALEHJEE,"April 3, 2020",5, Very informative. Graphs are very illustrative.
47,Deepak Manocha,"April 9, 2020",5, Articulate analysis and quality reporting makes these a good reading!
48,Jose Antonio Mundo,"March 11, 2020",4," Very useful app, the only thing that I needed to put 5 stars is the lack of widget. Can you please put it? Thank you."
49,TheMogulboy,"March 24, 2020",1, Eliminated the ability to read BusinessWeek for customers with printed subscription.
50,G Y,"April 21, 2020",1, The app keeps crashing on Android
51,William Buchanan,"March 29, 2020",4," Great for Quick Tracking, decent Stats."
52,Jeffrey Choe,"April 2, 2020",1, Unable to receive notifications on my android phone 😢
53,Boyu Wang,"March 8, 2020",5, Very detailed and to the target information.
54,Derick Walk,"April 3, 2020",5," So far, it has been easy to use and navigate."
55,Phillip Thompson,"March 27, 2020",5, Wide scope of important news and opinions.
56,James Krupa,"March 19, 2020",2, No dark mode? Reading at night is a pain!
57,Marcos Kovalivker,"April 21, 2020",5, Great reading very concise Is my first reading of the day Thanks
58,Steve M,"February 27, 2020",2, When you go to the 'Markets' tab and then to 'Bonds' there are no US Treasury bonds listed. It used to have the 10 Year...
59,Ralph Peterson,"March 14, 2020",4, Too many notifications to sign up. News may be somewhat biased?
60,John Greasley,"February 27, 2020",5, Best there is for real time market information !
61,Hamzah,"March 5, 2020",5, Love the design but the dark mode will be much appreciated.
62,Evonne Loh,"March 13, 2020",5, Very easy to use. Fast info
63,Amit Pandey,"April 17, 2020",5," Excellent,keeps u updated about every aspects happening around the world,most importantly a reliable one."
64,Rob Hall,"March 16, 2020",5, Excellent source of market news and information
65,Keith Wood,"April 4, 2020",1, Despite paid subscription still adds!
66,Vik Kuttappan,"March 31, 2020",2," Keeps saying ""you have reached the limit of free articles for the month"", I don't get that from Marketwatch and the same news is free on the internet"
67,fel cheung,"March 16, 2020",5," User friendly, could use more color"
68,David Secoda,"March 26, 2020",4, Well organized and comprehensive. I like it.
69,Manoj Grover,"March 15, 2020",4, please increase free news per month from 3 to at least 5.
70,James Cheung,"March 23, 2020",4, Quite useful and user-friendly
71,Ricardo Varas,"January 22, 2020",1," I'm supposed to be a Businessweek subscriber, but I when I try to read BW articles on the app it drops the warning that I gotta subscribe, not to BW but to the full access account. Which is pretty annoying, I switched from the BW app because just opening it drops an announcement telling me to use th...Full ReviewI'm supposed to be a Businessweek subscriber, but I when I try to read BW articles on the app it drops the warning that I gotta subscribe, not to BW but to the full access account. Which is pretty annoying, I switched from the BW app because just opening it drops an announcement telling me to use the other (this) app. Undo this!"
72,Adam Maslonik,"April 23, 2020",5, Not a paid member but would consider it if they had a retail trading account platform.
73,Rohini Kute,"November 26, 2019",1," Totally useless. All the good content is on Bloomberg Quint Blue, BQ Blue. And this app doesn't accept the paid membership login details of BQ blue. What is the use of this for Indian people if they are coming here for consuming the content available on BQ. That is not available here. It's only on w...Full ReviewTotally useless. All the good content is on Bloomberg Quint Blue, BQ Blue. And this app doesn't accept the paid membership login details of BQ blue. What is the use of this for Indian people if they are coming here for consuming the content available on BQ. That is not available here. It's only on website. Total waste."
74,Alan Sonnenberg,"March 23, 2020",2, News is good but 5 article limit per month means it's not worth installing this app unless you subscribe - for hundreds of dollars per year!
75,B F,"March 9, 2020",1, Extremely annoying login verification
76,Al Darn,"November 11, 2019",4," Way to go Bloomberg!! Two problems fixed, so it's from 1 Star to 4. Let me rotate the screen to use a wider page and I'll make it 5 Starts. It's just a matter of not restricting the page to a vertical-only orientation. Easy peezy."
77,Patrick OBrian,"February 3, 2020",2," I like the content, but it's too expensive per month. Four articles and then cut off just doesn't justify having an app."
