index,author_name,review_date,reviewer_ratings,review_body
0,Ojo Stephen,"February 5, 2019",5," This is a nice idea for a game. It has the potential of being an addictive game, but the developer should do more in terms of hints and explanation. Probably a tutorial on combining colours or something in that line. I'm not an expert on colours so I never pass 3. Anyways it's nice and I'm looking f...Full ReviewThis is a nice idea for a game. It has the potential of being an addictive game, but the developer should do more in terms of hints and explanation. Probably a tutorial on combining colours or something in that line. I'm not an expert on colours so I never pass 3. Anyways it's nice and I'm looking forward to future improvements. Thumbs up Moore."
1,Akinjobi Sodiq,"February 5, 2019",5, Really interesting game. It allows one to revisit primary colors and how they come together to form other colors. The increasing speed puts you on your toes and allows you to think on your toes. Really good one from the developer. Welldone
2,Mateo Hrastnik,"February 9, 2019",4," There's a small bug. When you're in the main menu, then switch apps, then return to Color Match, the falling colors get all synced up and weird. The dev should fix that!"
3,Edith Benstowe,"February 4, 2019",5, the game is superb i think fashion designers would be more into this game nice one
4,Babatunde Ogungbamila,"February 5, 2019",5, Great educative game and challenging
5,Iseoluwa Oyedotun,"February 5, 2019",5, Really nice game plus it makes me think 😅
6,chinny udemezue,"February 2, 2019",5, it's super addictive! Love it
7,A Google user,"February 5, 2019",5, Crazy addictive. I can't stop playing. Nice one.
8,Lawal Dolapo,"February 5, 2019",5," awesome, i couldn't get past 10 but it sure is schooling me on color combinations. learning and fun!!!"
9,Emeka Okafor,"February 5, 2019",5, Tough but I just can't stop. Want to beat my friend's high scores 😭😭😭
10,Mr Ifektive,"February 5, 2019",5, It's mind-racking and fun. Y'all should play
11,Iyanu Olatunji,"February 5, 2019",5, It's a good challenge... I like it 👍
12,sandra obeten,"February 4, 2019",5, it's really cool... very adddictive
13,Haleem Bello,"February 2, 2019",5, Addicted to this game already!
14,Charles Iroegbu,"February 3, 2019",5, Addictive! Really impressive!
15,Michael Odafe,"February 4, 2019",5, the game is just awesome ⭐⭐
16,Anino Anyafulu,"February 5, 2019",5, wicked addictive and tough to master
17,Jackie Dagogo-Hart,"February 4, 2019",5, great game. super addictice
18,Dalu Egbejiogu,"February 4, 2019",5, nice one Bro keep up the Good work
19,david nwokoye,"February 4, 2019",5, love the game
20,Chibueze Okoli,"February 5, 2019",5, Nice game!
21,Morakinyo Ajibola,"February 2, 2019",5, Mind racking
