index,author_name,review_date,reviewer_ratings,review_body
0,Chris R. Woods,"February 23, 2020",1," Can't login. The error message says, ""The action attempted is disallowed, because you have opted out of Facebook. You can opt-in at by adjusting your privacy settings"". 1. Which privacy setting? Am I supposed to allow all of the privacy setting to use this app.? 2. The grammar is bad or ""at"" what, w...Full ReviewCan't login. The error message says, ""The action attempted is disallowed, because you have opted out of Facebook. You can opt-in at by adjusting your privacy settings"". 1. Which privacy setting? Am I supposed to allow all of the privacy setting to use this app.? 2. The grammar is bad or ""at"" what, where, how, .........?"
1,Nick Smith,"March 5, 2020",5, Such a great tool to help figure out when the peak times for post will be for the next time frame. I can not express how much this Tool has helped.
2,gabriela omia,"April 16, 2020",4, I love it... Love the fact that it shows me real time statistics of whats happening with my campaigns
3,Sutjipto Sudjono,"March 29, 2020",5, Informative and resourceful tool to complement other app / advertisements
4,Alexandru Gamangii,"February 25, 2020",1," Not working, it says ""We are working on it and we'll get it fixed as soon as we can"""
5,Keith Murray,"April 16, 2020",5, Does what is says and I really dig being able to see FB Page & Pixel stats together!
6,Asma Sajid,"April 1, 2020",1," Nothing is showing up, I logged in and just a blank page is showing on the app"
7,Tony Fevrier,"March 1, 2020",4, Really good app. Excellent for on the go analytics.
8,kiran kumar Jain,"March 9, 2020",4, Good but can be great with a little improvement
9,Hai Minh Nguyen Doan,"March 11, 2020",1, Cannot see update of latest posts since one month
10,Sprinkly Gloom,"February 14, 2020",1, Doesn't work. Errors keep appearing.
11,Viktor Geczy,"December 6, 2019",3," Very good functionality, BUT if you change your time zone from Pacific to GMT+1, chrash occurs and you are not able to restart the app (""keep saying something wrong""...), so you have to delete cache/all data to use it again. Update: even if you reinstall the app you cannot select the previosly selec...Full ReviewVery good functionality, BUT if you change your time zone from Pacific to GMT+1, chrash occurs and you are not able to restart the app (""keep saying something wrong""...), so you have to delete cache/all data to use it again. Update: even if you reinstall the app you cannot select the previosly selected ""event source"" (Page) what has been already chrashed, you cannot run filters at all on these pages. Only your other pages. Interestingly , GMT+0 (London) timezone works well Pls. fix it asap:)"
12,Dachshund Addict,"March 4, 2020",5, Love The Audience Activity Time Analytics!
13,liam wilson,"February 17, 2020",1, App doesn't work it only works on the demo
14,Ajay 20one,"December 28, 2019",1," Unable to login... Showing ""Account temporarily not available"" message but my account is active and working properly. Please fix this bug."
15,Joseph Aigbe,"January 19, 2020",1," I am unable to access my page ""£lite my comic house"". using Facebook analysis it keeps un saying an unexpected error occurred we are working to fix it ."
16,Joshua Carpenter,"January 22, 2020",2, Facebook groups Left behind again. Facebook group owners used to have their own app we could look at all of our data and manage our. they took that away and the only thing left is this app which also ignores Facebook groups
17,Wongani Vinkhumbo,"December 23, 2019",1, It just keeps giving me an error l cannot see anything! Even after uninstalling and reinstalling. Please fix this
18,Sean Dugmore,"January 21, 2020",4," Have found this app to be very useful monitoring daily stats and metrics, compliments some of the other popular apps like pg manager & ads very well."
19,Raviviviiveee,"February 7, 2020",1," Zero support, unable to login, not receiving verification codes"
20,Stephanus Surya Jaya,"January 24, 2020",3," works fine, but suddenly the option to create filter bases on user who do an event disappear.."
21,Kristine Ravanera,"December 8, 2019",3," While seeing the numbers are okay, there are so many other details and much more numbers that I'd like to see as additional information from the app."
22,joshua moses,"December 10, 2019",5, Very nice app and it's guide to our page all the time.
23,Deejay Sagacious,"January 2, 2020",1, They keep telling me Analytics keep stoping anytime i try to login the app
24,brenhan van niekerk,"April 11, 2020",1, The app doesn't open
25,Al Fahad,"January 4, 2020",1, This app is full of bugs and needs development clearly. I logged in my account and it stopped working. Tried it 3-4 times but in vain. Please fix this so I can see the analysis of my account. Thanks.
26,Masood Ahmad,"December 11, 2019",1," It's full of bugs, pleas solve it."
27,A Google user,"December 8, 2018",3," This app is suitable for quickly checking basic metrics on-the-go, and is handy for adding visual impact to conversions about marketing performance. Reports interface is frustrating, but it's easy enough to create a simple report on the fly. The performance can be slow, and the 90-day history limit ...Full ReviewThis app is suitable for quickly checking basic metrics on-the-go, and is handy for adding visual impact to conversions about marketing performance. Reports interface is frustrating, but it's easy enough to create a simple report on the fly. The performance can be slow, and the 90-day history limit makes the app useless for anything other than performance monitoring. Don't expect many actionable insights from this app beyond your current campaign performance. There are no page insights or event values available, so you'll still need to visit the Pages Manager and Google Analytics apps for the full story."
28,Christian Paterson,"November 10, 2019",1," Doesn't work for me - just keeps saying ""Something went wrong, working to fix error as quickly as possible"""
29,vamsisurya bharadwaj,"December 6, 2019",1, Not working in my redmi note 5 pro mobile
30,Shelby Reed,"January 11, 2020",1," ""Something went wrong"" Facebook needs to get their stuff together"
31,Fortuna Guest House Balikpapan,"November 4, 2018",1," Cant use this app with my samsung galaxy note 9. It just said ""Data collection in progress. We've started collecting data for your Page. You will receive a notification once your data is ready."" And it's been days after I install and login to this app."
32,Lebo Lekhuleni,"February 6, 2020",5, Insight on video view count vs reach would be a plus but overall an excellent app
33,Kieran Hirpara,"November 7, 2019",1, I have the page won't load error for my Facebook business page for two weeks. I have reinstalled several times to no avail.
34,J and B Financial,"November 22, 2019",5, It is an easy to use app that helps me determine how my Facebook pages are performing.
35,Harry Rostran,"February 3, 2019",4, I tried this app last year 2018 and it sucked. Now it looks like the people from fb got their stuff together with this app. great app. much better than before. this app plus Google analytics is a must.
36,PIXEL Agency,"December 29, 2018",5, A necessary tool for digital advertising. Easy to get a 30k ft view and provide reports for clients. would love more charts similar to desktop version.
37,Robbie Reynolds,"October 28, 2019",5, Excellent app for analyzing social campaigns and multichannel marketing programs.
38,Keith Duncan,"November 20, 2018",1, It doesn't work. I installed it yesterday and it said that it is still collecting data from a page I linked it to. As of today it still says the same thing
39,gnarendrababu Narendrababu,"February 1, 2020",1, This app bugg issue ⚠️ Not able login through mobile app. I don't Why these Facebook released this application.
40,Morten Johansen,"July 10, 2019",4, Need it for analytics of page. Miissing access to download the data so you can mix and match your analytics vs ad campaigns and other events on your page.
41,Binay Dangol,"December 8, 2018",5," Good analytics for viewing facebook pixels installed. Need more analytics that is available in facebook insight as demographic information, viewer details, impressions , reach etc"
42,Kenneth Omuomo,"February 28, 2019",4," I love how the app displays metrics on sales, and the variety of statistics to display is awesome!! Cool app to have for your analytics needs"
43,A Google user,"September 21, 2018",1," It hasn't worked for a week. Says ""opps, something went wrong & we are working to fix it"""
44,sougata mitra,"December 2, 2018",5, A superb way to keep a track of your post performance and ways you can boost it.
45,Florin Adam,"March 10, 2019",5," usefull, but i don't understand exactly how the ""revenue is calculated"" because comparing to the actual sales over the selected period, facebook analytics app shows much more then the actual amount. what is the reason? what are you calculating exactly?"
46,Taimoor Ahmad,"July 16, 2019",4," Not bad but it has less features than the desktop app, and it seems to update more slowly too."
47,Darko Palic,"December 3, 2019",2," Very unstable, takes multiple starts until app is responding"
48,Mohammad Dawood,"January 24, 2019",4," Need to be able to customize more and drill down more in data, but it a good start"
49,Kush,"September 21, 2018",3, Custom alerts doesn't work. Apart from that the app is perfect.
50,efemena ipoko,"July 3, 2019",5," best app ever, it digs deep and gives you insight you wont normally see on facebook page insights on web. insights like user retention."
51,fun Harry,"November 25, 2018",1," Why does it not log in, even after I type in the password. It sucks"
52,Christopher Jaynes,"June 12, 2019",5," great analytics tool. helps when FB pixel is linked with FB page for great, thorough information."
53,Lucie Barr,"November 3, 2018",3," Doesn't work for personal pages, which I thought it would."
54,Dragan Milanovic,"August 6, 2019",4, Good app. Clear dashboard easy to get reports. Perfect
55,Mo Elrawi,"April 6, 2019",3, could not log in on my phone. i have it at work on my MAC but my phone is android and the app didnt open
56,Edward Ware,"August 4, 2019",5, pretty good to keep on top of your ad spend to see what's working from your pixel perspective
57,Allison,"October 26, 2019",4, The data looks good.. Although seems completely different from the pages app!
58,Gideon Mohame,"March 22, 2019",3," great app, if all features on the web version could be incorporated, that be great"
59,Waqas Zia,"December 23, 2018",5, simplified analytical experience.. customizable reports are a plus
60,Austin Brittain,"March 8, 2019",5, I love the specs. all the plugins make monitoring results easy
61,Paul Pantanilla,"February 14, 2020",1, This app is such a waste of time... I uninstalled it just after a minute of dowwnloading it... Useless! NO STAR AT ALL
62,Burin Yiamsombut,"May 28, 2019",3, I wish to also see daily spending and evaluating graph by campaign.
63,Kent Wu,"May 22, 2019",5, simple & easy to understand reports for effective actions.
64,Mohamed Eltigani,"January 16, 2019",5," amazing app, all useful details on a single screen"
65,SunnyCon Anime Expo,"June 6, 2019",5," Tracks what I want, it tracks what I want, this app is simple, it tracks what I want!"
66,Abhishek Sharma,"December 30, 2018",5, You feel good when you get your social media strategy is doing good and Facebook Analytics shows the exact number of data and where we need to work.
67,Guillermo N,"March 12, 2019",4, It's fine. but it's limited for doing segment analysis like for example per country
68,Vic,"June 29, 2019",5, So far its good very informative it restarts every now ans then but no big issue
69,Youtube Insider Tutorial,"October 17, 2019",5, This app's is best for Facebook page analyses & make sure the best experience for using Pages.
70,Best of Indian Products Marketplace,"December 25, 2018",5, Additional to Google helps in better understanding of visitors.
71,A Google user,"February 16, 2019",4," Cant see request from app, need to login from web site."
72,Salman Khan,"September 4, 2019",5, Great app to review all the stats from our pages and pixels
73,Samuel Farrand,"November 17, 2018",5, Quick retrieval of important data at finger tips
74,Lennart Blumenberg,"August 13, 2019",5, great app. Does what it's supposed to do and that's enough to get five stars
75,Tony Grainger,"February 24, 2019",4, very good info. keeps me aware of traffic and hits
76,Ibrahim Ahmat,"December 1, 2019",5, It does what it suppose to do. Good enough to understand your visitors.
77,Skinny Boy,"November 16, 2019",1," I've been locked out of my account for more than two months, no one from Facebook seems to care."
78,Jawad Amjad,"February 24, 2019",1," bad, worked only once and then Network Error always"
79,Sunil Inty,"October 20, 2018",1, Poor insights. Very limited. Not useful at all if you're trying to grow a page.
80,Francis Roda,"September 9, 2019",5, It shows the analytics that is not shown in ads manager
81,Thomas Simon Mattia,"February 16, 2020",3, Why doesn't it show custom events?
82,Aaron Beyers,"May 30, 2019",5, Really good. Really helpful for first time users
83,Timothy Leighton,"February 20, 2020",5, Download messeges deletes hold pages to facebook again
84,Positive Pakistan,"February 19, 2019",5, very good app promote every body.... bundle thanks
85,Scott Johnson,"October 24, 2019",4, Excellant...slow at times but all round good
86,Sylvester Amoako Yegoe,"September 27, 2019",5, Very helpful and easy to use
87,Donald Atchison,"December 3, 2019",5, I use this to build my business. Data is everything!
88,Rikard Lindholm,"November 21, 2019",5, One of the Most valuable tools for Growth hackers
89,Elijah Palmer,"January 4, 2019",5, Excellent and getting better all the time!
90,azim hossain,"April 4, 2019",5, Awosome tools to trac real time happenings of my pages.
91,Giacomo Cacciatori,"December 2, 2019",4," The app is okay, waiting for new features :)"
92,Aegis Podiatry,"May 2, 2019",5, it's as good as Google analytics so far..
93,Stephen Hall,"April 20, 2020",5, Everyone should try this app out
94,Michael Shakeshaft,"March 27, 2020",3, didn't find it very useful
95,menna nu,"March 12, 2019",5," it gives me a best experience to know which are my customers, types of my customers, which device they use, where at my customers and many more usefull informarion to help grow my business. thanks"
96,Blend2 Blends,"June 29, 2019",5, absolutely excellent! i would recommend it to anyone
97,Ernest Darko,"September 13, 2018",1, I couldn't use the app. Nothing to display
98,M Akbari,"September 27, 2019",5, Great analytic app!
99,Reegalya r,"January 3, 2019",5, useful for the business trip up ...
100,Igor Stajic,"October 14, 2019",5, Great app for monitoring
101,Josephine Butler,"June 25, 2019",1, won't like to the page I won't it to. it just keeps doing what it likes
102,Una Kim,"August 22, 2019",5, Good to see the analytics at a glance!
103,Filip Faletar,"May 16, 2019",5, Maybe the only Facebook app that works really fine
104,Wijittra Phakawan,"February 21, 2020",5, Facebook Analytics downloads now .
105,Tjatur Wiharyo,"March 16, 2020",5, Easy to understand n it ia official 😁
106,Stefanie T,"March 22, 2020",1, Doesn't do anything
107,Soufiane Mahir,"March 24, 2020",5, amazing but wee need moor analytics
108,payodh patel,"March 11, 2020",5, Great learning experience
109,Jahidul Islam,"January 27, 2020",1, Why it's not working
110,Xolani Chris,"March 11, 2020",1, Useless and waste of time 😠
111,Mr. Veritas,"March 18, 2020",1, It doesn't work.
112,Micheal Bolus,"December 25, 2019",5, Very good application 👌
113,Kumar hule,"April 22, 2019",5," yes , found very useful👍👍👍"
114,Morgan Trudeau,"December 6, 2019",5, Excellent options. Provides a great view of my business statistics.
115,Comic books in Arabic,"July 7, 2019",1, worthless and needs way more updates to be even useable
116,Bharat Honey Hyderabad,"September 4, 2019",5, Useful for marketers.
117,Sarmad Gulzar,"January 6, 2019",1," can't sign in, Help!!!"
118,Molly Nicholson,"November 28, 2019",1, Error wont even open
119,InstaClean - Clean & secure your inbox,"December 29, 2019",2, How can i check all custom events list ?
120,Alexander Twinokwesiga,"May 11, 2019",5, The app is rather quite helpful.
121,Máté Pócs,"July 13, 2019",1, app data is not available :/
122,DIGITAL PIYUSH,"August 27, 2019",5, Fast and easy going
123,A Google user,"February 13, 2019",5, nice app. easy to use
124,farouk sayf,"December 1, 2018",3, only for pages? not profile?
125,Jalu Kaba X,"May 3, 2019",5, Good apps. Thanks Dev
126,VISTO AMERICANO EXPRESS,"May 21, 2019",5, Very good and accurate aop
127,Isagani Rontale Jr,"September 17, 2019",5, Ip address.department of defence
128,Rajiv Ramaswamy,"September 14, 2018",1, Nothing being displayed
129,Thaik Tun,"July 10, 2019",5, great app very useful
130,Toms Kurian,"June 25, 2019",1, can't fetch last 28 days data?
131,xina 2k,"July 16, 2019",1, useless. not showing any data
132,Delta Scientific Services,"November 9, 2018",3, Needs more effort
133,shripad umrekar,"February 3, 2020",1, Not good work
134,A Google user,"October 2, 2018",4, It display something after today update. Thanks
135,Inecasio para,"January 5, 2020",4, Alliances in motion global inc
136,youssef Manar,"December 30, 2019",5, A great tool
137,IVAN SILVA,"December 25, 2019",5, So far so good!
138,Krishan Mishra,"March 27, 2020",1, Very bad app nothing here
139,Khai Nguyen,"April 15, 2020",1," Fake news. Hoang Sa, Truong Sa belong to Vietnam"
140,Enrique Garcia,"February 22, 2019",5, Great Usefull App
141,Raj Patel,"June 26, 2019",4, Make creator studio app with more insights
142,Alimardanov Ceyhun,"January 1, 2020",5, Were useful app
143,jessie lumapay,"August 28, 2019",5, How to daily access using in the business?
144,MD RUBEL RANA,"December 10, 2019",5, Theng tow gader
145,UNB,"January 6, 2019",1, Not work properly
146,Paul Elliott,"February 26, 2019",4, Seems to give some accurate stats.
147,Emil MayRath,"August 17, 2019",1," Usless, literally only does what the Facebook app already does."
148,Lebanon Doctor Computer,"March 10, 2019",5, it is very useful... thank you
149,Paulo Costa,"August 27, 2019",5," That's ok. Could have more info. But it works, for now"
150,A Google user,"November 15, 2018",5, stay on top of the app regularly so we can make it better for you
151,Janice Caunter,"April 15, 2020",2, I am not happy With facebook
152,Muhammad Bilal Gill,"December 14, 2019",1, Should include earnings tab from Monetisation.
153,Ali Aman,"September 22, 2018",1, It doesn't work at all.
154,TK BunBun,"April 16, 2019",5, great data report
155,Royce tiger Johnson,"July 18, 2019",4, good source for keeping up on businesses.
156,Soe Wathone,"March 10, 2020",5, Uisin is good.
157,KibRia ChowDhuRy,"April 22, 2020",1, Its not work
158,Jorge Espinoza,"August 31, 2019",5," Very important facts, I like it!!"
159,Caio Malta,"November 30, 2019",5, ⭐⭐⭐⭐⭐ 5 STARS!! GOOD INSIGHTS!
160,Howard Savage,"October 18, 2018",5, Thank you for the your Support...
161,Unusual Tech Pro,"December 12, 2019",1, Does not working
162,Black Caviar Sushi,"January 29, 2019",2, can't show how many user liked that page
163,Saadi Hassan,"September 5, 2019",5, Good for those who want to keep track
164,Mr Haiya,"January 5, 2020",3, Thanks for your help
165,Knet Pengo,"September 24, 2019",4, Great experience so far
166,Vardhman Jain,"September 28, 2018",1, Worst analytics app
167,A Google user,"November 21, 2018",4, Its A Work In Progress
168,Andy Chew,"November 17, 2018",5, I think should be great this this app
169,Charless Nicholss,"November 3, 2018",5, Someone been going against mr uploadon
170,cho Gyi 1980,"February 8, 2019",4, great suggested tips
171,Kevin Ang,"November 4, 2019",1, hard to use
172,Htain Lin Paing,"December 22, 2018",5, It can change to omsk time.
173,Karel Čapka,"September 20, 2018",1, Doesn't show anything
174,Resham khadka,"September 21, 2019",1, i want to give 0 star.
175,Se Mo,"February 14, 2019",1, is it work in Egypt ?
176,Mohan B S,"October 26, 2018",3, limited Insights Web Analytics.
177,redha damoh,"October 20, 2018",1, Doesn't work
178,rคเn ʍɦօռɖ,"November 27, 2018",5, We'll done
179,don david,"October 20, 2019",4, Great accurate data
180,MrKuah SoonHooi,"January 7, 2020",5, Alfine to search do inc
181,কৌশিক সিন্থু,"May 16, 2019",2, not bad otherwise not good
182,Irvan Sadewa,"May 20, 2019",5, Awesome ..very helpful
183,Mario Opperman,"July 3, 2019",3, Can be better
184,ahmadullah rds,"September 27, 2019",1, This Didn't work
185,Pam Swisher,"August 2, 2019",5, I love it!
186,Spalding Trailers 2019,"October 21, 2018",1, It's useless.
187,Kuah Soon Hooi,"May 20, 2019",5," Take♡Star☆Green¤Fiv~Al""d;I'Am."
188,Chhorm Phiron,"July 25, 2019",5, Gaming videos creators live
189,श्री कृष्णा By Raman Kumar Ynr,"May 26, 2019",5, Good App By Facebook Team
190,adrian hilterman,"January 22, 2019",5, 🔥🔥🔥 love you fb
191,Putshy Store,"January 4, 2019",4, Ya good app
192,things-get-real,"May 1, 2019",1, shows no data
193,Sarp Tolga Guzeloglu,"September 18, 2019",5, ii aq analitik iste
194,mark jesina,"June 11, 2019",4, havnt tried yet
195,suraj kumar,"September 29, 2018",5, Ert driver app
196,kid kaitou,"April 16, 2020",1, đả đảo lũ Facebook liên tục cập nhật sai chủ quyền của Việt Nam
197,TheTekCoffee Shop,"April 16, 2020",1," Hoàng Sa, Trường Sa là của Việt Nam"
198,Techno like,"April 13, 2020",1, Bakwas hai
199,samiun chowdhury,"April 17, 2020",1, Not working
200,Krishnabihari Lodhi Rajput,"April 18, 2020",3, Krishna Bihari lodhi Rajput
201,valtari tv,"March 13, 2020",5, Informatif
202,Ishtiaq Rahman,"April 9, 2020",5, Great app
203,Charles Cool,"March 7, 2020",5, Great app
204,M Nasir,"March 14, 2020",5, Great app
205,Thodoris Tresas,"April 3, 2020",5, Great App
206,ကိုကို ေဌး,"February 27, 2020",5, good
207,Manisan kadan man,"March 10, 2020",5, Nice
208,Marius Eaton,"April 8, 2020",5, Nice
209,Mi Pad4plus,"April 9, 2020",5, Good
210,manoj kumar singh,"April 18, 2020",5, Nice
211,Reshma Pal,"February 3, 2020",3, Quite goid.
212,Bharatbhushan Verma,"January 31, 2020",1, Poor service
213,Akbar Rozzak,"December 24, 2019",1, not work
214,Bhattha News Shayri,"January 8, 2020",1, Bekar
215,Massimiliano Boniello,"January 23, 2020",5, Excelente
216,MD:MARUF HOSSAIN MD:MARUF HOSSAIN,"January 31, 2020",3, গোপনীয়তা
217,SEEXY NADEGE,"December 14, 2019",5, Cool one
218,Amit kumar,"December 14, 2019",5, Good app
219,DeYang Channel,"January 29, 2020",5, Great App
220,JB VLOGS,"December 9, 2019",1, Bad
221,Sumit Kumar Gupta,"January 2, 2020",1, Worst
222,กมล โฃตม,"December 7, 2019",5, Excellent
223,Eddie Clark,"February 10, 2020",5, Greatness
224,CalXCo 4G64T,"February 1, 2020",4, Good
225,EcoValley UK,"January 31, 2020",5, Great
226,Roads & Hi-way,"September 13, 2019",1, No need
