index,author_name,review_date,reviewer_ratings,review_body
0,Meredith Johnson,"April 24, 2020",2, I used this app for 2 months it has a lot of bugs. Sometimes it won't sync your steps or let you enter your meals. But my main complaint is that you're paying $99/ month for intensive nutrition counseling from a coach and the engagement just isn't there. I was expecting daily check-ins and sometimes...Full ReviewI used this app for 2 months it has a lot of bugs. Sometimes it won't sync your steps or let you enter your meals. But my main complaint is that you're paying $99/ month for intensive nutrition counseling from a coach and the engagement just isn't there. I was expecting daily check-ins and sometimes I don't hear from my coach in a week. For that level of engagement I could pay less for Noon.
1,chaos Roland,"April 24, 2020",1, There are so many ads and i tryed to sign up but and error alway occurs
2,Brandon White,"February 3, 2020",1," Horrible user experience, spent 10 minutes just figuring out how to sign in and recover my account from facebook. Their website doesn't explain any of this. Once I finally recovered my account it says you have to pay $10 a month to do anything. Not going to pay because it shows you nothing about wha...Full ReviewHorrible user experience, spent 10 minutes just figuring out how to sign in and recover my account from facebook. Their website doesn't explain any of this. Once I finally recovered my account it says you have to pay $10 a month to do anything. Not going to pay because it shows you nothing about what you will actually get out of the app. This app was somewhat decent several years ago, now it is a waste of time."
3,Fred Alluso,"February 10, 2020",1," I am a Pro user. The app looks great, and often performs ok. However, when there is an update I begin having issues w/ place tracking and auto synching. Moreover, I've reached out to the developers about my issues and they are not returning my messages. Most issues would be straightened out via prop...Full ReviewI am a Pro user. The app looks great, and often performs ok. However, when there is an update I begin having issues w/ place tracking and auto synching. Moreover, I've reached out to the developers about my issues and they are not returning my messages. Most issues would be straightened out via proper user manual/videos, but it looks like the focus has changed to further monetization. I was a real evangelist for this app. But between a clunky UI/UX and my other issues I have reduced my rating."
4,Artur Kalnins,"January 20, 2020",4, Edit: after months of uses they added a lot of features but i wish instead of taking pictures they could integrate with myfifnesspal to add calorie counting. The app is great but iphone has ALOT more features than android while we pay the same price. Game of life seems to not update aswell. Could us...Full ReviewEdit: after months of uses they added a lot of features but i wish instead of taking pictures they could integrate with myfifnesspal to add calorie counting. The app is great but iphone has ALOT more features than android while we pay the same price. Game of life seems to not update aswell. Could use some widget on screen aswell
5,Brendan Coughlan,"December 16, 2019",2, There is no free trial period as promised. I was charged and not given a refund even after asking them. It does have a lot of potential though if they implement what they are trying to advertising
6,Joey Cuddington,"December 23, 2019",4, Immersive and interactive component add-ons!! You can even print out a book with a paid subscription
7,Vikas Vadlapatla,"December 31, 2019",3, It's too expensive for my activities (or the lack of). A free aggregator like Google Fit works for me
8,Ashwin Casmir,"April 24, 2020",1," Terrible!!!! They blind sided me by stating that I would be getting a free 30 day trial, but I was made to pay the money for the subscription. And I didn't like the product, so I decided to ask for a refund within an hour and they said that they won't make the refund. And no response for my mails af...Full ReviewTerrible!!!! They blind sided me by stating that I would be getting a free 30 day trial, but I was made to pay the money for the subscription. And I didn't like the product, so I decided to ask for a refund within an hour and they said that they won't make the refund. And no response for my mails after that... Please don't fall for their trickery, and make the payment."
9,Anton Chuvakin,"November 17, 2019",1," No heart rate from Google Fit, why?! So far, I only started trying the app but this just struck me as odd and sad. I just uninstalled after about 3 weeks of use. Overall, the app is just... well.. pointless. It has literally no point to it. It provides no insight beyond what Google Fit or Fitbit wil...Full ReviewNo heart rate from Google Fit, why?! So far, I only started trying the app but this just struck me as odd and sad. I just uninstalled after about 3 weeks of use. Overall, the app is just... well.. pointless. It has literally no point to it. It provides no insight beyond what Google Fit or Fitbit will provide."
10,A Google user,"December 9, 2018",3," I paid for premium and used it daily for 6 weeks. This app has potential but it's just not ready yet.  Pros: + Good UX with intriguing visuals + Mostly brings all of your health stats into one place + Mood tracking was useful  Cons: - Not enough integrations. One sleep tracker, one scale, one music ...Full ReviewI paid for premium and used it daily for 6 weeks. This app has potential but it's just not ready yet.  Pros: + Good UX with intriguing visuals + Mostly brings all of your health stats into one place + Mood tracking was useful  Cons: - Not enough integrations. One sleep tracker, one scale, one music app, no diet apps. - Integrations it does have are incomplete. Garmin only gets steps (incorrectly) but not workouts or sleep.  - For a small company, they don't respond to customer service at all.  I really wanted this to be what it promises. At some point it might be, but right now this app just doesn't come close enough to its aspirations."
11,Craig Lynch,"March 14, 2019",1," $70 bucks a year for what? Steps, accurate from fitbit, heart rate seems accurate, cycling from strava works 50% of the time. Sleep data wildly inaccurate, places this is the part that pisses me off the most. Does the app even use my GPS. Works fine with everything else. Not gryochoke. Travel maps l...Full Review$70 bucks a year for what? Steps, accurate from fitbit, heart rate seems accurate, cycling from strava works 50% of the time. Sleep data wildly inaccurate, places this is the part that pisses me off the most. Does the app even use my GPS. Works fine with everything else. Not gryochoke. Travel maps look drawn by a 3rd grader and an Etch a sketch. Places have me 4 miles away when I'm sleeping in bed. If this app was $5 I'd still be pissed. Developers should be ashamed. IPhone only app. No android"
12,Jeevan Naika,"March 26, 2020",1," Too costly for nothing.. On iPhone its bit fine, for Android it sucks.. Too costly pricing.. With this price I can get a netflix 😅"
13,Leith Cullen,"October 7, 2019",1," When moves shutdown, this company said they would step up and continue where moves left off, with more features and improvement, I have yet to see this promise. It's now been sometime and still nothing but attempts to push me to a paid subscription. Unfortunately I will be uninstalling and won't be ...Full ReviewWhen moves shutdown, this company said they would step up and continue where moves left off, with more features and improvement, I have yet to see this promise. It's now been sometime and still nothing but attempts to push me to a paid subscription. Unfortunately I will be uninstalling and won't be back for the foreseeable future."
