index,author_name,review_date,reviewer_ratings,review_body
0,Duane Avery,"April 23, 2020",3," The first version of this APP seems to be fine on my Android and PC, my question is when are you going to develop a version for Android TV? Five stars when you make that available, many people watch video only on those platforms. I rarely use Android or PC to watch videos, the TV is the way to go. G...Full ReviewThe first version of this APP seems to be fine on my Android and PC, my question is when are you going to develop a version for Android TV? Five stars when you make that available, many people watch video only on those platforms. I rarely use Android or PC to watch videos, the TV is the way to go. Good work, keep the progress going! I'm enjoying an alternative uncensored video platform where you can speak your mind, or listen to someone else and not be banned."
1,Tyler Anglace,"April 24, 2020",4," sometimes when scrolling through the feeds, the screen goes blank or flashes the results above or below where i was. for the most part though, lbry is amazing. even with the inability to comment, it's better than the other video hosting sites. this doesnt make it any worse, however, and it's still a...Full Reviewsometimes when scrolling through the feeds, the screen goes blank or flashes the results above or below where i was. for the most part though, lbry is amazing. even with the inability to comment, it's better than the other video hosting sites. this doesnt make it any worse, however, and it's still a great alternative to what's become ""internet TV"""
2,Boss Chad,"March 27, 2020",5," This app is a great start for YT alternatives, needs a comment section, customized themes and optimization for mobile data as the load time is dismal, but this is beta so I expect bugs and stuff, great work, I hope LBRY is a huge success. Edit: You devs need to step it up and fix the app, I don't ev...Full ReviewThis app is a great start for YT alternatives, needs a comment section, customized themes and optimization for mobile data as the load time is dismal, but this is beta so I expect bugs and stuff, great work, I hope LBRY is a huge success. Edit: You devs need to step it up and fix the app, I don't even use it because it's unuseable, nothing loads, can't watch any videos at all, just a spinning circle, In a few weeks I'm going to start subtracting stars if you dont fix it."
3,Charles Head,"March 29, 2020",1," Probably the poorest performing app on my phone (Pixel 2). I like the LBRY service, but this app is severely lacking in quality. UI response time is horrible. Even opening the menu takes several seconds. Videos are laggy, and initialization takes forever. It's missing much of the basic functionality...Full ReviewProbably the poorest performing app on my phone (Pixel 2). I like the LBRY service, but this app is severely lacking in quality. UI response time is horrible. Even opening the menu takes several seconds. Videos are laggy, and initialization takes forever. It's missing much of the basic functionality you would expect in a content streaming app. Maybe this is the price the users pay to make pennies (or less) per day in crypto. Makes me wonder if that's how the devs were paid."
4,The Solamnic,"April 19, 2020",4," Nice to see an option pop up that is becoming a viable alternative to YouTube in regards to content. That being said, would be nice to see some features in the app like dark mode and selection for different resolutions. The Android app is still in beta and it has really been shaping up."
5,Brett Munson,"March 27, 2020",1," FAIL!!! No problem signing in from my laptop, but when I try with the app, all I get is ""ERROR"", full stop. If I can't access my subscribed content with this app, then the app is useless. Please fix it."
6,CM E,"April 8, 2020",2," It doesnt work very well yet. Long load times, audio from video plays after you close the app. I've had to restart my phone to get it to stop. Maybe it will be usable someday."
7,Atiagooq,"April 11, 2020",1," sucks soo bad... Just made and account then a video started playing and are downloading the same video.. so we have to download EVERY VIDEO TO WATCH??? After closing the app and resetting it I lost my crypto. I logged back in and no more ""money""... what kind of bs is that? also ITS SLOW AF!"
8,Don Paschal,"March 28, 2020",3," I would use this app more often if it were easier to connect to the servers, especially at times when you have slowed-down data. This app has been up for month WITH UPDATES and you have not figured this out."
9,Priyanshu Chatterjee,"April 24, 2020",5," Great app! Good interface, support and facilities. And above all, the content freedom! Thanks and keep it up and being better by the days!"
10,ian paul Saringan,"April 15, 2020",1," Very difficult to use becauss of its slowness. Many videos doesn't seem to play, and took me a lot of time waiting."
11,Darren B,"March 29, 2020",3, Would like to see automatic full screen when phone is horizontal. Also a double tap to fast forward or rewind would be great.
12,Bonic Gamer,"February 13, 2020",3," The app needs more work. When I open the app it starts to download whatever video was last playing without me pressing the download button, and the downloads stack, so now I have two videos that try to download when I open the app. Another issue is that sometimes when I switch from a video to anothe...Full ReviewThe app needs more work. When I open the app it starts to download whatever video was last playing without me pressing the download button, and the downloads stack, so now I have two videos that try to download when I open the app. Another issue is that sometimes when I switch from a video to another, the first video continues playing even when I close out everything and tap ""stop"" on the background service, and the only way that I know to stop it is to restart. Also dark mode please :)"
13,WolvesBoosted Channel,"April 11, 2020",2, I'm experiencing a playback error even after I close the app. Just letting you know here. Thanks
14,Aidan Taniane,"February 15, 2020",3," Technologically brilliant, but the app is in much need of polish, startup time is excessively long, battery consumption is off the rails, which forces me to kill the background process and go through the startup routine when I want to access it again. And whether following list loads is a bit of hit...Full ReviewTechnologically brilliant, but the app is in much need of polish, startup time is excessively long, battery consumption is off the rails, which forces me to kill the background process and go through the startup routine when I want to access it again. And whether following list loads is a bit of hit or miss."
15,Simon Schubert,"February 29, 2020",3, The app became extremely slow on startup(10-15 seconds until meta data appears) and about 5-10 seconds in between button click and screen change. It's probably the worst performing app on my phone. On a pixel 2. Beside that I love LBRY and hope for updates or a rewrite of the app in pure kotlin inst...Full ReviewThe app became extremely slow on startup(10-15 seconds until meta data appears) and about 5-10 seconds in between button click and screen change. It's probably the worst performing app on my phone. On a pixel 2. Beside that I love LBRY and hope for updates or a rewrite of the app in pure kotlin instead of that Java and react mixup.
16,SoothingTouch WellnessCenter,"February 9, 2020",1," App was running in the background non-stop since installing, and this was after ""closing the app""! I had zero apps running, yet this was still in drop down list. When I finally got it killed, I could access internet at a decent speed... I can only imagine how much of my files/personal data & info it...Full ReviewApp was running in the background non-stop since installing, and this was after ""closing the app""! I had zero apps running, yet this was still in drop down list. When I finally got it killed, I could access internet at a decent speed... I can only imagine how much of my files/personal data & info it was accessing. After uninstalling my S9 Plus is running at a normal speed, not sitting stalled between screens, etc."
17,josh mizzi,"April 19, 2020",4," Cool app, the content seems a bit limited at the moment but looking farward to where it goes."
18,Chuffpup,"February 7, 2020",1," Pretty bad. I've tried to install it about six times! and it crashes. In the crash report it appears to say it's a fake app... Is this due to a playstore problem, , or have I made some stupid mistake? The online lbry tv experience hasn't impressed me, and I'm fed up with this fake app business. Sham...Full ReviewPretty bad. I've tried to install it about six times! and it crashes. In the crash report it appears to say it's a fake app... Is this due to a playstore problem, , or have I made some stupid mistake? The online lbry tv experience hasn't impressed me, and I'm fed up with this fake app business. Shame, because I wanted to ""see what the fuss was about"". Pissed off."
19,Peter Tomov,"March 2, 2020",4," Pretty much the whole service appeals to me. One of the best things? You can simply let it play in the background or download and play on the road right out of the box. Now once enough people create content on here, YouTube will be dethroned for many users."
20,Dave Thomas,"February 12, 2020",3, Uses power and data while running in background. Not quite as good as YouTube yet. Looking forward to it being as good or better...search functions need work. YouTube has killed some of my favorite channels. We need this competition!!!!
21,David,"February 29, 2020",5," Absolutely love LBRY! This platform has the potential to be a true YouTube alternative because it is innovative and powerful. Love that i can not only publish videos, but also audio, PDFs, and other media file formats. Truly dynamic."
