index,author_name,review_date,reviewer_ratings,review_body
0,Bryan Wang,"April 22, 2020",1," I've been using QQ for more than 10 years and kept in touch with my old friends. Recently it was forced to be updated to the new version. I cannot login without link it to my phone number which I don't remember. It has been more than 10 years. Too bad. Why cannot I login by username and password as ...Full ReviewI've been using QQ for more than 10 years and kept in touch with my old friends. Recently it was forced to be updated to the new version. I cannot login without link it to my phone number which I don't remember. It has been more than 10 years. Too bad. Why cannot I login by username and password as usual? Actually I can login, but cannot send or receive any messages. I hope the next rev would fix the bug."
1,Daisy Wiratama,"April 14, 2020",1," it is helpful for my online learning but this app gets error for several times and I don't know why. Whenever my qq is error, I restarted my phone, but nothing happened. It's written that my connection is poor, but at the same time I can use other chinese apps like wechat, chaoxing platform, and moo...Full Reviewit is helpful for my online learning but this app gets error for several times and I don't know why. Whenever my qq is error, I restarted my phone, but nothing happened. It's written that my connection is poor, but at the same time I can use other chinese apps like wechat, chaoxing platform, and mooc perfectly without any connection problem. This app sucks"
2,Yu Zhou,"April 22, 2020",1," The app kept displaying ""network error"" while my other apps are working perfectly. Everyday I have to uninstall the app and reinstall it so that I can receive new messages from friends. Terrible experience."
3,Xin Qiao,"April 23, 2020",1," Always connection error. I cannot receive or send message. But at the same time, my other applications work well."
4,Rachel Poh,"April 16, 2020",1, Can't sign up or register at all. I had use 4 or 5 different phone numbers to register and its shows that the phone number isn't safe. Please solve the problem
5,Vincent Teo,"April 24, 2020",1," last update has been very laggy for international users, where messages unable to load no matter how many times you refresh."
6,guo caroline,"April 19, 2020",1, Garbage! I have to uninstall and reinstall EVERYDAY cause it can't receive any messages! It always shows that I dont have internet. Thats BS!
7,Taylor Guo,"April 24, 2020",1, I have to log in from mobile QQ first in order to log in from my Mac? What a shity design.
8,alistair higgins,"April 13, 2020",1, It's all written in Chinese and I can't understand a single. There's no option to change the language and there's no way of signing up on their website.
9,hillary Chen,"April 12, 2020",1, Not sure why this app need to be so big and it has so many functionality that it fails to do the basic msg and online calls.
10,Ng Yih Horng,"April 18, 2020",1," Cannot register the account, it says phone number not safe on foreign country. Bad app"
11,DIAC Z,"April 18, 2020",1, Always can't receive messages even reboot the app. Plz fix it soon
12,Tadokorovsky,"April 18, 2020",1, Can't connect to the network after latest update
13,Xicheng Li,"April 11, 2020",1, Really bad interaction experience with the latest version.
14,Thet Lwin,"April 24, 2020",1," After update the new version, unable to send message. Please help"
15,Wai kay,"April 16, 2020",1, After this latest update can't receive any message
16,rangga mait,"April 12, 2020",2," I want to register but can't because I have to have friends who are already registered, but I don't have one, please help"
17,B • 20 years ago,"April 24, 2020",2, I don't know why my phone number is 'risky' and I don't know why it keeps on refusing for me to make an account. Does it have something to do with the fact that I live in the states? Or can u make an account for me I really want to try out the Chinese pubg
18,わたしわ웨이,"April 20, 2020",1, It's very useful for online learning but now I can't see all message Pls develop for exchange student and I will go back to give 4 or 5 star
19,eric too,"April 14, 2020",2, Why cannot use in English because I don't understand Chinese thank you so much
20,Zhengyang Wang,"April 22, 2020",1," keep losing signals recently, can't send messages"
21,syed zeeshan,"April 22, 2020",1, Why you removed english version😡
22,Chepor So,"April 23, 2020",1, Can't even register.
23,Gordon Lei,"April 17, 2020",1, pretty bad experience after i upgraded the new version
24,Fan Yang,"April 19, 2020",1, not working any more it seems
25,Robert Chai,"April 18, 2020",3," Hi, its now working properly on my samsung note fe"
26,Stanley L,"April 16, 2020",1, The new version broke the app
27,Sung Sian Jong,"April 23, 2020",2," Something is really wrong and I don't know why. I have encountered the same problems like people below. How come suddenly I don't receive any notifications? My data and internet connection are very strong. I have deleted and re-download it for 3 times. This is absolutely a BUG. Please solve this pro...Full ReviewSomething is really wrong and I don't know why. I have encountered the same problems like people below. How come suddenly I don't receive any notifications? My data and internet connection are very strong. I have deleted and re-download it for 3 times. This is absolutely a BUG. Please solve this problem, I don't really like to keep download, delete, and re-download again."
28,oja bella,"April 25, 2020",3," if only it allow new user from outside China by email instead of phone number it would be much helpful. since every time i input my phone no. to register it keeps saying ""your mobile phone number may have security risks tested by our system. please change a new mobile phone number to register QQ acc...Full Reviewif only it allow new user from outside China by email instead of phone number it would be much helpful. since every time i input my phone no. to register it keeps saying ""your mobile phone number may have security risks tested by our system. please change a new mobile phone number to register QQ account"". Like, what the hell? this is my only mobile number for the whole of my life, and i won't using any other number just for the sake of registering to QQ."
29,Maurice Chen,"April 7, 2020",1," Every time I touches my phone on a credit card or my university card, this little piece of software will jump in and attempts to read it as a transit card. And since I've disabled location access for it, it will continually make annoying sound between location access prompt and card read failure pro...Full ReviewEvery time I touches my phone on a credit card or my university card, this little piece of software will jump in and attempts to read it as a transit card. And since I've disabled location access for it, it will continually make annoying sound between location access prompt and card read failure prompt. Very annoying. Can't be disabled. Who wants to read a transit card with a messenger?"
30,陈哲源,"April 17, 2020",1, Full of useless feature
31,Jun Kitami,"March 27, 2020",1," Why it must be fail almost all the time I register... I tried register to playing qq speed, and it always said my number has been suspicious like... What the hell?! I never been using my phone number anything suspicious while I using my phone number for other game registration never been like that b...Full ReviewWhy it must be fail almost all the time I register... I tried register to playing qq speed, and it always said my number has been suspicious like... What the hell?! I never been using my phone number anything suspicious while I using my phone number for other game registration never been like that but yet your system said so. i never been this frustrated for registering a single account to playing a game. Bad app, no community service either for reporting this situation"
32,Ngọc Tân Võ,"March 28, 2020",2," Almost apps from China are trash, this is not even a trash app. But this app is so annoying, idk why the hell a chat app needs my passport/ID information for verification ???? And they create an app with a bunch of unnecessary features that I never use. And the last time I check the app storage stat...Full ReviewAlmost apps from China are trash, this is not even a trash app. But this app is so annoying, idk why the hell a chat app needs my passport/ID information for verification ???? And they create an app with a bunch of unnecessary features that I never use. And the last time I check the app storage status, it was 2.6gb of ""data"" and 789mb of ""cache"", for a chat app ? Seriously ? I really hate this app, but I have to work with my Chinese collague so have to use this app like Skype of China."
33,Sue Minn,"April 21, 2020",1, Too slow to update
34,Jerchow Chan,"April 22, 2020",1," I have changed 4 phone number but it keeps saying that my phone number isn't safe. How can I register like that. I've tried to download from play store, app store and also from Google but still can't register. Please solve this problem ASAP. Thank you."
35,Mike O,"February 15, 2020",1," Don't use this. This used to be useful, however the international version has been removed and this mainland only version is practically impossible to get unlocked if it gets locked and demands more personal information than any country I've ever visited, starting with your passport information. Hos...Full ReviewDon't use this. This used to be useful, however the international version has been removed and this mainland only version is practically impossible to get unlocked if it gets locked and demands more personal information than any country I've ever visited, starting with your passport information. Hostile government spyware."
36,Xin Jie,"April 13, 2020",3," The app is ok, the problem is it takes up a lot of space in my phone. And I wanna move it to another device, but I can't move my chats to other device which upsets me a lot. Please add that function too."
37,Michelle Fan,"March 2, 2020",2, I've been terribly bothered by the fact that I can't use a password to login. I've reset my password again and again and I remember it exactly. But the app won't recognize it and I also hate the exploring page. I downloaded the lite to avoid it but lite won't lemme login.....
