index,author_name,review_date,reviewer_ratings,review_body
0,Nidhi Sachdeva,"April 22, 2020",2, This app was working fine for me for a while but it's gotten so buggy recently! I had to recreate several social posts because the app either crashed or reformatted the text when it saved in the library. For one of my blog posts there's an image I can't locate in the editor but shows up in the URL l...Full ReviewThis app was working fine for me for a while but it's gotten so buggy recently! I had to recreate several social posts because the app either crashed or reformatted the text when it saved in the library. For one of my blog posts there's an image I can't locate in the editor but shows up in the URL link to view the post. What's going on :( ?? So many great features and ideas but it's just not working well!
1,Frank Asilo,"April 6, 2020",1," Sadly. Tried to use the app just to edit the spacing on the title of one of my blogs. When I hit save and publish and look at it on browser, entire text/image of the post was deleted/gone (except for one sentence) and now there's no way to restore. Now I just have to take down post completely so I c...Full ReviewSadly. Tried to use the app just to edit the spacing on the title of one of my blogs. When I hit save and publish and look at it on browser, entire text/image of the post was deleted/gone (except for one sentence) and now there's no way to restore. Now I just have to take down post completely so I can think hard and write exactly the same words again. Nice work.👍"
2,Sarah Jane,"April 5, 2020",1," If you're going to be using this app to write blogs on the go, don't!!! The amount of work I've lost because it hasn't saved or you get a message popping up on the screen, saying 'something has gone wrong, we're working on it's, is soul destroying. I've been into this morning to look at a blog in my...Full ReviewIf you're going to be using this app to write blogs on the go, don't!!! The amount of work I've lost because it hasn't saved or you get a message popping up on the screen, saying 'something has gone wrong, we're working on it's, is soul destroying. I've been into this morning to look at a blog in my draft folder, that I started 4 weeks as part of a product review, 3/4 of it is missing. Also if you're working from the desktop version, it hasn't been converting over updates to the app."
3,Matt Mikuleza,"April 20, 2020",5, Extraordinary! I have a blog on here and it is the best platform I have used. The app is very user friendly for the manager. Editiing everything is so easy to do with great options and they allow so much room for creativity. I love this app and I look forward to growing my fanbase on it.
4,fati merchant,"April 12, 2020",1, The app is having glitches.. I finish all my work on my laptop and when I open it in the app all my written stuff disappears then it disappears on my laptop too .. the app is not refreshing properly .. this problem started after the recent update.. also we need an undo or go back option on the blog....Full ReviewThe app is having glitches.. I finish all my work on my laptop and when I open it in the app all my written stuff disappears then it disappears on my laptop too .. the app is not refreshing properly .. this problem started after the recent update.. also we need an undo or go back option on the blog. So when things like this happens we have a safety net
5,Brian Baccay,"April 20, 2020",2," First, i can't upload a photo directly while i'm editing one of my blogs, i have to go to media manager, upload it there, and choose it inside the blog editor. 2nd, i can't see the photo that i uploaded. Fix your app. I can only edit texts."
6,marta eustice,"April 21, 2020",2, I like the app but every time there is an update it messes something up. After last update I don't get notifications when someone goes on my website. Please fix this issue. 20.04.2020 The same issue again No notifications when ppl are visiting website.
7,Tattiana L,"April 7, 2020",2," It's nice to be able to edit and keep track of things without using desktop every time but it gets frustrating when the things you do don't actually work, so you end up on desktop fixing it. Changes made in app don't always sync. Email campaigns done in the app ends up with all sentences running tog...Full ReviewIt's nice to be able to edit and keep track of things without using desktop every time but it gets frustrating when the things you do don't actually work, so you end up on desktop fixing it. Changes made in app don't always sync. Email campaigns done in the app ends up with all sentences running together when you open the message. It makes you look unprofessional when really the app is messing it up."
8,Veronika Vixon,"April 18, 2020",1, Five years ago I created two different websites using this program. they offer no way to sign in to your website using your mobile device. 3 million searches and still no way TO SIGN IN! There is no SIGN IN AT TOP RIGHT. The most obvious and critical button is missing so there is no way to access yo...Full ReviewFive years ago I created two different websites using this program. they offer no way to sign in to your website using your mobile device. 3 million searches and still no way TO SIGN IN! There is no SIGN IN AT TOP RIGHT. The most obvious and critical button is missing so there is no way to access your website once you wasted millions of hours creating it.
9,Sanket Shah,"April 22, 2020",2," The app just won't show details for any selection, like when you click on the order, it's simply a plain screen with nothing on it. This is a critical compinent for me to ensure orders are marked confirmed and fulfilled in time. App seems to be structured well and that's the only good part."
10,Das Allepaartagebuch,"April 19, 2020",2, Honestly.. it is so annoying. The app doesn't work well with your browser. Whenever I update my photo gallery via the app it doesn't update the same gallery in my browser. When I edit this gallery in my browser it doesn't show the most recent photos which also always changes the appearance of the ac...Full ReviewHonestly.. it is so annoying. The app doesn't work well with your browser. Whenever I update my photo gallery via the app it doesn't update the same gallery in my browser. When I edit this gallery in my browser it doesn't show the most recent photos which also always changes the appearance of the actual gallery on the website. Makes me look extremely unprofessional! Plus editing blog posts is still a nightmare since a decade. Cursor randomly jumps all over your text if you're not super careful!
11,Randi Edwards,"April 16, 2020",1," Was great. Now I can't use. It closes and crashes. When it does open, uploaded photos only show a portion. Sometimes it won't even let me click to type. This seriously needs to get fixed. Its been so hard to edit and post certain things correctly!"
12,Sarah Rehmann,"April 3, 2020",2," I updated the app so I can actually see my store and now I can't see my products. This app is always glitchy. It puts the wrong addresses on orders, rarely loads, and currently says I have no products in my store. I've had the app for well over a year and always have the same problems. When it works...Full ReviewI updated the app so I can actually see my store and now I can't see my products. This app is always glitchy. It puts the wrong addresses on orders, rarely loads, and currently says I have no products in my store. I've had the app for well over a year and always have the same problems. When it works, it's nice."
13,Samvit Durga,"April 11, 2020",5, This app has all the features that my fledgling offline training and education business requires. I hope the features work well over time and with an increased number of members. I would like to have an option of a white labelled app with my own branding and availability on the play store. I'm not s...Full ReviewThis app has all the features that my fledgling offline training and education business requires. I hope the features work well over time and with an increased number of members. I would like to have an option of a white labelled app with my own branding and availability on the play store. I'm not sure if that option is available currently.
14,Kaytie,"April 24, 2020",2," This app seems to be getting worse with each update. Consrantly crashes, error messages, blog posts deleted. WHAT IS GOING ON?! Please add: hyperlinks to blog, adding categories of services, and adjusting price."
15,Kaden Ali,"April 22, 2020",2," Here we go, so, wix knows how to build websites alright but definitely not apps. Needs a lot of patching and fixing up. The dashboard hardly works just as well as the messages too. Please fix it wix, I need it post on the go!"
