index,author_name,review_date,reviewer_ratings,review_body
0,Hayder Sinan,"April 24, 2020",3, There's no ability to share anything from another app to it. Also video can't be played directly. And the list of users I have chatted with disappear I have to search for the User again to write to him
1,Divyanshu Agrawal,"February 2, 2020",5," One of the best tools for collaboration! The dark mode is neat and I like the idea of topic based communication. Ability to integrate with bots/services easily is great, too! Plus, it's open source!"
2,Kane Chang,"December 26, 2019",1," I was using the legacy version. But two days ago it cannot work anymore. For this version of Zulip, I cannot connect to my organization's server. Completely dead...."
3,Lucas Durand,"January 20, 2020",2," Sometimes messages come in. Other times I'm ""offline"" and get an email. Those messages often never arrive in the app."
4,Deb Deep Sett,"November 23, 2019",4, Please fix issues with opening pdf files. Sometimes it wont open them at all
5,Larry Singa,"April 26, 2019",2," I can only use the mobile app to receive notifications, but not to work with. It's too time-consuming to search/jump between different chats, and many search queries are not supported. It would be nice to have the same search capacity as in the web app."
6,Jarett Poole,"September 25, 2019",3," The biggest thing this app needs is a left panel, like the desktop client. Navigation is simply too clumsy and time-consuming. I really love this platform but the mobile app is just not easy to use and is keeping me from implementing this at my organization."
7,ashlae blume,"February 18, 2020",3," Great on desktop, buggy on phone. Needs more feature control."
8,Rombout Versluijs,"April 25, 2019",3, the app is simple and works nice. how ever when your comment is longer than your screen you cant scroll down and your basically typing blind until it appears on screen. rotating the phone does give an option to clean done.that should show in portrait mode aswell
9,Andrew Johnson,"September 20, 2019",2," Can't rely on notifications. Doesn't switch to relevant account when opening notification, opens last used account. Without reliable notifications its very stressful and time consuming to cycle through accounts to check for new messages."
10,David S.,"April 20, 2019",1, So buggy; it is completely unuseable. Sends messages twice or not at all. Doesn't load new messages. Incomplete user and stream list. The list goes on and on.
11,Michael The Awesome,"November 28, 2018",1," This app is more indicative of a react native demo than a professionally made application. In terms of settings, why can't I access the same advanced settings as the browser(or even normal ones, I want to change my profile picture)? Why am I allowed, as a user, to access the app's environment variab...Full ReviewThis app is more indicative of a react native demo than a professionally made application. In terms of settings, why can't I access the same advanced settings as the browser(or even normal ones, I want to change my profile picture)? Why am I allowed, as a user, to access the app's environment variables? It took me five minutes to actually find my name to @, because there's no current user summary. Why isn't the subscribed panel selected by default? Discord, Slack, Telegram, and Gitter's mobile apps are much better than this."
12,Mike,"November 17, 2019",1, When I try to open Zulip all get is a white blank screen.... Real shame!
13,Wyatt Hoodes,"June 11, 2019",5," Awesome and open source! If one were to run into any problems, the community is very responsive and fast-acting."
14,Alexey Barinov,"October 15, 2019",3," Cannot use external communication device (3g modem) to install app via smart installer. installed app which is set to start with Windows, does not normally work until app restart having internet connection active"
15,Ethan Roush,"October 24, 2019",2, The UI is a tad hideous and navigation is a bit of a pain. My biggest complaint is that you NEVER get notifications for any messages.
16,Sumanth Rao,"December 17, 2018",5, Easy to use platform. Helps manage clutter of messages received with ease. An awesome product! 👌
17,Dawid W,"June 24, 2019",2, Quite buggy. Sometimes new messages don't load and even restarting the app doesn't help.
18,Critical Mass,"November 27, 2019",3," It is useful, but crashes often."
19,Alexander Lunev,"July 11, 2019",5," Exactly what I need for projects concerning streams and topics, and ability to move messages from one topic to another"
20,Dan Farrell,"February 21, 2019",1," i can never find new messages in this app, even after notification that they arrived. for me, this app is effectively nonfunctional."
