index,author_name,review_date,reviewer_ratings,review_body
0,Stacey White,"March 9, 2020",5, Libe this app... Make dinations on line even checks... Great way to stay connected.
1,Dennis Sherburne,"March 17, 2020",1," Not as easy as past years. Not very user friendly, even for a computer literate user !"
2,Teresa Tumblin,"March 30, 2020",5, So easy and allows us to keep fundraising!
3,Marsha Williams,"February 29, 2020",5, Works great for uploading donations and keeping track of them
4,Nicholas B,"February 18, 2020",1, The app won't start up. It's stuck on the loading screen and then it eventually crashes.
5,Lisa Moore,"February 2, 2020",3," This app needs to be all encompassing so that you can access team information, not just fundraising."
6,Mary Marshall,"February 17, 2020",4, It's great but being on 2 teams you can only see and manage 1...
7,Bonnie BeeMcKeefery,"February 19, 2020",1," Never loads, throws so many errors....."
8,goneplumcrazy2010,"February 22, 2020",5, Love the app makes everything so easy
9,Vye Marshall,"May 22, 2019",3," I don't get notified when I get a donation anymore. Last year I received an email along with a yellow flower icon notifying me of a donation. Now the only way I know when I receive a donation is when I open the app and check under donations. I like to publicly acknowledge my donations in a timely ma...Full ReviewI don't get notified when I get a donation anymore. Last year I received an email along with a yellow flower icon notifying me of a donation. Now the only way I know when I receive a donation is when I open the app and check under donations. I like to publicly acknowledge my donations in a timely matter, yet without the notification, it might be days before I find them . Please fix this issue."
10,Carol Polakowski,"September 19, 2019",1," Good for keeping track of donations since I'm having issues not receiving any emails when I get a donation. Also, just tried to update, since it told me I needed to, and there was no update option so I had to uninstall and reinstall. Ok just re-installed and it still says I need to update????"
11,Allison Testa,"March 14, 2019",3," Not user friendly. I personally haven't had a lot of problems, but my husband has and at our team captains meetings I hear the frustrations of others."
12,Marti Klaus,"April 22, 2019",1, I have been able to use this app in years past & it was very helpful. This year's app keeps stopping after less a minute of use. Can't use it at all.
13,Anne Frank,"April 23, 2019",1," Way too many notifications. I keep turning them off under settings, but it won't save the selection. It reverts to ""allow all"" when I go to another screen. Uninstalling."
