index,author_name,review_date,reviewer_ratings,review_body
0,Zombiedawg,"September 15, 2018",1, Why is it asking me to update the app? It doesn't have an update available. Fix it!!!
1,Patrick McBride,"March 30, 2019",1," Please update. Out of date application. Requires update for Pixel 2 XL, Android 9."
2,Evyn And Caleb Solano,"March 28, 2020",1, Won't work on Samsung Galaxy S8...
3,Sara Fields,"April 26, 2019",1, It would be great if it ever worked. I haven't been able to use it in months
4,Austin Gonzalez,"September 21, 2018",1, App is broken.
5,David L.,"November 24, 2018",1, Doesn't work
6,A Google user,"June 2, 2018",1," It won't let me find locations. Kept saying I needed to update the app but 
won't give me option to update"
7,Chris Cordes,"August 2, 2018",1," cant find location. says it needs to be upgraded. cant upgrade...bleh waste 
of time"
8,Ray Cay,"August 11, 2018",1," Used to be able to use it, now it says app needs to be updated but there is 
no update, can't use it anymore. Uninstalling."
9,MsChris V.,"June 2, 2018",1," I just downloaded the app but I can't find a location or create an account. 
I get a message that says to update the app."
10,Clinton Buchanan,"July 23, 2014",5,Great and easy Easy to order and even saves favorite orders. If you haven't tried it get the frozen lemonade with strawberry
11,Shannon Jamison,"May 15, 2018",1, Doesn't let you login
12,Kandy Carroll,"March 27, 2020",1, Doesnt work
13,David Singleton,"August 13, 2018",1, Can't find locations
14,Alberto Alanis,"July 5, 2018",1, Doesn't work
15,Theresa Perez,"June 14, 2018",1, Will not upgrade
16,Chesalyn Ingram,"September 26, 2015",3, Bullrititods6
17,Mo Be,"May 20, 2013",4,Time off Wish it would say the times for the store instead of times for ordering.
18,A Google user,"October 20, 2012",5,Good service Very convenient app
19,Brandie Burchett,"July 29, 2013",5,:) Love it:)
20,dawn,"June 9, 2018",1," Keeps wanting to upgrade after just installing and will not find my 
restaurant location."
21,De Shundra Rideau,"June 1, 2013",5,They are new but they're very friendly and fast I have enjoyed the food and the friendly service
22,A Google user,"October 19, 2012",5,Great app! Works great!
23,A Google user,"October 9, 2012",5,Lovabull Excellent application i love it
