index,author_name,review_date,reviewer_ratings,review_body
0,Malisha Goggans,"July 4, 2019",1, My store (next door) wouldn't generate let alone any location. I just installed the app. I wanted to order breakfast ahead of time and go pick it up. Super great staff there just have an app issue.
1,That Bryan Dude,"June 30, 2017",4, Update after a few weeks: Something is causing this app to continue running in the background despite using task manager to close all apps. May want to check into this as my phone is warning that it's draining my battery slowly. ______  This app is fantastic. I use this to show coworkers what a prop...Full ReviewUpdate after a few weeks: Something is causing this app to continue running in the background despite using task manager to close all apps. May want to check into this as my phone is warning that it's draining my battery slowly. ______  This app is fantastic. I use this to show coworkers what a proper ordering app should be. My only request is that the developers put pick-up times in 5 or 10 minute intervals rather than 15 because it can make the difference with the in-store set up.
2,Alathea Houseright,"November 28, 2017",5," Great app. User friendly and like how it gives you ""trending favorite"" suggestions or option to make your own custom order, and saves previous orders. Order food, walk to store and it's ready when I get there. Love it!!"
3,A Google user,"February 3, 2017",5," Very user friendly. Nice to order fresh food and just pick it up, ready to go."
4,Chris Patty,"October 19, 2017",5," Great corner store. Great quality food. Very convenient. Awesome for ordering in bed, the night before, to pick up on the way out the next morning. I would highly recommend."
5,A Google user,"February 2, 2017",5, Great looking app!  Easy to navigate.  Food is awesome!
6,Robert Robinson,"December 4, 2017",1, This app just quit working
7,A Google user,"June 29, 2017",5," Well done, fresh eats! We all loved our salads!"
8,Matt W,"May 18, 2017",5, Easy to use and food was great!
9,Cole Hughes,"June 22, 2017",5, This app is sweet!
10,A Google user,"July 22, 2017",5, Great food and service!
11,A Google user,"January 17, 2018",5, Really well developed
12,Aliyah Reddy- James,"February 15, 2017",5, Good for someone on the go. Simple and easy.
13,Malisha Goggans,"July 8, 2018",5, Love the store! Love the food hot & cold! Love the experience!
