index,author_name,review_date,reviewer_ratings,review_body
0,Aman Rastogi,"December 2, 2018",1, Unable to login using my regular credentials. While resetting password says incorrect email address. Keep the app in sync developers.
1,Shikha Nanda,"October 1, 2019",1, Keep seeing internal server error and unable to login. Wonder if there is a trick to it.
2,Satish Rawat,"November 3, 2018",1," Worst app, cannot login. Frequent crash"
3,santhosh p,"October 9, 2018",1, Unable to login with my credentials
4,Anand Santhanam,"January 21, 2019",1, hopeless app !! cannot even login..
5,srinivasa uppalapati,"June 2, 2019",1, unable to login
6,A Google user,"December 3, 2018",5, Nice initiative. Keep it up Neeraj Bansal and team👌👍
7,Satish Babu,"September 25, 2018",5, Good work by the team.
8,Shubham Tayal,"July 31, 2019",1, hcl is big cheater.such a big fraud
9,Shashikant Kumar,"December 22, 2019",1, Authentication failed....
10,Vaani Mishra,"December 3, 2018",5, Good App...!!
11,Balaji Srinivasan,"July 25, 2018",5," This is a good initiative.. the app is very informative. Well done Go 
Mobile team! Cheers..."
12,Neeraj Bansal,"August 3, 2018",5," Cheers..!! I like most about the app,it is user interactive. Keep it up guys"
13,A Google user,"July 3, 2018",5, Nice app to see all customer review in one place
14,Sandeep Goel,"August 1, 2018",5," Amazing app.. user friendly.. a good liason between customer and the 
organisation.."
15,Manthan Singh Pokhariya,"August 21, 2018",5," Nice App, well doneworking Fine"
16,Hariharan Ramadurai,"July 13, 2018",5, Good app... Good UI too... Keep up the good work
17,bushan tufchi,"June 20, 2018",5, This is excellent and very informative
18,Honey Jsingh,"July 10, 2018",4, Nice App..
19,Abnish Kumar,"June 25, 2018",5, Good App
20,Ravi Agarwal,"May 9, 2018",5," It's a very good user friendly application and adds a great deal of value 
for our projectm The customers are quite happy with the visibility and 
transparency generated with the launch of HCL Engage"
21,Tech Guru,"May 31, 2018",1, Not able to login not accepting SAP ID or email id.
22,A Google user,"May 6, 2018",5, Wonderful App ...very user friendly
23,suryah menon,"June 7, 2018",1, Not able to login
24,A Google user,"May 23, 2018",4," Very good App to stay connected with Customer and be transparent with 
Customer an easiest way."
25,Pragya G.Saxena,"August 3, 2018",5, Great app and nice user interface
26,Shalini ganjoo,"May 26, 2018",5, Easy to use. Good tool
27,A Google user,"May 16, 2018",5, Very nice app
28,Ashwini Kumar Singh Chandel,"May 18, 2018",5, Excellent app
29,Pankhuri Agarwal,"March 4, 2018",5," It's a customer friendly app I can get idea of my work progress from dashboard only ,which makes it more user-friendly!!"
30,nikesh thapliyal,"February 20, 2018",5, Amazing app ..very user friendly also for promising digital connect between customer and company.
31,Pulkit Goswami,"January 19, 2018",4, A new step towards making the customers feel heard. I feel that the dashboard is the highlight here! Great work!
32,nikhil chauhan,"January 19, 2018",5," This app is amazing , gives a real chance to the customer to share their views the PCSAT is the highlight of the app .."
33,A Google user,"February 20, 2018",5, Great app to connect with customers and get their feedback. I personally liked the PC stat feature.
34,akanksha singh,"March 7, 2018",5, It's a easy go all to check the status of ur project without any Hassel 😃
35,A Google user,"April 29, 2018",5, Nice way to get engaged with team hcl. Fantastic idea. Great job done.
36,Priyanshi Aggarwal,"March 25, 2018",5, Nice app.It contains all the details in very easy accessible way
37,Nitel Arora,"March 8, 2018",5," It's a customer friendly app,with amazing dashboard and presentation"
38,sumit ghai,"March 7, 2018",5, Dashboard is the highlight of this app. easy to use
39,m b,"April 13, 2018",4, Wonderful app. Great features !
40,Rajeev Gupta,"April 13, 2018",5, One word....Truly Amazing App
41,Chirag Agarwal,"March 17, 2018",5, What a superb app. 😀 I like it.........
42,Raja Jayamanickam,"January 9, 2018",5, Very good digital connect with cutomer and get their feedback about our service. It's really help on PC SAT
43,Dhinesh Palaninathan,"December 8, 2017",5, Nice App to connect directly with the customers. Our clients was impressed very much about this App. Thank you so much for HCL Engage team for providing such a great App.
44,Prashanth Natarajan,"November 20, 2017",5, Best app ever. Thanks to the teams involved in developing HCL engage :)
45,MAHA 2014,"November 28, 2017",5, Excellent way to connect directly with our stakeholders and make them aware of the expectations with utmost transparency in trend and statistics
46,Janani Sampathkumar,"January 11, 2018",5, very nice app to get connected with customers and also to keep them updated timely.
47,Amit Koul,"December 25, 2017",5, Very useful information on app. Liked it. Great idea...
48,aruna tufchi,"December 25, 2017",5, Excellent with good features
49,phalguni srivastava,"November 21, 2017",5, Excellent app
50,A Google user,"November 15, 2017",5," Awesome App. Innovative way to be connected with customers. Simple yet powerful idea. Easy to use App. Sharing Hcl blogs, & straight talks adds value to the App and customers."
51,Mukesh Singh,"November 6, 2017",5," Good app, friendly and easy to use."
52,bablendra singh,"November 13, 2017",5, Excellent app!! Good work developer s!!
53,Sameer Khan,"November 13, 2017",5, Awesome application.
54,A Google user,"November 13, 2017",5, Amazing App!!!!
55,Naveen Parkash,"November 17, 2017",5, Good to see
56,Jeetu Raj Purohit,"November 17, 2017",5, Wonderful App
57,Deepa Gaje,"November 20, 2017",5, Easy accessible
58,jyoti jain,"November 13, 2017",5, Great App
59,Kriti Takkar,"October 10, 2017",4, Easy to use. Good app!
60,avneet kaur,"October 15, 2017",5, Nice APP. Best for iOT and business solution
61,gurleen kaur,"October 14, 2017",5, Lovely design..useful for my engagement.
62,A Google user,"October 14, 2017",5, Loved the interface. Recommend for customers.
63,Inderpreet Singh,"October 10, 2017",5, Nice APP...LOVED THE PCSAT
64,A Google user,"October 13, 2017",5, Wonderful Platform to connect with customers
65,Arpit Jain,"October 11, 2017",5, Very good concept
66,Aashna Sharma,"October 12, 2017",5, very nice application....
67,Neeraj Jain,"October 12, 2017",5, Easy to use.
68,krishna rajpurohit,"October 14, 2017",5, Good App
69,Honey Jain,"October 12, 2017",5, Nice app
70,zainab khan,"August 15, 2017",4, Awesome app ...wonderful features..
71,Aditya Ahuja,"June 2, 2017",5, It is a very interactive app good to see such nicely developed apps.
72,A Google user,"June 2, 2017",5, Excellent app with great interface and features.
73,mausam mayurakshi,"June 14, 2017",5, Brillianty made app...super friendly
74,Swati Baliyan,"June 2, 2017",5, Nice app. Great interface
75,A Google user,"June 17, 2017",5, Good App
76,Rohit Kanodia,"April 24, 2017",5, Excellent interface ..wonder features for sharing engagement related stuff..security features are add extra points to the app!!
77,Kuldeep Kanodia,"April 24, 2017",5, excellent interface.... excellent feature for sharing ENGAGEMENT related stuff security features give extra point to this aap
78,A Google user,"May 8, 2017",5, It's a very nice app for costumers. Excellent app to view engagement related stuff and explore HCL as an organisation
79,A Google user,"October 10, 2017",5, It's very nice app for customers.excellent app to view engagement related stuff and explore  HCL as an organisation.
80,Vineet Chowdhary,"May 10, 2017",5, The app has a very good friendly user interface and is good to use
81,A Google user,"May 9, 2017",5, Excellent App...!!
82,neha sejwal,"May 10, 2017",5, Nice app
83,Garima Duggal,"May 10, 2017",5, Excellent app
84,Manoj Verma,"February 24, 2017",5, It's an amazing App. and very user friendly too. I will recommend it to all my peers. Thanks
85,A Google user,"March 14, 2017",5, I liked the App. Paving way for good customer engagement. Security features are really nice..
86,Gerone M,"March 9, 2017",5, Liked the App. Evaluating potential usage.. Well done..
87,Abhinandan Dn,"March 6, 2017",5, Excellent App with mind blowing interface...
88,M.L Pandita,"March 8, 2017",5, App  is very much useful
89,A Google user,"March 8, 2017",5, excellent app
90,Shashi Pal,"March 6, 2017",5, Good app
91,Nanita Fotedar,"March 9, 2017",5, Gr8 App
92,Praveen Hudgi,"February 8, 2017",2," 1.I tried to login with my HCL account ,but I'm getting invalid username . 2. I clicked on cannot access your account and entered my HCL Mail I'd got a pop up invalid mail id. After that I couldn't go back from this option I don't have any option to click ok or go back"
93,Jitendra Kumar,"March 5, 2017",5, Very user friendly.. I will recommend this to my peer as well. Thanks team ☺
94,kumar gourav,"January 20, 2017",5, Just downloaded this app and all my account details are right in front of me with HCL.
95,A Google user,"December 19, 2016",5,One mobile interface for customer interactions One mobile interface for customer interactions.
