index,author_name,review_date,reviewer_ratings,review_body
0,Delphine Lazarus,"April 23, 2020",5," Thank you so much for this wonderful app. Truely, this is what I need in my life. Possibilities with pinterest are unlimited. Please I've been waiting patiently for the video pinning option to be available in Nigeria. I'll like to share videos and not just pictures on pinterest but I was told it's n...Full ReviewThank you so much for this wonderful app. Truely, this is what I need in my life. Possibilities with pinterest are unlimited. Please I've been waiting patiently for the video pinning option to be available in Nigeria. I'll like to share videos and not just pictures on pinterest but I was told it's not yet available to some countries, mine inclusive. I'll be so happy and grateful if it gets to us sooner. Thanks for your work so far."
1,Jean Zolman,"April 22, 2020",5," My favorite app! I can organize ideas, learn new skills, get inspired, express my passion for different topics, and if there is anything I dislike seeing, I can remove it and not be bothers with that type of pin again. I love that I can surround myself with the things I like, and completely block ou...Full ReviewMy favorite app! I can organize ideas, learn new skills, get inspired, express my passion for different topics, and if there is anything I dislike seeing, I can remove it and not be bothers with that type of pin again. I love that I can surround myself with the things I like, and completely block out the things that stress me."
2,Julia Stuart,"April 23, 2020",2," SO MANY ADDS there are way too many! And if you block them it seems to do nothing. And what bothers me THE MOST is it AUTOPLAYS THE AUDIO OF VIDEOS. If you click on a new video, the other video audio is still there! If you press your home screen button the audio still plays! It even occasionally pla...Full ReviewSO MANY ADDS there are way too many! And if you block them it seems to do nothing. And what bothers me THE MOST is it AUTOPLAYS THE AUDIO OF VIDEOS. If you click on a new video, the other video audio is still there! If you press your home screen button the audio still plays! It even occasionally plays if I turn off my screen! It's so freaking annoying! I hate it so much"
3,Annette Lawrence,"April 23, 2020",3," The search and navigation bar disappears often and I have to close/reopen app for it to work. Annoyed that some pins only have the option to quick save but not visit, and it seems that the entire platform is filled with endless ads. Even the majority of pins are so polluted with ads that it's not wo...Full ReviewThe search and navigation bar disappears often and I have to close/reopen app for it to work. Annoyed that some pins only have the option to quick save but not visit, and it seems that the entire platform is filled with endless ads. Even the majority of pins are so polluted with ads that it's not worth my time and effort to read."
4,Alyssa Chant,"April 22, 2020",1," What happened to the app!? The content feed on the homepage is unrelated to things I pin. There are too many ads. Pinterest keeps getting in the viewers way by urging us to pin things, making a pop-up on things we are already viewing. And worst of all, if I click on a pin to view it, there's a chanc...Full ReviewWhat happened to the app!? The content feed on the homepage is unrelated to things I pin. There are too many ads. Pinterest keeps getting in the viewers way by urging us to pin things, making a pop-up on things we are already viewing. And worst of all, if I click on a pin to view it, there's a chance MUSIC FROM AN AD WILL START PLAYING and I cant stop it from playing unless I either refresh the app or go to the home page."
5,Winifred Edna,"April 19, 2020",5," Everyone can visit: ( BrowserGood. Com ) to install the best browser app. It's BLOCK ADS, PRIVACY and VERY FAST. My experience with Pinterest is always great. I love pinterest, its very interesting and I learn new things, etc., all the time. I like it a lot. Yes, the app description does match the a...Full ReviewEveryone can visit: ( BrowserGood. Com ) to install the best browser app. It's BLOCK ADS, PRIVACY and VERY FAST. My experience with Pinterest is always great. I love pinterest, its very interesting and I learn new things, etc., all the time. I like it a lot. Yes, the app description does match the app experience. Yes the app does have very useful notifications. The social networks are good, some aren't, but what the hell everything cant be brilliant. I am a great admirer of Pinterest, its fun"
6,MaX,"April 23, 2020",3," The app itself is fun and useful. I enjoyed it a lot. Overall, after a few events that happened in my personal life, I had to delete the app. Now that I got it back, I cannot log into my account. I used the email and password I had on my account. But it somehow made me a new account. I'd like this p...Full ReviewThe app itself is fun and useful. I enjoyed it a lot. Overall, after a few events that happened in my personal life, I had to delete the app. Now that I got it back, I cannot log into my account. I used the email and password I had on my account. But it somehow made me a new account. I'd like this problem to be solved please, thank you."
7,Alea Huggins,"April 4, 2020",2," Since the latest update to the app I can't reorder my pins anymore. As other users have noted, Pinterest makes changes to the point of making it difficult to find basic things. Updates or ""fixes"" that aren't necessary is pointless. They just end up frustrating people! Update 4/4/2020: Now there's a ...Full ReviewSince the latest update to the app I can't reorder my pins anymore. As other users have noted, Pinterest makes changes to the point of making it difficult to find basic things. Updates or ""fixes"" that aren't necessary is pointless. They just end up frustrating people! Update 4/4/2020: Now there's a new ""feature"" where random audio starts playing out of nowhere and there doesn't appear to be a place in the settings to manage this. Stop it!"
8,jezebel Jackson,"April 17, 2020",5," The select function is working fine, although it can't select to download image just to share. Kind of a bummer! This has to be the best photography social app in history. Unlike other apps, each update is better that the last and simplified in a unique way. If you choose to have a non-personal acco...Full ReviewThe select function is working fine, although it can't select to download image just to share. Kind of a bummer! This has to be the best photography social app in history. Unlike other apps, each update is better that the last and simplified in a unique way. If you choose to have a non-personal account instead, it is so stress free and it's just a friendly app. Pinterest keep up the good work👌🙌"
9,Esperanza Vers,"April 20, 2020",4," Everyone can visit: ( BrowserGood. Com ) to install the best browser app. It's BLOCK ADS, LIGHTNING FAST and SECURE. Pinterest, I love seeing pins. However, I do not like that literally every other pin I see is an ad. I know you have to have ads to function, but every other pin you see is an ad. Ple...Full ReviewEveryone can visit: ( BrowserGood. Com ) to install the best browser app. It's BLOCK ADS, LIGHTNING FAST and SECURE. Pinterest, I love seeing pins. However, I do not like that literally every other pin I see is an ad. I know you have to have ads to function, but every other pin you see is an ad. Please cut down on the ads. Maybe every fifth pin could be an ad, but the frequency of them right now makes me not even want to use your app. Most of the ads I see aren't even relevant"
