index,author_name,review_date,reviewer_ratings,review_body
0,Todd Carlson,"August 24, 2019",1," I was registered, but now it can't find me. I reregister, and it still can't find me!"
1,Russell Lewis,"June 5, 2019",1," Says there aren't any shops near me. In fact, doesn't show any shops in the entire planet."
2,Catherine Magliocco,"February 5, 2018",1," This app was great until Earl of Sandwich changed it to exclude breakfast. I have used the app to order everything, including catering for work. Very handy. However, they have now removed the feature we used the most. Very disappointing."
3,Richard Coates,"March 2, 2018",5," Extremely convenient to use. Order in advance from any location, pay through the app, pick up your perfectly completed order, and get rewards points... what's not to love?"
4,Donna Winters,"May 22, 2018",3," Never seem to get my discount even though I am logged in. I have tried to 
log out and back in again, never helps. Otherwise love ordering ahead to 
pick up."
5,Valerie Baker,"May 19, 2018",5, I Love this place. I wish it was a little closer to my house.
6,Michael Czarnecki,"December 8, 2017",1, Rarely lets you login. All sorts of coding errors
7,Crystal Bennett,"November 4, 2017",2, My order had things left out of it twice
8,Nichola Mullett,"November 5, 2017",3, Needs to offer more of the range for example they do two BLT they should offer both on site not just the one
9,Carlito Laboy,"November 3, 2016",5,Simple app Best way to order in disney springs. Order while you walk around and avoid waiting in that long line just to order. Once we made it to earls sandwiches were ready and paid for.
10,A Google user,"October 17, 2016",1,Lost All Punches Lost all my punches with this new app.
11,Michael Blampain,"August 4, 2016",1, New login won't take my old login and I had a free sandwich and some punches towards another that are all gone. Thanks for continuing to offer lousy service.
12,Linda Masi,"August 4, 2016",2,"Lost my punches! Won't take login in new app, so guess I'm screwed out of the 6 punches I had (one away from free sandwich)"
13,Tyler Howe,"August 25, 2016",1,"Crap App New rewards program aside, this is a terribly designed app. It's just a wrapper for a website, but because it's split into sections, you have to log in multiple times."
14,Mike S,"August 5, 2016",3,EOP So no more credits for Cash transactions? What a joke that royalty club is now credit card only... Maybe take a que from Starbucks and allow us to put cash on our EOP app and then pay with the app...  Rookies....
15,jon chua,"August 4, 2016",1,"problems logging in if you had the old app, like I did, then updated, you might have a problem logging in. I did. I also had a free sandwich in the old app that I can't get to now."
16,Stephanie Zuniga,"August 31, 2016",3,"Its ok I like the app however when ordering a drinks it only has Orange juice, coffee, or hot tea. I would like to order the fountain drinks such as sodas or iced tea."
17,Alan DelBene,"August 7, 2016",1,Why? Forget this new app. Give me my free sandwich and old login. :|
18,Glenn Schiller,"December 22, 2015",1,Stop working Downloaded new version and stopped!!!! working!!!!
