index,author_name,review_date,reviewer_ratings,review_body
0,Nicolas Facello,"April 19, 2020",3, Difficulties for multiples VAT...
1,Serge Ravet,"February 5, 2020",5, Great time and money saver!
2,guillaume jourdan,"November 18, 2019",5, Makes life easier for travelling expenses
3,Luca Gentile,"September 9, 2019",5," Great app, it's totally automatized and it has even the link to the scan of the receipts (in cloud) on the spreadsheet. The price of the app is also really good Thanks!!"
4,Yanuar P,"September 12, 2019",1, After fast scan and validate the invoice. The app crash and exit. Need to open it manually and wait to load and error again again and again... Thank you.
5,Desmond Martin Keogh,"July 26, 2019",5, excellent app. great for organising and recording those small cash business expenses.
6,Conni,"March 14, 2019",1," Don't trust this app to keep your receipts. When my trial expired, my receipts disappeared in the app and online."
7,Richard Ellis,"September 15, 2019",5, Excellent tool for professionals travelling a lot
8,MANI Med ali,"April 27, 2019",5," Very creative, useful yet a simple idea"
9,Sergio Buttignoni,"September 30, 2019",5, Easy and logical!
10,François d'Orléans,"December 16, 2019",5, Te hace la vida más simple.
11,nazry taj,"July 8, 2019",5, good
12,karunanidhi masilamani,"July 1, 2019",3, good
13,sibghat ullah,"April 19, 2019",5, good
14,A Google user,"February 6, 2019",5, wonderful
15,Matthias Vadcard,"February 15, 2019",5, Good
16,David Barker,"July 6, 2018",5, Easy to use and submit expense reports.
17,Horacio Gonzalez,"June 19, 2018",5, It makes expenses reporting ready and painless
18,A Mhiri,"June 20, 2018",5, Tout est excellent! bravo
19,jafar belhaj,"May 9, 2018",5, Easy to use
20,Robert Davenport,"April 13, 2018",1, Locks up all the time does a terrible job scanning receipts
21,severin 77,"September 27, 2017",5, Awesome app that saves plenty of time. Makes T&E process so easy
22,Nicolas Moreau,"September 4, 2017",5," Wonderful! It saved so much of my time. Give it a try, worth the money."
23,Céline Hommais,"September 4, 2017",5, Great app for people willing to save time and money. Thank you.
24,Amine Gader,"July 18, 2017",5, Wonderful app :D makes my life easier
25,Debray Marin Torres,"April 24, 2017",5, Recomendado
26,Vishal Darad,"August 1, 2017",3, Expensive
27,Caroline Bourdeu d'Aguerre,"February 14, 2017",5, Amazing app. Made my life so much easier with my accounting !
28,Tom Rietzler,"January 31, 2017",5, Huge productivity gains for my team. Intuitive and user friendly interface.
29,Dharmanshu Kaul,"September 27, 2016",4,Please also give bulk file attachment system Hi the app is good but also do bulk file management system from which we can add multiple attachment at same time this could save time also
30,Salma Ayadi,"May 19, 2015",5,"Excellent,simple,rapide Avec 1000 notes de frais par ans expensya me sauve la vie surtout pour une personne paresseuse comme moi,  c'est simple est rapide,  juste pour info faudra améliorer la qualité de vôtre scan pour être au top. Et faire un tuto explicatif car faudrait passé par si par la trop de fois pour comprendre l...Full ReviewAvec 1000 notes de frais par ans expensya me sauve la vie surtout pour une personne paresseuse comme moi,  c'est simple est rapide,  juste pour info faudra améliorer la qualité de vôtre scan pour être au top. Et faire un tuto explicatif car faudrait passé par si par la trop de fois pour comprendre les différentes fonctionnalités."
31,Marwen Dhemaied,"May 12, 2015",5,Great App Pure and Simple !
32,Sami Ben Lassoued,"May 20, 2015",5,Moin de stresse cette application a duminuer mon stresse quotidient . fini exel . bienvenue la vie facile.
33,Onur Güvenç,"March 27, 2019",4, good
