index,author_name,review_date,reviewer_ratings,review_body
0,Jin Laxmidas,"March 9, 2020",3, The direct connection to Google G suite and Gmail is what we miss. Our team complains constantly that Insightly is not intuitive and easy to use. I hope you can fix this otherwise we'll be forced to move to a different CRM
1,Kevin Sippel Jr,"January 24, 2020",5," App syncs nicely, and puts nearly all of the power of the desktop version on android."
2,Pan Talon,"January 6, 2020",5," Great mobile companion to web CRM, accepts contacts shared from phone."
3,Bloomquist Chimney Services,"January 18, 2020",4," It is very convenient. Of course there are things that have to be done on the sight that can't be done on the app. Most of what gets done on the app does sync with the sight. Somethings do not. If I create a task for someone other than me on the app, most of the time it doesn't sync. The really stra...Full ReviewIt is very convenient. Of course there are things that have to be done on the sight that can't be done on the app. Most of what gets done on the app does sync with the sight. Somethings do not. If I create a task for someone other than me on the app, most of the time it doesn't sync. The really strange thing is that I can sync my Google calendar to the app, but not to the sight. I would say more, but I am out of space."
4,Gordon Remmington,"October 30, 2019",3," No issues with the app..but it's missing the most useful feature from the web interface - Reports. For a manager, viewing reports is essential for tracking performance of sales and projects, and you have to revert to the web interface instead as the app doesn't show them."
5,Chad Clements,"May 8, 2019",3, It works OK. There are some quirks that makes it inconvenient to use. Chiefly that I can't copy an email address from a lead screen on my Pixel 2 running the latest version of Android. I want to tag my emails sent from Gmail but can't copy the addreses. UPDATE 5/7/2019: developer still hasnt added t...Full ReviewIt works OK. There are some quirks that makes it inconvenient to use. Chiefly that I can't copy an email address from a lead screen on my Pixel 2 running the latest version of Android. I want to tag my emails sent from Gmail but can't copy the addreses. UPDATE 5/7/2019: developer still hasnt added this functionality. What's the point of having an app when it's easier to work from a mobile browser to get work done??
6,Sky Sorenson,"December 5, 2018",2," There is no way to create a report by birthdays.  This should be CRM 101.    I've been paying for the service for a while and they just ignore any requests for help on this.  The 'help' folks tell you to put the request in a forum where there are a bunch of requests for this languishing.  They hoste...Full ReviewThere is no way to create a report by birthdays.  This should be CRM 101.    I've been paying for the service for a while and they just ignore any requests for help on this.  The 'help' folks tell you to put the request in a forum where there are a bunch of requests for this languishing.  They hosted a webinar where I specifically asked about it, the host promised to get back to me when I pointed out that her solutions wouldn't work, and I never heard back.  So frustrating. I'm actively researching competing CRMs."
7,Egor Poludo,"June 21, 2019",3," I like the browser version, but in this app when I want to create a lead, let's say i find a contact on Instagram and want to copy their info to insightly, when I put in the email, then switch to Instagram to get the phone number and get back to insightly the Email I had put in is gone. it's not pos...Full ReviewI like the browser version, but in this app when I want to create a lead, let's say i find a contact on Instagram and want to copy their info to insightly, when I put in the email, then switch to Instagram to get the phone number and get back to insightly the Email I had put in is gone. it's not possible for me to input lead info from the same device, which is a hell of an inconvenience when I discover leads on the go. Samsung galaxy s8+ can this be fixed?"
8,Dwi Pantara,"February 23, 2020",1," I don't know why, I'm not able to signup"
9,oscar munoz,"October 31, 2019",4," Great tool to have in my phone, I wish I could see the dashboards and that I could be able to edit the lead steps"
10,Garrett Jacobs,"April 25, 2019",2," Search option is useless...won't search the entirity of various leads, opps etc. Rendering the search option near useless. Anyone doing B to B sales knows that being able to search for a name or LLC is crucial to getting the right information while on a sales call. -Canot sell multiple products once...Full ReviewSearch option is useless...won't search the entirity of various leads, opps etc. Rendering the search option near useless. Anyone doing B to B sales knows that being able to search for a name or LLC is crucial to getting the right information while on a sales call. -Canot sell multiple products once set up as a opportunity. EG, once a contact(EG Lead>Opportunity >Sales>Contact) showing they are interested on your new product is impossible."
11,Aaron Little,"September 30, 2019",4," It's a really good app for completing tasks and logging calls. The web based portion is better for creating calls, organizations and tasks. Hand in hand they are awesome."
12,"Tim Montague, Solar Expert","November 27, 2018",5, Great CRM app. Affordable but robust for small to medium orgs and companies. Modern interface. Easy to learn.
13,Kelly Sequeiros,"November 5, 2018",1, I can't sign up! I fill in all the fields and nothing happens when it refreshes.
14,Daniel Bainbridge,"May 31, 2019",5, quick and easy to add contacts and modify what stage in the sales cycle the client is. This will definitely help me grow my business
15,Tran Duc Nghia,"October 1, 2019",5," Good, although subscription is a bit expensive, even for a longterm SME user like myself."
16,Nancy Grant-Scott,"April 17, 2019",5, Love logging real time activity and the ability to pull up account info on the go!
17,Broken Boundaries,"September 11, 2019",5, So convient door our home based business! with lots of sales & service appoitments on the road its simple to use from any device.
18,Darin Ray,"July 21, 2019",4, Love the app! Just wish the math feature was not restricted to higher payment plans.
19,Hans Giraud,"June 26, 2019",5," Great interface, Effective, and easy to use"
20,Matt Stiller,"November 26, 2019",5," I manage a network of about 650 people and this CRM has worked really well for me. Were about to grow to about 4000-5000 members, and I am comfortable using insightly for that. Go Google go🤙"
21,Jim McLaughlin,"December 14, 2018",5, Love the combination of crm and project management. Does most of what I need.
22,Joseph Mouton,"March 20, 2019",1, cant even setup an account. not a good start.
23,Mommy ISH,"January 17, 2019",1, unable to open app. orange screen
24,Francesco Vetrano,"June 25, 2019",5, Easy and flexible
25,Daryl rajnovic,"February 5, 2019",1, no email sent for log in
26,Prakash Jaiswal,"August 3, 2019",5, Beautiful app...very usefull
27,Vince Lee,"December 19, 2018",5, awesome tool to use
28,Jason Lovegrove,"March 4, 2020",5, Really good crm
29,peter hill,"February 4, 2019",5, awesome crm. easy to use too
30,Sonia Ochoa,"February 19, 2019",5, this app is amazing
31,Chidi Nnejiakolam,"November 23, 2018",3, Its user friendly
32,Dean Marks,"February 5, 2020",5, I love how well the app works on mobile devices now.
33,Warrick Morgan,"October 18, 2019",1, App / program isn't entirely trash but zero customer tech support. DO NOT INSTALL OR USE THIS APP - USE SOMETHING BETTER
34,Alan Wright,"May 21, 2019",5," Great app, really has helped me coordinate my dealings with my contacts, been using it for 2 years now, could not do without it."
35,Jason McLennan,"May 17, 2019",5, great functionality
36,Grant Bain,"February 11, 2019",5, I have not been able to edit the body of notes for 2 months. I use a Pixel 2 with OS 8.1.0. I have seen several comments here and on the insightly help forms about this. The help desk has not oh knowledge that they are having a problem or let us know any action they're taking. I just want to be able...Full ReviewI have not been able to edit the body of notes for 2 months. I use a Pixel 2 with OS 8.1.0. I have seen several comments here and on the insightly help forms about this. The help desk has not oh knowledge that they are having a problem or let us know any action they're taking. I just want to be able to edit my notes in the field as this is a large portion of my job. It does not seem that Apple's IOS is having the same issue.
37,Frank Carosella,"January 2, 2019",4, A lot of updates in this mobile app .
38,Sheldon B,"September 20, 2018",1, Feels like I am dealing with a CRM. Very fast response publicly and no meaningful follow up after... while I pay for sonething I cannot use. Shocking! The app used to be useful but I cannot log in after upgrading to a Samsung S9+. Log in approved and straight back to log in screen where I can do it ...Full ReviewFeels like I am dealing with a CRM. Very fast response publicly and no meaningful follow up after... while I pay for sonething I cannot use. Shocking! The app used to be useful but I cannot log in after upgrading to a Samsung S9+. Log in approved and straight back to log in screen where I can do it again... and again... I received a pleasant message thanking me for input but nothing further has happen. I am paying for a service that I cannot access via the app.
39,Jann Mirchandani,"August 2, 2018",5," I've been using Insightly from the beginning. The app has continually 
gotten better. While I mostly use Insightly on my computer, it's great 
being able to work efficiently on my phone when I'm away from my desk!"
40,Allen Hauptman,"August 21, 2018",5," I've been a power user of Salesforce, in the past. I've been using Insightly for 14 months. It has everything I relied on in Salesforce at a fraction of the cost. I love it."
41,Gabriel .Camarena,"August 4, 2018",2," This is not intuitive. There is no way to add notes to leads, 
opportunities, or projects. There is a Related tab for each of those that 
says Notes but it is unresponsive."
42,George Kiorpelidis,"July 27, 2018",4," I've been using the desktop version since the beginning and am really 
loving the convenient app."
43,Brian LoBue,"June 19, 2018",3," Interface could be more useful.  I just arrived in a city where we have some customers.  Couldn't do a sort in the app of organizations by state or city, so it was useless to me while in transit to see who I needed to start setting up visits with.  Too bad, because all the data is in their system."
