index,author_name,review_date,reviewer_ratings,review_body
0,Andrew Knight,"April 6, 2020",5," The paid version is so worth it. The unconventional workflow takes a little getting used to, but it is a very powerful tool set. I love that the canvas is boundless, or if I set an art board size, I can draw past the edge. I like setting ""finger action"" to ""nudge"". Now I can quickly draw with the st...Full ReviewThe paid version is so worth it. The unconventional workflow takes a little getting used to, but it is a very powerful tool set. I love that the canvas is boundless, or if I set an art board size, I can draw past the edge. I like setting ""finger action"" to ""nudge"". Now I can quickly draw with the stylus and immediately make an adjustment with my finger, without having to select a different tool. I'm impressed!"
1,Jake Truemper,"April 17, 2020",5," I'm a User Experience Designer, not an artist, but I'm very visual in the way I work to communicate to colleagues and clients more effectively. That means storyboards, wireframe sketches, etc. The two killer features that I found in another app were an infinite canvas and the ability to export clean...Full ReviewI'm a User Experience Designer, not an artist, but I'm very visual in the way I work to communicate to colleagues and clients more effectively. That means storyboards, wireframe sketches, etc. The two killer features that I found in another app were an infinite canvas and the ability to export clean scalable visuals. I haven't found that again anywhere else until I found this app. That other app was quite buggy and slow, but this operates very smoothly and with added features that make creating storyboards much more convenient. I only just installed it today, and already upgraded, but I'm excited to see how this improves my daily experience."
2,nick founride,"April 26, 2020",5, This is one of the best drawing app out there the only problem is that it is limited for Windows users. I would without a doubt pay for a full version (even if it was a bit more expensive no subscription). I hope that they bring all of the IOS features to this platform.
3,Scott Moehring,"April 19, 2020",5," This is the Chromebook sketching experience I've been waiting for. Automatically assigning different tools to different layers is genius. Sketch with pencil, switch to pen, and it automatically draws on top. The fill and airbrush tools fall in-between. Sure, you can manually use any tool on any laye...Full ReviewThis is the Chromebook sketching experience I've been waiting for. Automatically assigning different tools to different layers is genius. Sketch with pencil, switch to pen, and it automatically draws on top. The fill and airbrush tools fall in-between. Sure, you can manually use any tool on any layer, or change layer order, but for working up concepts quickly, the automatic setting is a dream. The fast select/dupe/scale/rotate is a major help for working up variations. Great application!"
4,Nikola Rajković,"April 8, 2020",2," Would love to use this but it's currently unusable with the tool circle bugged. Adjust line width, opacity or something else, close the menu and then try rotating the circle tool selection. 100/100 times instead of rotating the tools I will instantly start changing value of whatever setting you last...Full ReviewWould love to use this but it's currently unusable with the tool circle bugged. Adjust line width, opacity or something else, close the menu and then try rotating the circle tool selection. 100/100 times instead of rotating the tools I will instantly start changing value of whatever setting you last changed. And there's no way to undo it, you have to guess what the value was that you changed..."
5,Monster,"March 3, 2020",3," Concepts is a great app in the making. So far I have bought all the adds ons, with the exception of the Memphis Patterns and Exterior Walls. There are a few issues that plague this app. One of them is that while drawing, menus keep popping up causing me to accidentally select and change settings. Wh...Full ReviewConcepts is a great app in the making. So far I have bought all the adds ons, with the exception of the Memphis Patterns and Exterior Walls. There are a few issues that plague this app. One of them is that while drawing, menus keep popping up causing me to accidentally select and change settings. While trying to change pen settings, such as the opacity, the size of the pen will be changed, this of course is very frustrating. Lastly, the Fill tool is not a good replacement for a bucket tool."
6,sam a,"April 24, 2020",3, It's ok with a few one interesting features. But expensive. Everyone hates subscription plans on play store including me. I'd rather have a one time fee that gives me access to all features including brushes. Autodesk and adobe are pretty good substitute.
7,Kate Hudson,"March 15, 2020",5," Love this app. I use it for calligraphy and lettering. It's easy to use, and the line smoothing and ability to nudge or drag existing lines is great. Like another reviewer, I find occasionally that leaning the side of my hand on the tablet inadvertently does some other action. I'd like to see the sa...Full ReviewLove this app. I use it for calligraphy and lettering. It's easy to use, and the line smoothing and ability to nudge or drag existing lines is great. Like another reviewer, I find occasionally that leaning the side of my hand on the tablet inadvertently does some other action. I'd like to see the same features as on iOS, so good to see that is in development. I'd really like a pen that emulates brush lettering, with thin upstrokes and thick down strokes. Any chance of developing one please?"
8,neezam ali,"February 23, 2020",3, The app as is right now for an android tablet is great but still needs improvement. We need a direct straight line tool and ruler. Also the ability to dock the tools to either sides of the app. But above all please give us a better way of getting straight lines. That should have been added to the ap...Full ReviewThe app as is right now for an android tablet is great but still needs improvement. We need a direct straight line tool and ruler. Also the ability to dock the tools to either sides of the app. But above all please give us a better way of getting straight lines. That should have been added to the app from the beginning.
9,Peter Brittliff,"February 27, 2020",4," Love Concepts.. The ability to sketch ideas/mockups on my PixelBook is awesome. As a marketeer I communicate visually and Concepts has become my go to tool for taking meeting notes, (so excited by prospect of PDF import and would love a text tool), kicking up diagrams and designs. I've found the col...Full ReviewLove Concepts.. The ability to sketch ideas/mockups on my PixelBook is awesome. As a marketeer I communicate visually and Concepts has become my go to tool for taking meeting notes, (so excited by prospect of PDF import and would love a text tool), kicking up diagrams and designs. I've found the colour picker super cool but for brand guidelines would like the ability to add specific colours and have a quick way to pick them from some type of Swatch. Overall a great tool that I'd recommend"
10,Twilight Wolfie,"March 3, 2020",1," Didn't use the app for 3 minutes and it was horrid, I have used many drawing apps but this one was one of the worst. It was difficult to figure out some of the controls, also the way it was laid out was HORRIBLE! There was only one good thing about it, that was that it was able to zoom in and out (l...Full ReviewDidn't use the app for 3 minutes and it was horrid, I have used many drawing apps but this one was one of the worst. It was difficult to figure out some of the controls, also the way it was laid out was HORRIBLE! There was only one good thing about it, that was that it was able to zoom in and out (like every drawing app should). Overall complete waste of my time."
11,Areeba Yaqoob,"April 15, 2020",1," This app is crashing all time whenever I use to draw something it never shows me what I am drawing and when I press the back button, the screen turns black. I can't draw a single line🤨"
12,Carlos Alvarez,"March 22, 2020",4," This one just become my default app for drawing concepts, sketch quick ideas, explain things to my partner and so on.. Now that's so essential, I would like this app to have a file management system that allow me to classify drawings. Kind of like those notes apps but simpler, folder scheme could be...Full ReviewThis one just become my default app for drawing concepts, sketch quick ideas, explain things to my partner and so on.. Now that's so essential, I would like this app to have a file management system that allow me to classify drawings. Kind of like those notes apps but simpler, folder scheme could be a good idea to explore.."
13,Abigail De Vera,"April 14, 2020",3," Covers the basics, but I wish the iOS features were also here like creating basic shapes. This app is better in iOS and that's unfortunate for a such a capable app. Will those features be in Android? We'll never know."
14,Reonia Mathew,"April 14, 2020",5, It's a really really nice app I've been looking for one like this for so long!! I recently lost my stylus but even just using this on my phone with my fingers is just great. I use it for everything now.
15,Breanne Aullman,"April 23, 2020",4," I really love this app, but do wish it had a few more features (more brushes, line/shape tools, fill tool). But i am really enjoying it."
16,Checkie Dator,"March 27, 2020",4," This app is really good for drawing! I really enjoy making art. But the only reason why I rate this a 4 is because everytime I save an art project, the drawing becomes sideways and I can't save the drawing with a straight format."
17,gokul gupta,"February 19, 2020",5," great for architects,, when are you going to add the precision and scalling features in the android version (they are there in the ios version)? it's a great app for android one of the only good one out there. but the android app is way behind the apple version ."
18,Alex Alvarado,"April 12, 2020",5," Definetely the best drawing app for my Pixel Book. Given Chrome OS's curren't situation, Concepts is the app that runs the best compared to any other app and provides the most features."
19,Jeff Dragonette,"March 24, 2020",4, So far so good 👌 however I do wish purchases were cross platform IE I purchased the essentials upgrade for $9.99 through the Google play store for my Galaxy note 10+ and if I want that same upgrade for my laptop to use it in conjunction with my huion tablet i will have to purchase it again 😡.
20,Haydn Gomez,"April 21, 2020",4, The best design app I have found for drawing directly on a tablet due to nib and pressure accuracy with an S-pen. Simple but effective tool's where other apps feel ' full-featured' but imprecise.
21,Steve Layton,"March 10, 2020",4, Lots of potential. I'd like to see a better cost structure as a casual user who still enjoys flexibility of brushes. It's almost feature rich enough to use over autodesk sketchbook .
22,Dan Noyb,"March 2, 2020",2, Lots of help on how to draw but could find nothing about how to use the app. Gave up taping things on the screen trying to get past the select pen size wheel in the upper left corner. 😔
23,ElectricSpaghetti,"March 26, 2020",5, I love the infinite stretching canvas so much! I'm glad because usually my concepts are too big or i want to add more so this is perfect! Considering premium already and I only downloaded this app like a moment ago!
24,Alfred Arreguin,"April 25, 2020",4, Many great things to say about this app. Just know for now if you want a sketch app this is best so far. And they are getting better.
25,geobese,"April 7, 2020",4," love using this on my PC but on the phone app, there is no sign in option so i can't sync my drawings to look at them in my phone :-("
26,Tegan Norris,"March 18, 2020",5, I love this app it is simple to use and no complicated sign in just put your email in and draw also great for doing homework it has gridded pages to do scratch work on I've had great experiences with this app and I hope that this review will help
27,Chole Mota,"March 16, 2020",2, I kinda got to fidget around but after 3 minutes it didn't work anymore it said everything was on purchase but the colors and organization was fine just needs to improve..
28,TaraBama Tv,"April 9, 2020",2, Its a good app but sometimes it wouldnt let me draw and kept saying go pro over and over so i uninstaled it and tried again and it still didnt work
29,Ainu Faisal,"April 1, 2020",1," I cant draw anything, the line doesn't appear until i change the canvas position 😂 Update 1: no option for that 🙈"
30,LGBT IDDQD,"April 27, 2020",4, It would be the perfect app with Spen support (button for erasing a stroke or others) and rulers/solid shapes.
31,Arts And Creatives Ltd,"February 21, 2020",5," I Love it, as sketching is what I do, this apps is AMAZING for artist, architects, design etc."
