index,author_name,review_date,reviewer_ratings,review_body
0,Devin Cassidy,"April 29, 2020",1," As with everything, absolutely everything, Google does, this is absolutely terrible. It's a fantastic idea, but it quite simply doesn't work. At all. I can't use it, all I get it ""There is an error loading the page. Tap to refresh."" It's utterly mindboggling just how inept you people at Google are, ...Full ReviewAs with everything, absolutely everything, Google does, this is absolutely terrible. It's a fantastic idea, but it quite simply doesn't work. At all. I can't use it, all I get it ""There is an error loading the page. Tap to refresh."" It's utterly mindboggling just how inept you people at Google are, everything you do is abysmal, you screw up everything you touch."
1,Robin Thompson,"April 26, 2020",3," Love the idea, not the execution. Getting lots of errors when trying to load the app, and when trying to do virtual tours of museums. Perhaps they're not available in my region? I'm not sure, the app doesn't really tell you. If the issues could be fixed, this could be a really neat app for people st...Full ReviewLove the idea, not the execution. Getting lots of errors when trying to load the app, and when trying to do virtual tours of museums. Perhaps they're not available in my region? I'm not sure, the app doesn't really tell you. If the issues could be fixed, this could be a really neat app for people stuck in social isolation."
2,Sarang,"April 24, 2020",5, It's an immensely important source for those who don't have access to artistic creations confined to some museums. It's like democratization of art. UI/UX is still evolving. But whatever is available is very convincing that it's on very interesting journey. Thanks.
3,Gary Thompson,"April 24, 2020",1," Nice, cultured app but latest build (7.7.4) still doesn't work (S8 running Android 9). App loads but produces ""there is an error loading the page"". ""Tap to refresh"" just produces the same page (under heading arts & culture page / heading). Other reviews report the same issue. Rolling back to v7.4.5 ...Full ReviewNice, cultured app but latest build (7.7.4) still doesn't work (S8 running Android 9). App loads but produces ""there is an error loading the page"". ""Tap to refresh"" just produces the same page (under heading arts & culture page / heading). Other reviews report the same issue. Rolling back to v7.4.5 returns expected functionality."
4,Samuel Cantrell,"April 12, 2020",2," Keeps trying to load and says page content not found. If you keep trying, you can eventually get a camera button at the bottom of the app, which, if you tap fast enough, at least lets you try the ""convert picture into classic art"" feature. But it appears most of the app is broken."
5,Lameisha Blue,"April 24, 2020",2, Great photos of art work i love the selfie feature that finds artwork that looks like you..its a little off but very interesting and cool.BUT I dont think it has every painting and sculpture ever and the search engine is not accurate i wish my phone was compatible with the other features.
6,Arash Zamani,"April 15, 2020",1," After recent updates the app always shows a message that the contents can't be loaded and it is offline. Before these damn updates, I used to spend a lot of time by checking this great app and dive through the world of art. Please fix it!"
7,Sridhar Raman,"April 17, 2020",1," It keeps saying ""TAP TO REFRESH"", but nothing happens. There is literally no other page/tab/screen. What is the problem? Is this app geo-restricted? I am trying this in the UK."
8,Jorge D Aguiar M,"April 7, 2020",1," I wanted to use the option to convert your pictures into art, but since you can not frame the image, you only get the part the app wants to. Just not ideal."
9,Nick Byroglou,"April 29, 2020",5," An excellent, educational, generous application. I just wish more applications like Google Arts & Culture. Creativity and inspiring challenge inside. Thank you"
10,Gabriel Skiver,"April 14, 2020",1," This app has never loaded past a white screen with a blue circle in the center. There is no menu, controls or indication that anything is loading or processing. My device is a galaxy s9+."
11,james marlow,"April 18, 2020",5," This app isn't just about finding which portrait you look like, it's so much more. Really worth having a good look at."
12,Beauford A. Stenberg,"April 15, 2020",5," Five stars for the functionality alone, let alone the collections and institutional breadth. I came across this app on my magical SmartTV which was once upon a time anything but FRIGgin' smart. Thankyou to all concerned. bhagavanSKYFlower B-)"
