index,author_name,review_date,reviewer_ratings,review_body
0,Casey Monaghan,"April 18, 2020",5," I love Google Earth! I use it to explore areas that I vacation in, before and after. It helps in deciding when and where I'm going to spend my time. And no more getting lost when following directions from locals..... Before Google Earth I was a map freak. I would plot literally every mile, every gas...Full ReviewI love Google Earth! I use it to explore areas that I vacation in, before and after. It helps in deciding when and where I'm going to spend my time. And no more getting lost when following directions from locals..... Before Google Earth I was a map freak. I would plot literally every mile, every gas stop, rest stop, etc. And I could predict my miles to travel by the markings on the map."
1,James Holmberg,"April 11, 2020",5," Google Earth is BY FAR my most frequently used app. I've been known to spend hours at a time on there. Between exploring ""new world's"" by soaring above like an eagle or zooming in and seeing my car in the driveway, or revisiting old haunts to see how they've changed, it more than maps. It often has ...Full ReviewGoogle Earth is BY FAR my most frequently used app. I've been known to spend hours at a time on there. Between exploring ""new world's"" by soaring above like an eagle or zooming in and seeing my car in the driveway, or revisiting old haunts to see how they've changed, it more than maps. It often has emotions and feelings attached. Then when I thought it couldn't get better...3D model excites a whole nother dimension...literally"
2,christopher graves,"April 17, 2020",5," Revolutionary! Genious! Brilliant! Near global exploration for those who aren't rich or wealthy. Only suggestion: OPTIONAL TOPOGRAPHY, above & below sea level. Although, in 3D model, you can see depth: with topographic lines, you could tell the exact altitude. Regardless, everyone on Earth should ha...Full ReviewRevolutionary! Genious! Brilliant! Near global exploration for those who aren't rich or wealthy. Only suggestion: OPTIONAL TOPOGRAPHY, above & below sea level. Although, in 3D model, you can see depth: with topographic lines, you could tell the exact altitude. Regardless, everyone on Earth should have easy access to Google Earth. (Btw, the fact that it's only rated 4.3, shows a tragic lack of intelligence or curiosity among users. )"
3,Tonya Maddox,"April 21, 2020",3, I love Google Earth but there is way too many botchy areas and no street view for roads that are clearly roads. Also what is up with blurred and blacked out spots? I've found several roads that I wanted to get street view and i couldn't even get close to the rd. Sometimes id have to go way out from ...Full ReviewI love Google Earth but there is way too many botchy areas and no street view for roads that are clearly roads. Also what is up with blurred and blacked out spots? I've found several roads that I wanted to get street view and i couldn't even get close to the rd. Sometimes id have to go way out from the area like miles before im able if at all to get a street view. I love to search for abandoned places and beautiful places and discover strange things so get on it Google and get more street views.
4,Jeremy Martin,"April 9, 2020",5, Google Earth has always been awesome since the day they released it way back then. I can spend hours scrolling through this stuff and learning things and even some humorous and frightening things. Make sure you have a good internet connection if you go browsing in this app. User friendly UI and usua...Full ReviewGoogle Earth has always been awesome since the day they released it way back then. I can spend hours scrolling through this stuff and learning things and even some humorous and frightening things. Make sure you have a good internet connection if you go browsing in this app. User friendly UI and usually kid safe.
5,guatemalantomcat,"April 13, 2020",5, I play a lot of city building games and ever since I have developed an obsession for city street layouts and what not. I am now addicted to Google Earth. It's truly amazing what Google has accomplished with this app/software. Will keep awaiting for more cities around the globe to be added.
6,Daniel DA,"April 27, 2020",1," ERROR When you try the questions game about cosmos or exploring famous places related to Harry Potter, there is the same error ad: ""No Street View availabe here. Tap a location highligtned un blue to enter Street View"" and when you see that error, it is imposible to do anything to continue playing b...Full ReviewERROR When you try the questions game about cosmos or exploring famous places related to Harry Potter, there is the same error ad: ""No Street View availabe here. Tap a location highligtned un blue to enter Street View"" and when you see that error, it is imposible to do anything to continue playing because the ""next"" button disapears so you can't see the next question/place or whatever. This error is not new. I have a samsung A70. Please check it."
7,Chas Wesley,"April 19, 2020",5," A fun romp around the world with close ups of interesting places I would never see otherwise. We are quarentend like everybody else with any brains! Mostly, I use it for seeing the appearance of houses I am going to for blind pick up and deliveries for local sales sites on Facebook. I also can go to...Full ReviewA fun romp around the world with close ups of interesting places I would never see otherwise. We are quarentend like everybody else with any brains! Mostly, I use it for seeing the appearance of houses I am going to for blind pick up and deliveries for local sales sites on Facebook. I also can go to my old home and see my car and house from seven years ago, which is nice for nostalgia."
8,Alex Cahill,"April 23, 2020",4," Its a good app but i learned in north korea that there is an old first ever floating hotel, i googled where its at (Kangwon, North Korea). Everytime i try to go there it closes the app, but when i typed south koreas capital it took me there. I really dont like the restriction of information when i w...Full ReviewIts a good app but i learned in north korea that there is an old first ever floating hotel, i googled where its at (Kangwon, North Korea). Everytime i try to go there it closes the app, but when i typed south koreas capital it took me there. I really dont like the restriction of information when i wanna see an essential historical building."
9,Anonymous,"April 23, 2020",1," This app used to be awesome! Literally awesome! But now it takes like a 100 years for a street to load, if you zoom into a country then you have to wait at least 5-10 minutes for it to load... Fix it please! And then our Stars will go up and up and up!!"
