index,author_name,review_date,reviewer_ratings,review_body
0,S W,"April 29, 2020",1," App is fine, the service is deplorable. We've had Fi 'unlimited' service for about 6 months. Fi Support is responsive, efficient and easy to contact via the app. The cell service itself is where the problem lies. Most of the 'unlimited' data is wasted through constant updates (for other paid Google ...Full ReviewApp is fine, the service is deplorable. We've had Fi 'unlimited' service for about 6 months. Fi Support is responsive, efficient and easy to contact via the app. The cell service itself is where the problem lies. Most of the 'unlimited' data is wasted through constant updates (for other paid Google services) and phone resets (initiated per Fi support). It's not uncommon to lose or barely be able to get LTE signal at times, even in metro areas. I regret leaving Verizon and plan to return asap!"
1,Martin Brown,"April 30, 2020",3," This is really just a way for google to monetize Google voice/Hangouts. Found a much cheaper phone plan, but now if i opt out I lose my google voice #. They're still charging me the basic rate even though I'm no longer using the service. The good thing about google voice is that you can integrate it...Full ReviewThis is really just a way for google to monetize Google voice/Hangouts. Found a much cheaper phone plan, but now if i opt out I lose my google voice #. They're still charging me the basic rate even though I'm no longer using the service. The good thing about google voice is that you can integrate it into any phone service, so technically you can keep the same # forever. Is a phone # worth $20/month? Hmmmmmm...."
2,Paul B,"April 30, 2020",1," Un...... believable...... I insert the Google Fi SIM card, download the app 4 times because it won't download for some reason, then I'm told it's going to take up to TWO DAYS to transfer my number! I am going to have NO SERVICE FROM ANY COMPANY for TWO DAYS!!!! Then the app says that the account inf...Full ReviewUn...... believable...... I insert the Google Fi SIM card, download the app 4 times because it won't download for some reason, then I'm told it's going to take up to TWO DAYS to transfer my number! I am going to have NO SERVICE FROM ANY COMPANY for TWO DAYS!!!! Then the app says that the account information I entered isn't correct and that I need to, and I quote, ""CALL MY PREVIOUS CARRIER"".....ya know....from the phone that I can't make phone calls from. I am so livid right now....."
3,Travis M,"April 19, 2020",2," Be prepared for extras for calling! Even though wifi calling is set on my Note 9, it always uses my sim data for extra monthly charges. SUPPOSEDLY it picks between wifi and cell for the best quality call. It always chooses cell data for extra charges. Also, Internet speed is half the speed of a loca...Full ReviewBe prepared for extras for calling! Even though wifi calling is set on my Note 9, it always uses my sim data for extra monthly charges. SUPPOSEDLY it picks between wifi and cell for the best quality call. It always chooses cell data for extra charges. Also, Internet speed is half the speed of a local sim when I do a speed test. UPDATE. Generic response. It NEVER uses wifi calling bc I was told it selects the best connection. Which is ALWAYS sim and not wifi. Even though I have no prob with Skype"
4,Mark Herbert,"April 22, 2020",2," I installed this app to see what it was, and didn't really show me what it was. If you're figuring it out, just go to their website instead of this. Just at a glance, looks a lot better than other carrier apps to deal with your account, but when I wanted to uninstall it, my phone (Pixel 4) assumed i...Full ReviewI installed this app to see what it was, and didn't really show me what it was. If you're figuring it out, just go to their website instead of this. Just at a glance, looks a lot better than other carrier apps to deal with your account, but when I wanted to uninstall it, my phone (Pixel 4) assumed it was a factory app and didn't let me uninstall. This makes no sense to me and now I can only disable this app."
5,Jasmin Afanador,"April 24, 2020",4, I love Google Fi! Just activated my new Google Pixel today after being with Google Fi for a long while. Setting up the SIM FREE activation and copying everything from my old phone was so simple it's mind-blowing. Hopefully after a few days on my new Pixel 3a I'll be coming back to give 5 stars.
6,Anthony Bear,"April 30, 2020",2," Having trouble with eSIM. Will not click through, keeps telling me to insert SIM card. Will edit and update review once i can use the service. Update: followed your instruction, still no good. I need a human to help."
7,CeeCee,"April 26, 2020",2," I experienced many issues from the start, signal wasn't reliable, extended delays when placing a call even when I had a full signal, I loved the idea, plan price and features if it had worked properly ;("
8,Paul's Email,"April 28, 2020",1," Can't delete app, no longer use this service. Only disable is available. Obtrusive! Customer service is 100% useless over my 2 years of use. Just left for T-Mobile. This service is garbage and over-priced too."
9,Nate N,"May 1, 2020",1," Painful phone service. Dropped calls, people can't hear me, bad quality. I have to spend hours on work calls all day in many areas. Not very reliable and not great price compared to some of the $30/unlimited 3rd party cell plans available now."
10,kit Otto,"April 30, 2020",2, esim randomly disappears and it's not always easy to download. Being without phone or text on several occasions without an explanation for why or any pattern isn't really acceptable.
11,Yoonho Lee,"April 5, 2020",5," I moved to this service last year, because I was often moving between US and Korea a lot. Google Fi does not provide data on Korea ""officially,"" but it works very well. So it made me save money from paying two data service for American and Korean services. I did have some issues with bill last month...Full ReviewI moved to this service last year, because I was often moving between US and Korea a lot. Google Fi does not provide data on Korea ""officially,"" but it works very well. So it made me save money from paying two data service for American and Korean services. I did have some issues with bill last month, but their feedback was fast and nice."
12,Bob Dupuy,"April 27, 2020",5," Just switched 2 Pixel 2XL phones from Verizon. Switchover was easy as pie. Too early to tell about costs, but it knocks the ball out of the park compared with Verizon performance and it will be WAY WAY cheaper."
13,Randy McQuay,"April 24, 2020",5, Exceptional. Easy to setup and billing is straightforward. All will excellent features and very fair price.
14,Heather Howard,"April 3, 2020",5, I actually have been kind of disappointed with the service considering that the unlimited plan isn't actually Unlimited. I use quite a bit of data and my phone bills always seem to be quite High. However I woke up this morning to discover that my phone bill was going to be quite low because you taki...Full ReviewI actually have been kind of disappointed with the service considering that the unlimited plan isn't actually Unlimited. I use quite a bit of data and my phone bills always seem to be quite High. However I woke up this morning to discover that my phone bill was going to be quite low because you taking this pandemic into consideration as far as people staying connected. And I find myself this morning wanting to give you guys a big thank you. I recently lost my job. So thank you.
15,Tanzie Jewell,"April 15, 2020",3," The wifi internet portion is great and works consistently. Making a phone call is better than receiving a call. I hardly ever receive an active call. I have missed many important calls while abroad bc there was no sound, or connection dropped. If they dont leave a message you never know who called b...Full ReviewThe wifi internet portion is great and works consistently. Making a phone call is better than receiving a call. I hardly ever receive an active call. I have missed many important calls while abroad bc there was no sound, or connection dropped. If they dont leave a message you never know who called bc when abroad they use a local service for your calls and a different number for ever call. So the calls say Nigeria, but it may be from USA. So i give 3 stars."
16,Nehemiah Pruitt,"April 17, 2020",1," This app has a major bug. If you want to activate your phone with the app, go ahead but then FACTORY RESET the phone and whatever you do l, do not install the app ever again. It will cause a lot of issues and told them what it does. They will try to tell you it's not them, it is the brand of your ph...Full ReviewThis app has a major bug. If you want to activate your phone with the app, go ahead but then FACTORY RESET the phone and whatever you do l, do not install the app ever again. It will cause a lot of issues and told them what it does. They will try to tell you it's not them, it is the brand of your phone and call them. Not true. Customer service is a joke."
17,Myles Wolf,"April 12, 2020",2," I've had nothing but problems since switching from Verizon to fi. Idk if anyone has ever noticed but you canNOT use voice to text unless you have full bars. Google maps is ALWAYS messing up, Ive made so many turns and maps tells me I'm going the wrong way when maps itself told me to make a turn. Cal...Full ReviewI've had nothing but problems since switching from Verizon to fi. Idk if anyone has ever noticed but you canNOT use voice to text unless you have full bars. Google maps is ALWAYS messing up, Ive made so many turns and maps tells me I'm going the wrong way when maps itself told me to make a turn. Calls are often dropped and service is limited in a lot of places compared to Verizon. Idk what's happening to Google but I'm highly disappointed and will be switching back to Verizon in the near future."
18,Seen Enkidu,"April 29, 2020",5," I'm glad I switched to Google-Fi 😍 Great service 👍 Save money 💰 No hassle 😇 Manage your plan, account, payment, and get help from customer support though the app 🤓 Thanks Google ✨"
19,Charles Klamm,"April 13, 2020",3," WARNING: Misleading service! You will probably have to pay for text messages. (pay as you go plan: Unless you have a Google phone) Group texts won't work without paid mobile data, and don't download over WiFi. Tried multiple messaging apps. Neither a Samsung S9+ or Apple 11 are compatible. Only simp...Full ReviewWARNING: Misleading service! You will probably have to pay for text messages. (pay as you go plan: Unless you have a Google phone) Group texts won't work without paid mobile data, and don't download over WiFi. Tried multiple messaging apps. Neither a Samsung S9+ or Apple 11 are compatible. Only simple texts to one person at a time are included. Shame. (I contacted Fi support twice before I wrote this review. They're answers were cryptic. No fine print on their website saying MMS is paid data)"
20,Lacey Kern,"April 20, 2020",1, Some have issues some do not. I have had an insane amount my family has switched and all of us have had issues regarding mobile network issues with the network hopping. My phone got number got ported wrong and I was having insane difficulties calling people and it took a long time to resolve I could...Full ReviewSome have issues some do not. I have had an insane amount my family has switched and all of us have had issues regarding mobile network issues with the network hopping. My phone got number got ported wrong and I was having insane difficulties calling people and it took a long time to resolve I couldn't even use the ease I'm on my pixel like they said so I have to use a regular sim but my employer that I work for which is a hospital in my town can't even call me. Extra billing charges and more!
21,kevin king,"February 28, 2020",1," I spent more time with support over tickets, than I did actually using the service. Call quality was constantly horrendous. I was constantly repeating myself so the other person could attempt to hear me. Unable to use data simultaneously in 2020 while on a call is a joke. I was instructed to make ne...Full ReviewI spent more time with support over tickets, than I did actually using the service. Call quality was constantly horrendous. I was constantly repeating myself so the other person could attempt to hear me. Unable to use data simultaneously in 2020 while on a call is a joke. I was instructed to make network specific changes before EVERY CALL in order to use data while on a call. So when I received a call, I had no luck. Overall terrible as a provider. Left after four months of constant struggles."
22,Vijay Vaidy,"April 5, 2020",5," Update: issue resolved, first few days of service seems fantastic. Very promising. Original: Doesn't work. A Google product that could not activate with a phone made by Google (Pixel 2 XL), bought unlocked directly from the Google store. Support asked me to reset app setting, network settings, and r...Full ReviewUpdate: issue resolved, first few days of service seems fantastic. Very promising. Original: Doesn't work. A Google product that could not activate with a phone made by Google (Pixel 2 XL), bought unlocked directly from the Google store. Support asked me to reset app setting, network settings, and reboot. Nothing worked. Not worth jumping through all these hoops to get a simple activation done."
