index,author_name,review_date,reviewer_ratings,review_body
0,Wayne Johnston,"April 25, 2020",3," I loved this app when the goals included move minutes. I don't like it nearly as much now with the move minute go replaced by a step goal. Why? I don't walk. I cycle and ski. I get zero steps on the bike. What is the point of a goal I can never hit? I understand that steps works better for many peop...Full ReviewI loved this app when the goals included move minutes. I don't like it nearly as much now with the move minute go replaced by a step goal. Why? I don't walk. I cycle and ski. I get zero steps on the bike. What is the point of a goal I can never hit? I understand that steps works better for many people, but please bring back the ability to use move minutes instead of steps. Why not just give us a choice?"
1,Ruth Houston Barrett,"April 29, 2020",5," I'm enjoying this app; it does everything I need it to do, with no effort on my part. I love the journal feature, showing the map of my route, the steps, minutes, and miles, so I can look at my runs and walks from all angles. I like that it also tracks the minutes. I've double checked the distance i...Full ReviewI'm enjoying this app; it does everything I need it to do, with no effort on my part. I love the journal feature, showing the map of my route, the steps, minutes, and miles, so I can look at my runs and walks from all angles. I like that it also tracks the minutes. I've double checked the distance in multiple ways and found it quite accurate, usually, with the exception being laps around a track and other quicker turning routes. I enjoy the day, week, and month views. I also appreciate that it tracks workouts that begin before midnight and end after as a complete workout, in the journal view. A+++ 5 stars!"
2,Sara Q,"April 21, 2020",1," Sadly the latest updates have ruined this app. Your exercise levels are now mainly based on steps which, as a cyclist, is irrelevant to me - Move Minutes, which took all forms of exercise into account, was infinitely better. They claim this update was as a result of customer feedback but from readin...Full ReviewSadly the latest updates have ruined this app. Your exercise levels are now mainly based on steps which, as a cyclist, is irrelevant to me - Move Minutes, which took all forms of exercise into account, was infinitely better. They claim this update was as a result of customer feedback but from reading these latest reviews I'd say that's highly unlikely. Please put it back to how it was. Or at least give users the option of which they'd prefer."
3,Hussain Ali,"April 29, 2020",3, Connected the app to my mi fit app. The steps are not being recorded properly. The readings are different. Expected more from Google. Hope they work on this. Otherwise the app is simple and clean. Very easy to use. Edit: Got a reply from Google in like 5 mins. Great to see that response. Really make...Full ReviewConnected the app to my mi fit app. The steps are not being recorded properly. The readings are different. Expected more from Google. Hope they work on this. Otherwise the app is simple and clean. Very easy to use. Edit: Got a reply from Google in like 5 mins. Great to see that response. Really makes you believe in their willingness to improve.
4,JANE LEE,"April 17, 2020",1," It was a wonderful app to track move minutes which makes sense to everyone. Now it tracks steps instead of movement, so makes sense only for those lucky enough to be able to count their activities by step counter. Why take away a vital tool for the less able to pander to the most able who can easily...Full ReviewIt was a wonderful app to track move minutes which makes sense to everyone. Now it tracks steps instead of movement, so makes sense only for those lucky enough to be able to count their activities by step counter. Why take away a vital tool for the less able to pander to the most able who can easily choose from a wide range of step counters. Ah, I see your response. The step counters have the priority despite having so many other apps that count steps. You have made your point."
5,Ana Dulce Cardadeiro,"April 20, 2020",1," I used to love this app and use it daily to track my workouts but the new update to steps as goal will no doubt make me stop using it. Bring back time goal. Step count it's a pointless goal, at least give people the choice to select what they want to aim for instead of just deciding what you think i...Full ReviewI used to love this app and use it daily to track my workouts but the new update to steps as goal will no doubt make me stop using it. Bring back time goal. Step count it's a pointless goal, at least give people the choice to select what they want to aim for instead of just deciding what you think it's best for us. Also how can you think changing the goal to steps is a good idea when most of the world can't leave the house????"
6,Chelsea Strong,"April 23, 2020",1," The app was great but the latest update changed Move Minutes to Steps and I hate that! I liked using this app to track my workouts and making sure I am getting enough minutes of exercise in everyday, but I don't do steps everyday. Why can't you make it so that we can set goals for Move Minutes and S...Full ReviewThe app was great but the latest update changed Move Minutes to Steps and I hate that! I liked using this app to track my workouts and making sure I am getting enough minutes of exercise in everyday, but I don't do steps everyday. Why can't you make it so that we can set goals for Move Minutes and Steps?? Or be able to choose one or the other?? That way everyone would be happy."
7,Ruth Sherwood,"April 25, 2020",2," I agree with all the other reviewers that are saying the latest update to use steps instead of move minutes is an unwanted change. But I also want to include the fact that, although it still tells me when I've earned extra heart points, they've removed the data to tell me how many extra points which...Full ReviewI agree with all the other reviewers that are saying the latest update to use steps instead of move minutes is an unwanted change. But I also want to include the fact that, although it still tells me when I've earned extra heart points, they've removed the data to tell me how many extra points which I used as a target. I have sent this to them in the in app feedback but do not expect to get this changed. Update. Now when I try to open a days activity in my journal the app closes down."
8,Sara E,"April 19, 2020",1," Terrible timing for Google to change the move minutes goal for a steps goal. Right now a lot of people live in countries where because of coronavirus measures, they can only leave the house for essentials. I have barely left my apartment for a week, but the daily minutes goal was keeping me active. ...Full ReviewTerrible timing for Google to change the move minutes goal for a steps goal. Right now a lot of people live in countries where because of coronavirus measures, they can only leave the house for essentials. I have barely left my apartment for a week, but the daily minutes goal was keeping me active. Now the low step count every day is a slap in my face – I'd love nothing more than to be able to go for a walk, but I can't, and Google makes sure to rub it in. Please let users choose between steps and minutes for the main goal, in addition to heart points."
9,David Evans,"April 17, 2020",2," I used to love this app, but the change to track steps rather than move minutes shows the danger of giving people what they want rather than what they need. Steps may be simpler to track, but there is growing evidence that counting. Steps alone is far too simplistic a way to measure health and fitne...Full ReviewI used to love this app, but the change to track steps rather than move minutes shows the danger of giving people what they want rather than what they need. Steps may be simpler to track, but there is growing evidence that counting. Steps alone is far too simplistic a way to measure health and fitness. Aerobic exercise can and should come in any form not just walking and needs to be balanced with anaerobic and resistance exercise including yoga and weights based exercise."
