index,author_name,review_date,reviewer_ratings,review_body
0,Ashutosh Anand,"April 21, 2020",4," Okay ,this app is really great ,drawing option is so smooth and good ,that I couldn't resist just drawing and signing on it .The dark mode is awesome , the reminder option is cool .The speech recognition is better than expected . Overall ,I love this app .I would have given 5 stars but there are con...Full ReviewOkay ,this app is really great ,drawing option is so smooth and good ,that I couldn't resist just drawing and signing on it .The dark mode is awesome , the reminder option is cool .The speech recognition is better than expected . Overall ,I love this app .I would have given 5 stars but there are cons.Lack of draw tools,no schedule ,no private notes, no option to resize,move or rotate picture or drawings in a note,if a pic or drawing is added, it's at the top, can't edit size. Other than that 5🌟"
1,Suleman Khan,"April 22, 2020",4," Very useful. Helps me alot to organize my files across my phone and pc. UI & UX both are very convenient. A few suggestion: 1. try adding a feature to create folders, I have too many files with me so it will be convenient enough to organize them all. 2. A feature to share them in text format. 3. A f...Full ReviewVery useful. Helps me alot to organize my files across my phone and pc. UI & UX both are very convenient. A few suggestion: 1. try adding a feature to create folders, I have too many files with me so it will be convenient enough to organize them all. 2. A feature to share them in text format. 3. A feature to add voice notes."
2,Legend Creeping,"April 24, 2020",4," Good and very polished, but not a lot of features, it's simple and after about 15 seconds you have seen everything the app can do. It has nice integration with the rest of the google ecosystem though, so its a good app if your in the google ecosystem already, otherwise you'd probably be better off w...Full ReviewGood and very polished, but not a lot of features, it's simple and after about 15 seconds you have seen everything the app can do. It has nice integration with the rest of the google ecosystem though, so its a good app if your in the google ecosystem already, otherwise you'd probably be better off with a more feature rich note app."
3,C Delgado,"April 18, 2020",1, I used to like this app but for a few months now it has become soooo slow. By slow I mean that there is a lag of 2-3 seconds from the time I type to when it appears on the note. Texts that are pasted lag as well. Never had this problem before. There are plenty of reviews with the same complaint. PLE...Full ReviewI used to like this app but for a few months now it has become soooo slow. By slow I mean that there is a lag of 2-3 seconds from the time I type to when it appears on the note. Texts that are pasted lag as well. Never had this problem before. There are plenty of reviews with the same complaint. PLEASE FIX IT!
4,Sergey M,"April 19, 2020",5," I found this app great for 2 purposes: - keep notes and recipes (with images) - keep ToDo lists that can be shared with friends and family. I love that to-dos can be nested Everything can be categorized, rearranged in various ways and highlighted with colors. These features really help in keeping no...Full ReviewI found this app great for 2 purposes: - keep notes and recipes (with images) - keep ToDo lists that can be shared with friends and family. I love that to-dos can be nested Everything can be categorized, rearranged in various ways and highlighted with colors. These features really help in keeping notes organized and accessible. Ability to set reminders and use Google Keep in the browser or from a phone are also very helpful."
5,Denitsa Nenova,"April 5, 2020",4," The app was extremely slow lately, so I uninstalled it. Then installed it again. When opening it I saw that all my notes from the last week or so are lost! I can't sync it or recover it from the app. This is my favorite app <3 and I save a lot of important information on it! Is it really lost? Pleas...Full ReviewThe app was extremely slow lately, so I uninstalled it. Then installed it again. When opening it I saw that all my notes from the last week or so are lost! I can't sync it or recover it from the app. This is my favorite app <3 and I save a lot of important information on it! Is it really lost? Please recover it! If you don't, I'm not sure I'll keep using this app. It's not trustworthy anymore! 4 stars only for the lost data."
6,Alex Hayt,"April 17, 2020",5," I absolutely love Google Keep! It's been my loyal companion throughout these many years now and I just can't imagine my life without it. I'm using it on a daily basis. The one little thing that's bothering me is the absence of text/font styles, because I always need to mark some text in bold when wr...Full ReviewI absolutely love Google Keep! It's been my loyal companion throughout these many years now and I just can't imagine my life without it. I'm using it on a daily basis. The one little thing that's bothering me is the absence of text/font styles, because I always need to mark some text in bold when writing my notes... And also a reverse button 🔙, to cancel the last action (e.g. if I accidentally erased a block of text, which happens quite often 😓). I hope these features are added soon 🙏❤"
7,J Torres,"April 17, 2020",2," Great app!!! Wife and I love it! But 2 stars because it frequently says this app needs to ""refresh."" So you click refresh and it takes FOREVER!! Then it says refresh failed.... what needs to refresh for so long? It's a simple list making tool. If this wasn't an issue it would be 5 stars for me!"
8,Christine Pippins,"April 24, 2020",2, My samsung A50 just did a system update. I normally keep my phone in night mode all the time. But now since the update my google keep stays in dark mode all the time. I DON'T LIKE THAT. I want my toggle back within the app that lets ME control the light or dark mode not my phone (I like this app on ...Full ReviewMy samsung A50 just did a system update. I normally keep my phone in night mode all the time. But now since the update my google keep stays in dark mode all the time. I DON'T LIKE THAT. I want my toggle back within the app that lets ME control the light or dark mode not my phone (I like this app on light mode). Can you please push out an update to this app that puts the option back in for light or dark mode? Or at least make the colors in dark mode less hideous?
9,Moneef Alnahdi,"April 24, 2020",5," My experience with Google Keep as always is really good, but I would like to ask for features to improve the usability for my case, if it possible to add folders and password/biometric authentication to Google Keep will be awesome. Some other apps have these features (Samsung Notes). It would be awe...Full ReviewMy experience with Google Keep as always is really good, but I would like to ask for features to improve the usability for my case, if it possible to add folders and password/biometric authentication to Google Keep will be awesome. Some other apps have these features (Samsung Notes). It would be awesome to have that in Google Keep. Thank you."
