index,author_name,review_date,reviewer_ratings,review_body
0,Jeremy J.,"March 29, 2020",4," Lens is what technology geeks not so long ago smugly chuckled at wishful thinking. It translates hand-written text, you can point it at almost anything and it'll tell you what it is, what you need to know about it, where you can buy it, [...]. However, as with any Google product: Be VERY aware that ...Full ReviewLens is what technology geeks not so long ago smugly chuckled at wishful thinking. It translates hand-written text, you can point it at almost anything and it'll tell you what it is, what you need to know about it, where you can buy it, [...]. However, as with any Google product: Be VERY aware that any interaction you have with Lens will be used to profile you, your behaviour and your mental state and this information will be sold indiscriminately."
1,Bruh Bruhzilla,"April 3, 2020",2," This app used to bee very helpfull ,and it worked just fine the way it worked .But now it won't even try to select the text i point my camera to ,and for some reason when it does work with selecting it will say just"" searching for results"", and nothing, it will just load forever .If a developer of t...Full ReviewThis app used to bee very helpfull ,and it worked just fine the way it worked .But now it won't even try to select the text i point my camera to ,and for some reason when it does work with selecting it will say just"" searching for results"", and nothing, it will just load forever .If a developer of the app is reading this please make it a good app again ,it has a lot of potential .Thanks"
2,w b,"April 11, 2020",1," It blows. You can't remove it from the Chrome context menu even if you delete it. It's useless for image search. Useless. It's good for copying text from images. Kind of. But they're forcing it on us for other uses and they deleted the existing tool that ACTUALLY WORKED. If you uninstall it, they fo...Full ReviewIt blows. You can't remove it from the Chrome context menu even if you delete it. It's useless for image search. Useless. It's good for copying text from images. Kind of. But they're forcing it on us for other uses and they deleted the existing tool that ACTUALLY WORKED. If you uninstall it, they force it on you as an instant app"
3,Reema Srivastava,"April 22, 2020",3," Often useful, but takes effort. Esp since I often use it to lokk for the bugs , pests in my garden, so I know what they are and if good/ bad for my plants. So in such case a need the take a lot of effort to r the Lens to pick the right object or ""bug"" to be specific and then return the search item. ...Full ReviewOften useful, but takes effort. Esp since I often use it to lokk for the bugs , pests in my garden, so I know what they are and if good/ bad for my plants. So in such case a need the take a lot of effort to r the Lens to pick the right object or ""bug"" to be specific and then return the search item. Ofcourse once it finds it the data is useful. Oh yes, since it takes time to search, my phone gets very hot . Not sure if it's the Lens app or my phone. But noticed it on this app only so far."
4,Apple Cider,"April 22, 2020",2," They only show you pictures that are very distinctive and popular (if I were to take a picture of a red plastic cup). But if I took a picture of D.Trump on the television, I would get a sketch cartoon 😂 it's a fun/funny app. So please don't use it for educational purposes. I mean, they're working o...Full ReviewThey only show you pictures that are very distinctive and popular (if I were to take a picture of a red plastic cup). But if I took a picture of D.Trump on the television, I would get a sketch cartoon 😂 it's a fun/funny app. So please don't use it for educational purposes. I mean, they're working on it to be, but it won't be accurate for a while (:"
5,Teresa Cafe,"March 28, 2020",4, Doesn't always come up with a good match but I give it some challenging requests. I'd say 60/40 accuracy based on my experience. It is an awesome concept though to snap a photo of something and find out what it is or match it on the Internet easily without having to come up with descriptive wording ...Full ReviewDoesn't always come up with a good match but I give it some challenging requests. I'd say 60/40 accuracy based on my experience. It is an awesome concept though to snap a photo of something and find out what it is or match it on the Internet easily without having to come up with descriptive wording to try and find.
6,Lauren Ramirez,"April 22, 2020",5," This app gets my 5 stars because it ended my decade-long search for a painting used at the doors of a bakery that I went to as a child. I was always fascinated by it, but could never find it. Finally, I plugged it into Lense, and in seconds, my search was over! Thank you, Google!!!"
7,Linda Garrett,"April 16, 2020",5," I found this app very easy to use. In my System Log I needed to interpret some information about a questionable event that happened and I did find the details of the SCAM...Yep..the Ol' Google Voice Burner phone number trick, What's even worse I fell for it. Anyways it immediately opened up to EVERT...Full ReviewI found this app very easy to use. In my System Log I needed to interpret some information about a questionable event that happened and I did find the details of the SCAM...Yep..the Ol' Google Voice Burner phone number trick, What's even worse I fell for it. Anyways it immediately opened up to EVERTHING that I needed to know. This app,for me, will be a valuable tool for many things!"
8,Lisa Gale,"April 18, 2020",5, Extremely Helpful and Useful App I use on a Daily Basis. No More entering anything into your Search Engine by Tapping on your picture and being taken to the various Websites you were inquiring about is mind blowing! Takes all the Frustrations out by trying to search for something you know nothing ab...Full ReviewExtremely Helpful and Useful App I use on a Daily Basis. No More entering anything into your Search Engine by Tapping on your picture and being taken to the various Websites you were inquiring about is mind blowing! Takes all the Frustrations out by trying to search for something you know nothing about. Shopping and Product Information is at your fingertips by the images you pic from. After Using this and Learned how advanced the technology was I got Hooked Big Time. 98% of the time it's Spot on
9,LGM,"March 29, 2020",2," This App WAS great until today when I pointed GL (Goodle Lens) @ an object, fully expecting automatic spot-on-accurate results from Google, but INSTEAD after I used GL, a pop-up appeared that wld NOT go away until I checked 2 boxes allowing GL to search Amazon AND Pinterest, which BTW, were NOT even...Full ReviewThis App WAS great until today when I pointed GL (Goodle Lens) @ an object, fully expecting automatic spot-on-accurate results from Google, but INSTEAD after I used GL, a pop-up appeared that wld NOT go away until I checked 2 boxes allowing GL to search Amazon AND Pinterest, which BTW, were NOT even remotely close to being accurate AND I can't even get a Google search if I wanted to. HOPEFULLY there's an easy fix. If not, I will be uninstalling ❗"
