index,author_name,review_date,reviewer_ratings,review_body
0,Quentin Danvers,"April 9, 2020",2," I would give this app five stars if there was a way to open the app. There is no way to open the app without the involved process of trying to find the PDF file, which is usually buried deep in system folders and difficult to access on some devices that may not have file management software installe...Full ReviewI would give this app five stars if there was a way to open the app. There is no way to open the app without the involved process of trying to find the PDF file, which is usually buried deep in system folders and difficult to access on some devices that may not have file management software installed."
1,reaction shot,"April 16, 2020",2," it's okay. earlier it had a dark background. that was pleasant to the eyes. the bright one now which merges with the document, is not an improvement at all. also, the page number counter on the right is too wide. sometimes the thumb touches it and the pages jump by scores. it's really annoying."
2,Steven Mancera,"April 20, 2020",4," This app is cool and all for viewer. But can we also launch the app itself standalone. And have a PDF / Documents view also. Let us quickly open local PDF files and Documents in the Drive or other locations. And let us have a quick annotations, drawing, text or signature tools, add Google Keep remin...Full ReviewThis app is cool and all for viewer. But can we also launch the app itself standalone. And have a PDF / Documents view also. Let us quickly open local PDF files and Documents in the Drive or other locations. And let us have a quick annotations, drawing, text or signature tools, add Google Keep reminders right on the app's PDF viewer. And saving it right on the PDF itself Merge the PDF viewer UI with the Drive PDF viewer too. Or just disable the Drive PDF viewer itself"
3,Dylan Charlton,"February 14, 2020",3," While rather short on features, this pdf viewer is fast and renders images nicely. It's one of the best I've used. The only reason I don't give it a higher rating is that the scrollbar on the right is too easy to accidentally get with my thumb, sending me to God knows where in the document. I wish g...Full ReviewWhile rather short on features, this pdf viewer is fast and renders images nicely. It's one of the best I've used. The only reason I don't give it a higher rating is that the scrollbar on the right is too easy to accidentally get with my thumb, sending me to God knows where in the document. I wish greatly for an option to switch it to the left of the page."
4,Chad Meyer,"March 16, 2020",3," Works as intended, but why is it I cannot have a simple icon for this app on my homepage? Why is it the only way to access this is to open a .pdf? If I can even find it w/o using a separate (office) app, and then what's the point of using this? Why does this have to be some hidden endemic android sy...Full ReviewWorks as intended, but why is it I cannot have a simple icon for this app on my homepage? Why is it the only way to access this is to open a .pdf? If I can even find it w/o using a separate (office) app, and then what's the point of using this? Why does this have to be some hidden endemic android system app that you have to go digging for? Give me a simple icon that I can put on my homepage. Geez."
5,Jadyn,"February 19, 2020",1," Hi there. I'm having a big problem with this app. I have tried to download it three times, and while it installs, I can't find it anywhere on my phone, nor can I access it from Google Play. I have already restarted my phone, and other apps download and work just fine, so the problem is only with thi...Full ReviewHi there. I'm having a big problem with this app. I have tried to download it three times, and while it installs, I can't find it anywhere on my phone, nor can I access it from Google Play. I have already restarted my phone, and other apps download and work just fine, so the problem is only with this app. Pls let me know if there is anything I can do. Thank you"
6,Hamza Adam,"April 12, 2020",4," It works even though it doesn't open as an app. All you have to do is, go to downloads, then chose the PDF you want to open, then click on it and hold the file then chose Open with, It's gonna give you choices to open it with original pdf reader or Google PDF. Thumbs up"
7,Singlet Fungi,"April 16, 2020",1, Rubbish! I downloaded this for an easy access icon to be put on my homepage and after it was downloaded I saw that there wasn't an icon. I got confused and checked the reviews on this app then learned that this is by design. There is no easy access icon provided. This app is useless.
8,William Henry,"February 28, 2020",1," The scroll feature has page numbers that stick out unreasonably far. As you open documents with more pages, the scroll feature grows in size, making if more likely you're going to accidentally touch it and scroll 30 pages down when you just want to see the rest of the page you're on. Do people besid...Full ReviewThe scroll feature has page numbers that stick out unreasonably far. As you open documents with more pages, the scroll feature grows in size, making if more likely you're going to accidentally touch it and scroll 30 pages down when you just want to see the rest of the page you're on. Do people besides Ned Flanders test these apps?"
9,Gaurav Chhaidy,"April 16, 2020",3, The page scroller should be at left hand side of the screen so that accidental scrolls can be avoided as most people use right hand thumb while reading. The double tap+slide zoom is very annoying. Sometimes when i scroll fast it zooms in/out.
10,Parimala Renga,"February 25, 2020",1," Not well developed, it is just the basic pdf viewer. If you scroll pdf file which has more than 1000 pages, it becomes laggy and it scrolles 50 pages per second!(if you jump page number to page number). Go for wps pdf viewer lite or adobe acrobat reader. This pdf viewer not suited for big pdf files."
11,Abdullah Sh,"February 4, 2020",2," Please please Fix the problem that when I add the pdf file to the home screen I can't open it unless if I go to the file manager. In previous Android 9 I can add it to the home screen, but now in Android 10 O can't. I am using Samsung Galaxy Note 10 with Android 10 and OneUi 2.0 ."
