index,author_name,review_date,reviewer_ratings,review_body
0,devisilks svpur,"April 5, 2020",4, It is beautiful but it should develop still more tomorrow it should be the best game so this comment is needed it's beautiful it's awesome in one app there are 9 games and I love it but some correction should be needed so correct it next time. I'm telling this because whenever I play Ludo you guys o...Full ReviewIt is beautiful but it should develop still more tomorrow it should be the best game so this comment is needed it's beautiful it's awesome in one app there are 9 games and I love it but some correction should be needed so correct it next time. I'm telling this because whenever I play Ludo you guys only win and I don't put real dies you guys just put the dise number near the computer so improve it just give the equal amount to both the people in the Ludo so guys do the better than the best 😀😁😂
1,Umesh Phular,"April 15, 2020",4, I love this app because my family and my friends also loved it and even I loved it a lot. A very beautiful app which I have ever seen. I have given this game a four star because I think that you should add more games than it will have a better experience for everyone 😊😊🙂
2,Ravi y,"April 22, 2020",5, The games is amazing am playing it frm a long time ... but actually I play this game in other phone of mine and when I play multi player of any bet ...always my questions are same if I play again I get the same questions please look after that and the game is actually help full and good
3,datta badvi,"April 10, 2020",3," I have given this game 3 star because there are two things missing. First thing is chess, if chess is add in this game, everyone likes to play this game and second thing is carrom, which can make this game fun and exciting. So please make the changes."
4,Shakeel Ahmed,"April 18, 2020",1, Worst............ Game....... It's a third class game........ Don't download this app... Because in two player game opposite candidate not getting a algebraic no. But other player come and play and win. But opponent player is in the home only........ Not getting a algebraic no...... Totally waste of...Full ReviewWorst............ Game....... It's a third class game........ Don't download this app... Because in two player game opposite candidate not getting a algebraic no. But other player come and play and win. But opponent player is in the home only........ Not getting a algebraic no...... Totally waste of time and also a loss of data......
5,Ganesh Bhat,"April 25, 2020",1, I know you have to make money by showing ads but don't be greedy. Lots of video ads are not acceptable. And AI in the game cheats. Edit: AI still cheats and wins mysteriously
6,Prathap Dude,"April 27, 2020",5, In Ludo game when we select the players. example we select 2 player. it will select 3 player.. what we select player it will not happen... please check once again.. this is the bug what we facing the problem.
7,Feroze Razack,"April 10, 2020",5," Wonderfull game i enjoy it a lot, but in the word search game (multiplayer) after 20000 you should add some another amount , so could it could be interesting and more enjoyable..."
8,Seelam Sushma,"April 14, 2020",3, This app is so interesring but there is a problem with ludo even though we are selecting 3players we are getting only two players .this is the reason for giving three stars .please solve this
9,kranthi chowdary,"February 15, 2020",4, I like this game very much but one thing that there is no math game how many times I clicked also it's telling that it will be coming soon after few days again I clicked that means it is telling the same thing . It is nice ge but they need to change only this one thing .😊😊😊😊😊😊😊😊😊😊😊
10,Meeshita SadhuKhan,"April 2, 2020",5," Oh!this game is very beautiful and wonderful to play. I have learned so many general knowledge and whenever I see that painting of the jalebi on the wallpaper of the game, I get hungry of eating jalebi and I think that everyone should play this especially small children to develop their brain about ...Full ReviewOh!this game is very beautiful and wonderful to play. I have learned so many general knowledge and whenever I see that painting of the jalebi on the wallpaper of the game, I get hungry of eating jalebi and I think that everyone should play this especially small children to develop their brain about India's culture and heritage, I would say this game is nice, I like to play this game"
11,Balasani Srinivas,"April 21, 2020",5, Jalebi is super game i like this very much and in this app my favourite game was ludo and was like very much snake and ladders and four letter words etc; ;;;;;;;;;;;::::::::and I was enjoyed very well so all members download in play store so bai thank you
12,SHAron_ SHIkha,"March 15, 2020",4," It's really an amazing game. I love it a lot. It's too interesting to play this. Many more games are there. Totally it's amazing, awesome. I recommended this game to my relatives and neighbours."
13,Manjunath C,"April 18, 2020",3, App is good I liked the app hv lot of knowledge and information but not connected ludo to Facebook u should look at this one other thn awesome app the words matching puzzle questions everything is good look to connect people to play online ludo n connect to Facebook
14,Komslesh usha Komalesh usha,"April 3, 2020",5," Interesting It gives to learn more, But in the quess if they give some time to read questions, it will be much better to play... Than to very amazing app for everyone.."
15,ARCHANA RAI,"April 10, 2020",4, A really awesome game but there's a problem that the ludo game doesn't allow me to play with more than 2 persons. I don't know what to do
16,Poonam Poojari,"April 13, 2020",5, Jalebi is a superb game . It has many challenges and I have recently been won upto 200000rupees .once my brother play this game his english speaking skills improved. And ha it also contains many languages.my brother had start saying this game as Jalebi Bai .so if a 6year child can play then why can'...Full ReviewJalebi is a superb game . It has many challenges and I have recently been won upto 200000rupees .once my brother play this game his english speaking skills improved. And ha it also contains many languages.my brother had start saying this game as Jalebi Bai .so if a 6year child can play then why can't you .🙇🙇🙇🙇🙇
17,JANG THAPA,"April 13, 2020",5, It is good game ।have experience with this game they general knowledge questions it is so helpful for everyone it so lovely game and it is so easy and difficult also
18,Narisipuram Ravi,"April 4, 2020",5, This game is very nice I. I like it very well because in this there are so many challenges.
19,CREATIVE G BS,"April 10, 2020",5, I liked the types of games in this app.I liked word hunt the most .I think they should develop all the board games in this app.🙏👍👍
20,shaifu basha,"April 9, 2020",4, Yah! It's good and there are many games to play and also to challenge others in this lockdown we can enjoy with this app
21,Duraisaravanan.r Duraisaravanan,"April 7, 2020",5, I love this game i give 5 stars but increase some facilities like game with online players and real cash earning
22,Anushka Modak,"March 16, 2020",5, Aswem game me and my mother play it every day this game dosen't have much ads than other . Word connect there are lots of extra words . But still the game is nice
23,Sathya Narayanan V,"April 19, 2020",4, This game is a good game me and my dad are play this game but thanks for the ad because it gives a 3 hits thx for the ad.
24,rathnavalli palanisamy,"April 21, 2020",5, Very nice awesome whatever like snake ladder and Ludo it's very nice when we are playing when we are putting 1 in Ludo we have to play but in this game your putting six
25,Thangaraj T,"April 24, 2020",5, It is very nice game and it is very usaful all do it is mind or brain games I want to say something thing you have to download and play this game 👌👍👏🤗😇😄
26,Geetha Mahadevaswamy,"April 13, 2020",1, It was better without any update but these days ludo has become the worst .4 players are not allowed to play ludo at a time and it's disgusting 😡😠 😡.
27,G Sanjeevareddy,"April 19, 2020",2," I have given u 2 stars because the only problem with this game is the dice rolling and next thing is whenever I ply with computer ,computer wins the game next time please give chance for both"
28,Sadananda Rao,"April 23, 2020",1," Worst game this is ..Ludo has no chance to play four members at a time and when we r playing online the opponent player get 6s ,i don't get any 6s half of the game.it is very irritating 😤😤😤"
29,Koteshwar Rajaram Pai,"April 15, 2020",5," perfect educational game for kids but it took me about 1-2 days to understand the ""bricks""game"
30,Ravi Rai,"April 19, 2020",5," Good game, but chatting option should also be introduced."
31,RAGHUL,"April 10, 2020",3, i love to play here... but whenever i win and click home... the app closes.. and points are not credited....this is awefull
32,RENUGA MURUGANANTHAM,"April 22, 2020",4," It is a very nice game.i spend my time very usefully.but somethings must be developed.it ask repeated questions,that should be changed"
33,Manbhanwar Rajawat,"April 21, 2020",5, This app is very good very educationaly very entertaining .this app have many games .I enjoy every game very much .this app is extremly good for kids adults and all .every should download this app and enjoy
34,Piush Pani DEWAN,"February 27, 2020",5, This is a great game and I want to say that it refreshes our mind and very interesting and I am from Canada but I really like this one. Thanks
35,Vaidehi Kadam,"April 6, 2020",5, Its really amazing game😁👌 you can play as many as games you want and also a quiz this game is a full package of entertainment👍
36,chinni chinni,"April 21, 2020",1, The game was very super it is wonderful to play them. this is knowledge game to improve our learning download to all enjoy the game
37,Devarapalli Sangeevamma,"March 25, 2020",4, This is very interesting game for stress free and I like ludo and word search very much I won in each game while playing ludo with computer😅 this is not much easy to play but I felt 😀😃😅😅😕😕..........................so on
38,K. Bhargav Naidu,"April 5, 2020",2," It would be nice when it had a option called ""play with friends in online"""
39,Nagaraj K V,"March 5, 2020",4," Super game, for better intrataing, gave the points or stars for each game wining, finally plan to buing something means shapes of coins used in game..."
40,Ansarasif Super,"April 1, 2020",5," Super game for increasing our brain power like the game - word hunt, word search, desi quiz, word connect. {THE GAME IS AWESOME} I love this game"
41,Akshay Ajith,"March 20, 2020",4, It's very nice game.Playing this game makes the time move fast.Its like timepass.Totally loved this game a lotttttt . Must install this app. Very awesome.
42,Kiran Gupta,"February 14, 2020",4, It's a brilliant game . It not only increases our knowledge also it helps us to compete with others . I suggest you to download it and try
43,Rashmi NG,"February 13, 2020",5, Very good app especially in Kannada with lot of information in puzzles... All those who Kannada must try... Good for both kids and adults
44,Pushpalatha S,"February 22, 2020",5," It is best knowledge improver app . Instead of grammatical questions in regional languages, try to add more gk questions..add more features"
45,Mukilvidhya Ram,"March 19, 2020",4," This is a good game😇😇😇. But the only fault is that often the ads pops on every exit 😤😤😤. This is so annoying🤯🤯🤯.But, therefore it is a good game ""A DESI ADDA"" which enriches our Indian culture.🇮🇳🇮🇳🇮🇳🇮🇳"
46,Preeti Sajjan,"April 13, 2020",2," In ludo and snake and ladder, after one player wins the game let it to be continuied.so that other 3 player's can play"
47,Sufiyan Khan,"April 11, 2020",4, It is a very good game.in one app many games are there and it has very entertaining games
48,Krutika,"April 25, 2020",5, This is the best game . With many diff games In it and also knowledgeable levels..
49,sai priya,"April 10, 2020",1," if we are select 4 players,it will not display for 4 players while 2 players only showing"
50,Shakuntal Hanaji,"April 14, 2020",4," Good game, but question are easy make sure that u give govt exam question. So that many can install &learn"
51,Munshi Santanu,"March 20, 2020",5, It is best game because .It has six different types of games .It help us to know all general questions
52,Bushra Zainudeen,"March 28, 2020",5, Absolutely superb.. its very interesting game.. i love this game very much.. I recommend this game with my relatives and friends . 😍😍😍😍😍🎊
53,kusuma kusuma,"April 6, 2020",1, Questions are good but in that stupid ludo only opponents get 6s and I will not get till the half of the game finishes in multi-player 👎👎👎
54,tamil songs,"February 29, 2020",4, It improves our general knowledge so I like this game.but the one thing it stuck sometimes this was one problem of this game
55,Ramesh G,"April 12, 2020",4, Super game but no hints more and questions are difficult
56,Venom,"April 16, 2020",5, This game is very educational game it have many languages to select and many games to select
57,Guna Goud,"April 27, 2020",4, the questions should be of class 1 to 7 but they are ahead of it . very difficult questions are coming ludo unable to play with 3 or 4 members
58,Ankith Shridhar Ankith Shridhar,"April 8, 2020",5, Its really a good app I just loved it... And getting knowledge from this not only in kannada in English also
59,Kokilavani Ilango,"April 24, 2020",5, Super and very mind full game and one request by bitwin don't put ad but this very very super game
60,srinivas naidu,"April 27, 2020",4, I like the game but one thing is that we cant play 2 players.
61,Safiya,"February 11, 2020",4, it's best game app. but i give it 4 stars because in this app have 10 games only ... i need some more games in this game application. something like hago app .!!!
62,Rajasekar Ganesan,"April 4, 2020",4, Quite a good game. My son likes it too much and spend most of his time with it
63,Brajesh Tomar,"April 12, 2020",4," It's awesome this game has 9 games like ludo,snake & ladder etc."
64,Subramani Subramani,"April 15, 2020",4," Jalebi is a nice game I have playing past 6months it's have more game to play so it's not boring it's have offline and online matches, thank you"
65,Ruchi G,"April 11, 2020",5, It's a nice game..for a beginner it may become little difficult
66,Roshan modi,"April 23, 2020",2, Why we can't play 3 or 4 player at same time in local ludo...
67,sheeba ghosh,"April 11, 2020",1, Really this game is cheating they are saying multiplayer but when I play multiplayer most of the time meet same peoples
68,Hrishikesh Choppara,"April 17, 2020",5," Best game i had ever played, It gives good work to your brain, Best for timepass.........."
69,Jagadish Vp,"April 21, 2020",4," Nice game. To develop GK ,self confidence ..but adds!!!"
70,Tuktuk Antra,"April 21, 2020",4, Best game on goggle play..it is also fun and mindful game..
71,Rishona D'silva,"March 21, 2020",5, Awesome game. I rate it 5 stars and It contains lots of games.It is really fun not much advertisement in the game 😊😊😊😊😊😊😊😊😊😊🙂🙂👍👍👍
72,Arul Bala,"March 16, 2020",5, this game is very super. but jalebi game into many games are useful for life and your gifted many coopens. and voucher
73,lakshmeesh d.m,"April 10, 2020",1," Worst, though they told multiplayer but the fact is bot"
74,Rajaram,"April 23, 2020",5, Super time pass and also usefull some for some knowledge
75,Swarangi Vartak,"March 30, 2020",5, It increase knowledge and also very nice game. I Like it! Soo much...
76,black nightingale black nightingale,"April 3, 2020",3, It full good app but something is wrong It has maltiplayer
77,Ganesh G V,"April 13, 2020",3," Lot off adds, and lot off distrub from adding adding ads...."
78,sai seelathi,"March 20, 2020",2, Everytime I play ludo or snake &ladders it the computer which always wins evn tho I go to the end of the game I lose. I didn't like it Word connect games are nice
79,Maaya Mani,"March 16, 2020",1," Computer is playing totally unfair, like previously scripted. Feeling like uninstall"
80,AMIYA PRASAD PANDA,"February 10, 2020",5, Really a good game for students.It develops mental ability and word knowledge
81,No Subscribers,"April 14, 2020",1, It's the worst game I've ever seen in my entire life. It's just a waste of time. only in beginning we can win the game but later there is like no way u can win. I lost all my jalebis just because of ludo. PLEASE DON'T DOWNLOAD THIS GAME
82,SUDARSHAN YELLEWAD,"March 30, 2020",3, All is good but game should contain play with friends option..
83,shrikant dhange,"March 28, 2020",5, The app awesome we can learn so many languages and general knowledge and so many games
84,Indhu Mathi,"April 19, 2020",5, Very intresting all games. But missing chess.
85,Tara Prashanth,"April 12, 2020",5, it is a very good game for knowledge and I A S students must download this app it will be very helpful for them and all students.
86,V puzhal Puzhal,"April 10, 2020",5, It is a good game it is very helpful to know some general knowledge
87,rahul sachan,"March 11, 2020",1, Local mode for 3/4 player is not working for Ludo.
88,Rohit Shirsath,"March 24, 2020",5, Nice this game improving knowledge ...general knowledge and English knowledge..so this app excellent..
89,shaik aktarali,"April 26, 2020",5, I love this game because it helps me to increase my general knowledge and everything 😍😍😍😍
90,A Google user,"April 3, 2020",4," This is very funny to play jakobi but some other games shall also make it very funny, So I give 4 stars"
91,Meenu_ Meenu,"April 20, 2020",4, It's an interesting and a useful game..... children's can know many things through this game. ..
92,gayu 1998,"April 16, 2020",5, It's really superb game...... It helps to fresh up the mind.
93,Sumer Singh,"March 15, 2020",4, Nice game..😊..I really like it..😊.. But it has problem eski loading time laga deti hai..😅.. Par game..ATT HAI..😄..
94,Shalat Mathew,"March 26, 2020",2, This is a good game but in ludo I cant put more than 2players in local. Please do anything
95,Vikas Kumar,"March 20, 2020",4, It is awesome and make our mind stress free but they have to give more hints 👌👌👌👌👌
96,Laliyath Yadav Yadav,"April 18, 2020",5, I like multi player in this game. I like this game very much.
97,Adari Syamala,"March 30, 2020",4, It's very nice but there are no more levels further
98,Bhagya Bhagya,"February 29, 2020",3, I liked only three 🌟 because in ludo only two players can play that's why
99,Ajith Shetty,"February 19, 2020",5, It is very good game it will help to earn general knowledge for every people very good game
100,Bathiran Bathran,"March 30, 2020",5, Word search is very interesting game. So you also try the box of game
101,Raghu Ram Reddy,"April 7, 2020",5, Super game it improves our knowledge and concentration
102,keerthi suresh keerthi suresh,"April 6, 2020",4, Everything is nice but unable to play 3/4 members in ludo...pls give me a suggestion
103,anil patel,"April 25, 2020",5, This game was really a nice because its have 9 play boards or it is better than others
104,praveena r,"March 25, 2020",5, Very very nice game.....so intresting...very useful game... We can learn many tamil words...😍😘
105,Mohan 2004,"April 8, 2020",5, It's a game to play all variety of games. Its soo fun and enjoy to play
106,Smiley Sudhar,"March 28, 2020",5, Super game.I really like it when you know it's not that bad but I'm like it.
107,Jalpesh Rana,"April 24, 2020",5, This game is superb and attractive and for kids.
108,Nanthini Nanthini,"April 2, 2020",5, It's a very good game....and i am sure to know many words in tamil...its useful
109,Music Tube,"April 19, 2020",1, Very bad app In the ludo six is not coming I have played three multyplayer game And my six not came and he win What the hell very bad app
110,Sekar Mahalingam,"April 9, 2020",1, Worst game always hanging when we win. So this is very worst game
111,Neenu Jinesh,"February 10, 2020",1," Very boring and this game is not at all fun. When I install the game I think that it is a good game ,but when I play this game it is very very bad .So ,don't play this game"
112,Muneer Ahamad,"April 19, 2020",4, I enjoyed and I like this app I suggest download this you also like this
113,Richa Mathakar,"April 2, 2020",2, The number of hints are few so grow up hints number with every level
114,Gajjela vasudha ramesh,"February 20, 2020",5, It's very time pass game and meanwhile getting knowledge with more options
115,upendra kumar sahu,"April 25, 2020",3, This game is better than other game.... But it is still a good game for me and I am not sure what to do with this game since.
116,bindu a.v,"March 14, 2020",5, This a good game lot of languages and really love this when I down load this I think its good gor every one everything
117,Jogindar Sahani,"February 20, 2020",4, This is a very good game but Ludo system no fun.🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄🙄
118,Pinky Chouhan,"March 24, 2020",5, It is very delicious game. It is very interesting game. It is very wonderful game. I proud of this jilebi game. I like this game.$
119,annapurna siddesh,"April 8, 2020",5, it was very nice using this and a lot of time pass we can do in this national lockdown due to carona virus . stay safe
120,Prabha Kubal,"April 18, 2020",5, Mind blowing game what a game I have Never seen mind game like this It is also entertainment in one word awesome and 👌👌👌👌👌
121,Selvaraj B,"April 20, 2020",1, In ludo 3player and 4player mode not working pls correct it soon
122,Ganapa Mn,"March 1, 2020",4, This app had multiple choice questions games and more than happy to play those games
123,K.Samritha K.Samritha,"April 1, 2020",1, Everything is good but always the opponent wins expecially in Ludo. Whatever I do the opponent wins.Please dont download this game. If you want u can download I am not compaling.
124,mani Chavala,"April 7, 2020",1, Unable to play with 3 players
125,s.ashokkumaradvvsp@gmail.com ashokkumar,"April 25, 2020",4, It is very nice present mostly people are using this app
126,Nagalakshmiprakash Bangalore,"March 25, 2020",5, It is an amazing application by playing we get some knownledge it the best game to play
127,Deepak Gupta,"April 13, 2020",5, It is nice but same time it is very difficult
