index,author_name,review_date,reviewer_ratings,review_body
0,Florence McCarthy,"April 26, 2020",5, I've been using this app since the day it launched and it is my favorite way to quickly scan photos and documents. It works better than the built in scanner in Google Docs even with its updates. The app hasn't been updated since 19 Apul 2019 so PLEASE Google don't let another really great but little...Full ReviewI've been using this app since the day it launched and it is my favorite way to quickly scan photos and documents. It works better than the built in scanner in Google Docs even with its updates. The app hasn't been updated since 19 Apul 2019 so PLEASE Google don't let another really great but little known app fall disappear into the Google abyss.
1,Felipe M. C. Conti,"April 6, 2020",3," Great quality picture scanning, but unfortunately very poor in record the information about the picture. When you scan an old picture, it doesn't allow you to specify when was taken to our even add any other note to it. Everything gets saved with the date and time you scan the picture. I still like ...Full ReviewGreat quality picture scanning, but unfortunately very poor in record the information about the picture. When you scan an old picture, it doesn't allow you to specify when was taken to our even add any other note to it. Everything gets saved with the date and time you scan the picture. I still like and recommend the app, but wish this issue gets addresses."
2,Amitash M,"April 27, 2020",1," The app got spoilt after latest update. It hangs suddenly after the update. And please add an option to share scanned images in the app after selecting multiple images. And please turn off the auto rotate feature or atleast an option to toggle it. I'm happy that it doesn't say ""Scanned by PhotoScan""...Full ReviewThe app got spoilt after latest update. It hangs suddenly after the update. And please add an option to share scanned images in the app after selecting multiple images. And please turn off the auto rotate feature or atleast an option to toggle it. I'm happy that it doesn't say ""Scanned by PhotoScan"" at the bottom of the image."
3,Mike Birch,"February 15, 2020",5, App works wonderful. I had several photo albums that I wanted digital. They would have been impossible to take them apart without ruining them and the album pages were too big to use a flat bed scanner. With good lighting I was able to scan and crop the pages and they turned out as good as original.
4,Peter Quinn,"April 10, 2020",3, I want a great and fast photo copying app but this is worse than just taking a photo. It takes 4 clicks and 4 alignments for 1 photo. It doesn't always get the whole photo. It uses your flash draining the battery. It usually saves you cropping. Yes it does a job but is hard work.
5,Anusha K,"February 13, 2020",5," I love this app Works as told Best scanning feature What not.. It's from the company of Google.. Which makes it even more innovative and attractive It works for us and makes us feel free by rotating, cropping,and doing all the necessary things on its own. It reduces our work load What else to expect...Full ReviewI love this app Works as told Best scanning feature What not.. It's from the company of Google.. Which makes it even more innovative and attractive It works for us and makes us feel free by rotating, cropping,and doing all the necessary things on its own. It reduces our work load What else to expect.. Everything is amazing here"
6,Marc Weigert,"February 28, 2020",2," The resolution of the resulting scan is quite a bit lower than a regular image taken with the phone camera, resulting in sometimes unreadable text, making the app basically useless. I like the concept of merging 4 pics to remove glare (works partially) and getting a straighter image, but with the lo...Full ReviewThe resolution of the resulting scan is quite a bit lower than a regular image taken with the phone camera, resulting in sometimes unreadable text, making the app basically useless. I like the concept of merging 4 pics to remove glare (works partially) and getting a straighter image, but with the low resolution it's not useful."
7,Jasmine Voncina,"February 17, 2020",1," This app does not remove glare from photos, no matter how many times I've tried. Flash on or off, multiple lighting settings. Every time a photo finishes processing, all I'm left with is the initial photo taken in the app. And before it's suggested, I definitely have glare removal switched on."
8,Roger Aldrich,"March 2, 2020",4, I have scanned over 600 family photos mostly from the early 1900's and before. It works well once I figured out the optimum placement of the photo and light settings. I am still getting some with glare but I can usually scan a second time and avoid it.
9,Beliza S,"April 20, 2020",5, I don't own a scanner and have always had trouble taking pictures of tangible photos in order to share them with others. This app is easy to use and divers amazing quality. Great job!!!!
