index,author_name,review_date,reviewer_ratings,review_body
0,CS Graham,"April 29, 2020",1," Playlists are a major headache. Looking under the menu item ""Playlists"" there is no create option. You must pick a track to add to a playlist and choose the option to add it to a new playlist. There if you add a directory to a playlist you see its name only. You will see its contents selecting the d...Full ReviewPlaylists are a major headache. Looking under the menu item ""Playlists"" there is no create option. You must pick a track to add to a playlist and choose the option to add it to a new playlist. There if you add a directory to a playlist you see its name only. You will see its contents selecting the directory and doing something, but I'm not quite sure what it is. There is no way to select multiple tracks to add all at once to a playlist."
1,Marshall VanOort,"April 29, 2020",3," I've loved the VLC player for as long as I've had it, but recently, it's become almost unusable. Whenever I use Bluetooth headphones to listen, the first second of each song is ""cut."" When trying to listen to music, this can be really, really annoying. I'm not sure which update introduced this issue...Full ReviewI've loved the VLC player for as long as I've had it, but recently, it's become almost unusable. Whenever I use Bluetooth headphones to listen, the first second of each song is ""cut."" When trying to listen to music, this can be really, really annoying. I'm not sure which update introduced this issue, but it's awful. I tried switching to a different media player, and the audio was fine, so it's an issue solely with VLC. It sucks that I have to use some other app until this is fixed."
2,Tom Rowe,"April 29, 2020",1, Used to be my Player of Choice. But the latest version seems to have lots of bugs. Black screen on start up if it does start just a white blank screen. Uninstalling and reinstalling will fix the problems for a while but then the same problems return. Will have to look for a more reliable player. Whi...Full ReviewUsed to be my Player of Choice. But the latest version seems to have lots of bugs. Black screen on start up if it does start just a white blank screen. Uninstalling and reinstalling will fix the problems for a while but then the same problems return. Will have to look for a more reliable player. Which is a shame as this is the first time I have had problems with VLC. Recent reviews would indicate that other users are also having problems.
3,Soumyo Biswas,"April 29, 2020",2," I have some Russian and Japanese songs in my tracklist. Whenever I scroll down and get to those songs below all the English songs I have, the app refreshes the list within a second or two and there are no more songs in the library according to it. Refreshing it has no effect. I have to wipe it out f...Full ReviewI have some Russian and Japanese songs in my tracklist. Whenever I scroll down and get to those songs below all the English songs I have, the app refreshes the list within a second or two and there are no more songs in the library according to it. Refreshing it has no effect. I have to wipe it out from the memory and reopen the app to see all the songs again. And once again if I scroll down there the story repeats. Please find a fix for this. This never happened before getting songs in Russian."
4,Vivek Patel,"April 22, 2020",5," This app is as good as it's desktop counterpart. It supports hundreds of file formats and will play anything you their at it. For example, I couldn't play .wma files on Google play music, but VLC solved ask these problems. However there's one bug: flac files sometimes appear to have no length. This ...Full ReviewThis app is as good as it's desktop counterpart. It supports hundreds of file formats and will play anything you their at it. For example, I couldn't play .wma files on Google play music, but VLC solved ask these problems. However there's one bug: flac files sometimes appear to have no length. This doesn't affect playback, but it means you can't skip ahead."
5,Lynn Atherley,"April 20, 2020",4," This app has been working great so far, especially when I have my bluetooth speakers connected to my phone. But now since I updated this app, when I'm watching my movies with my bluetooth speakers it wants to cut the audio out for a few seconds and then comes back on. And it does it about every minu...Full ReviewThis app has been working great so far, especially when I have my bluetooth speakers connected to my phone. But now since I updated this app, when I'm watching my movies with my bluetooth speakers it wants to cut the audio out for a few seconds and then comes back on. And it does it about every minute through the movie. Talk about a mood killer! Please fix this problem, cause it really sucks having to watch a movie without my bluetooth speakers."
6,Euclid Megara,"April 25, 2020",4," Great, simple music app. I don't like other apps because they all try to get you to stream, this one doesn't push stuff you don't want. I just wish that playlists were more quickly accessable when browsing your music collection: you have to leave audio and select playlists to see them, would be bett...Full ReviewGreat, simple music app. I don't like other apps because they all try to get you to stream, this one doesn't push stuff you don't want. I just wish that playlists were more quickly accessable when browsing your music collection: you have to leave audio and select playlists to see them, would be better if they were available via the menu at the top of the audio screen were genera, artist, album, etc. are located."
7,Katherine Bonay,"April 25, 2020",1," I've only used it for audio, but the program shuts down as soon as it is paused for too long, or when another app is opened. And the file (if opened via an external program) is not stored in the VLC play history, yet if I reopen it externally in VLC, half the time it starts from where it cut off. on...Full ReviewI've only used it for audio, but the program shuts down as soon as it is paused for too long, or when another app is opened. And the file (if opened via an external program) is not stored in the VLC play history, yet if I reopen it externally in VLC, half the time it starts from where it cut off. only positives are that it's nice to be able to jump to a certain time stamp, set up a sleep timer, and adjust the playback speed, but the rest is bad enough that I will be uninstalling this app."
8,Anton B,"April 28, 2020",3," Using this player for live radio (online m3u stream) in background mode for an two or three years... And elementary bugs still not fixed. Mmmm.... Whereis delete button (or clear) in stream history list? Why this nice player closes where internet switches from mobile to wifi or other way?? Why this ...Full ReviewUsing this player for live radio (online m3u stream) in background mode for an two or three years... And elementary bugs still not fixed. Mmmm.... Whereis delete button (or clear) in stream history list? Why this nice player closes where internet switches from mobile to wifi or other way?? Why this nice player do not want to work more than 15 minutes in background? Every time i have to run player and by hands write down url (but now there is memory of urls, thanks)."
9,Nikos Orologas,"April 20, 2020",4," It's what you'd expect from VLC. Plays any file, performs smoothly and allows customization. What I miss and really need to make this a 5 star experience is to be able to change the position of subtitles, like in the PC version. For devices like mine with 18:9 or other cinematic screen ratios, if wa...Full ReviewIt's what you'd expect from VLC. Plays any file, performs smoothly and allows customization. What I miss and really need to make this a 5 star experience is to be able to change the position of subtitles, like in the PC version. For devices like mine with 18:9 or other cinematic screen ratios, if watching a made for TV screen program, I want to take advantage of the full screen, so I zoom in a little to fill my whole screen and the subs are getting cuted out when I do that."
10,Shinoj Kumar,"April 23, 2020",1," When the screen locks, the app being kept on pause, the app crashes when the screen is unlocked. I have to restart the app again to play the video. Sometimes the video plays from where it crashes and sometimes it starts from the beginning. Please fix this. Other than this the app is very comfortable...Full ReviewWhen the screen locks, the app being kept on pause, the app crashes when the screen is unlocked. I have to restart the app again to play the video. Sometimes the video plays from where it crashes and sometimes it starts from the beginning. Please fix this. Other than this the app is very comfortable for me. One more request. Please include Movie in equaliser with movie effects coz the app is mostly used by users to watch movies, not to listen to MP3s."
