index,author_name,review_date,reviewer_ratings,review_body
0,Chloei Guerrero,"April 15, 2020",2," Pls fix your application. It always crashes and freezes. I'm using this for work, when Im out i cant access to desktop so i badly need the mobile app version and it doesn't open most of the time makes my phone hung. Pls fix the issues."
1,Arnout de Boer,"April 17, 2020",1," Fails to start at times, limited functionality, slow. Please fix this and make a proper app to be able to properly manage ad accounts."
2,asfred101,"April 15, 2020",1," Facebook have stopped my account as soon as I started running a campaign, and now I can't get in to manage it, even though they are charging me for it."
3,Angelo DeCesare,"April 11, 2020",3, It's a bit ridiculous that you cannot open the actual post that is being promoted from this Ads App. PLEASE FIX!
4,Hans Jonathan,"February 20, 2020",1," The worst UI ever. No consideration on UX whatsoever. Hands down the worst app in the entire Play Store. You just cannot fathom how bad it is. It says my account disabled without telling why it is disabled, or notification that is was disabled. Ads campaign run and stop by itself. My campaign pendin...Full ReviewThe worst UI ever. No consideration on UX whatsoever. Hands down the worst app in the entire Play Store. You just cannot fathom how bad it is. It says my account disabled without telling why it is disabled, or notification that is was disabled. Ads campaign run and stop by itself. My campaign pending review is like a game of chance without clear guidelines on what was being considered. I only promote my IG landscape photos while they do not take down abusive racist content on the platform."
5,Fakrul Islam,"April 3, 2020",1," Poor app performance, after updating it has stopped showing ad preview and I'm not able to search ad account by name. Totally worthless app."
6,Fabrizio De Santis,"April 3, 2020",1," Every time i open this app the screen freezes white, i have a Samsung S9. I have to close all apps to make this app work"
7,kermxx x,"April 12, 2020",1," Cant log in, even after I verified my two factor authentication. Just does nothing."
8,sankalp nanda,"April 14, 2020",1, While your paid amount won't reflect and hour ads won't run. They won't respond to mails or messages.
9,Jad Smadi,"March 15, 2020",1," The rate of reach on after paying is much more less than the range they supply before starting the boost. Facebook is totally un-honest in taking money. Add to that, their likes are always dropping off especially after paying for anything, looks like you provoke them to steal you when you show the p...Full ReviewThe rate of reach on after paying is much more less than the range they supply before starting the boost. Facebook is totally un-honest in taking money. Add to that, their likes are always dropping off especially after paying for anything, looks like you provoke them to steal you when you show the potential of paying."
10,Jay Chaudhary,"April 14, 2020",1," Payment deducted twice and no ad shown, simply it didn't reflect on This App"
11,Poramate Homprakob,"February 6, 2020",1," Bad ux. Same function can be accessed from multiple source. Almost all edit function show toast indicates successful, but when i click to see details, it is still like before editting."
12,Aforeign Native,"March 18, 2020",2," Since last update, unable to save any edits of images I make using the app. Not able to boost Instagram posts; took a day to get an ad reviewed and approved but only 1 image was showing among the 5."
13,Krystal C,"February 20, 2020",1, Do not want push notifications - not just a 24 hr pause. Used to work if you unchecked all notification types. Now it ignores it and constantly sends notifications to your phone.
14,Ivan Kok,"April 23, 2020",1, This app got open problem in MIUI ver 11 in Xiaomi Mi 9 phone.
15,Dan Leonard,"March 11, 2020",1, The beautiful blank white screen I get when loading the app reminds me of the old flashlight apps for iPod touch that used the screen as the light source before we had led flash on board.
16,ChiomaConstance,"February 13, 2020",1," I always have challenges whenever I want to create an Ad A message ""Unfortunately Ads has stopped"" pops in all the time. It sucks Please fix this"
17,anmol deshpande,"February 26, 2020",2, Interface is not simple and not helping me manage my ads. Fails to load pages quite often. Need to fix this!
18,Minh TRI Do,"March 19, 2020",1," Cannot log in. It always ask for security check. After done security check, it ask again ??? What was the issue with this app ?"
