index,author_name,review_date,reviewer_ratings,review_body
0,serenityblue,"June 30, 2019",2,"Misleading, messy and causes me to be late for work When I got a Lyft and the driver’s car smelled absolutely disgusting, like vomit, I reached out to customer service to ask for a refund. It’s been almost a week and no one has gotten back to me. It’s also ridiculous that there is no public number or email to reach out to. You can only get help through the app and then you have to answer questions about your problem so you can be directed to an FAQ kind of answer. You’d have to click a vague option to get directed to a page where you can write to customer service. But then you’ll probably never hear back. "
1,D o n n a,"June 3, 2019",5,"Your App Your app is not user-friendly. This is the first time I have it used Lyft. Trying to navigate to scheduling a ride ahead of time was cumbersome. I had to Google how to do it since it wasn’t apparent.  Also, after I finally was able to get that done, there was nowhere that I could find to confirm that it went through. I went to your help section and emailed you regarding this and ask for a response to confirm. First of all in your drop-down menus which I had to pick a selection from each, there was one section that did not cover what I was writing you about. Number two I never have gotten a response from that email. I would suggest that you have a chat section so questions can be answered right away. My driver was great, but your app leaves a lot to be desired. I would like to see an apparent place that you can easily schedule ahead of time. When I googled, it told me to look for a little clock. There was no little clock on my app. I had to Google even further to eventually find out how to navigate to selecting a future time. I am hoping that you deal with these issues to make it easier to schedule with you. Uber has it all over you as far as ease-of-use on the app. I don’t want to be insulting, but I would like to use Lyft more. Please improve your app."
2,sunte34,"December 9, 2019",2,"Lyft pink pass Please no one should fall for this scam this is not a deal lyft advertises that the lyft pass offer deals and 15% on unlimited rides. My fare price for 20mi is at max 28 dollars with heavy traffic and bad weather conditions. Now since I signed up for the lyft pass I received a 15% discount on only two of my rides. After those two trips the base price of my regular ride I use to commute to and from work only spiked up to 34 to 44 Dollars. I called and explained to lyft on how can my base price rise so high if all of my ride history for months never were that price ,now that I’m a lyft pink pass member. There explanation was that at that time the rate for drivers and rides were higher so I gave it a chance to see if they’re telling the truth or robbing customers money. I come to find out lyft did lie to me I’ve been checking every hr for two days now and my base price still is over 34$ there’s absolutely no way that the demands are high that it’s being calculated correctly. I canceled my ride pass and my base price is now back at 28$ at max fare. This is a complete scam and false advertisement. If you sign up for the lyft pass you will not be saving money that’s for sure all they’re going to do is raise the base price you were paying so you’ll still be paying the same price as before except your giving them a extra twenty dollars a month to do it. I hope that a law firm adds how much money is being stolen from customers and sues lyft for what they’re doing."
3,My5t1c_tac0,"August 29, 2019",5,"Love Drivers, Hate Algos I take a Lyft almost every day and all over the country.  Lyft is far and away a more responsible choice than Uber.  They treat the drivers better, take their safety concerns seriously, and reward them for providing a good customer experience.  Women drivers I’ve talked to overwhelmingly prefer it."
4,durph22,"October 20, 2018",5,"Used to be better I don’t know what’s been going on with this app, but it has been absolutely frustrating and getting worse. Today I requested a pickup, and automatically it asks if I want to be picked up at work (I’m assuming because I request there a lot), but today I was a few blocks away so I had to adjust where I wanted to be picked up. I set my current location as pickup and confirmed it. I got a notification when the driver was a minute away, I check the app, and he’s at my work. The place I made sure it wasn’t set to pick me up. So I cancelled the ride, asked for the $5 cancellation fee to be reversed, and tried again. I TRIPLE checked that my location was set probably and yet, the driver was set to pick me up at work, the wrong location. This time however, I clicked “edit pickup” and dragged the curser directly over my location, DIRECTLY, over it, clicked confirm and suddenly the cursor automatically moves a block away from where I placed it and then won’t let me change again. So I had to call my driver and give him my own directions to find me. My 10 minute trip quickly turned into much longer. I never had these experiences with Lyft before but recently they’ve been happening so often it might just be worth it to take the bus."
5,shivashivs,"November 11, 2019",1,"Non existent customer service I have used Lyft for years and in different countries and I honestly say that had the web got bigger the quality got so much worse . It’s like anyone can be a driver but no upkeep or checks are done . They can come smelling of weed or just dirty , speak to you however they want , be incredibly rude , txt driving . And the customer has no way of reporting it coz there like 3 auto responses available to contact you. Drivers cancel out rides on purpose or like one I m on right now didn’t stop at my location and will activate “ your ride is here timer “ before even stopping the car. I literally was sitting in my drive way and saw him pass by. When I called him , he didn’t want to drive back even tho he’s the one that didn’t stop at the right place . Last week your driver was so rude I refused to get in the car . He held my ride for 47 mins . I was trapped . Coz he didn’t want to cancel and I didn’t think it was right for me to do so. I have lost count of how many time the driver didn’t speak English to the point of not understanding left and right . Bottom line is you take our money and leave us with the rudest,  unprofessional drivers and give us close to no option to communicate with you. And if god forbid we want to cancel coz of one of these situations , we are charged. You figured out the algorithm into my bank account , but clearly have very long way to go with basic manners and customer service from both your drivers and your general services."
6,Farishtaaaaaa,"October 25, 2019",1,Fraud I normally use Uber. I trust Uber more than Lyft. One of my sister is using Lyft since 1 year and she’s fine. Yesterday I had a dentist and took off wisdom teeth after a while I downloaded the Lyft app and I made account then I booked a ride for $7.58 from dentist to my work it was a very important to get to my work before afternoon. I had to submit some important information to HR. I booked the ride and they gave me an stupid driver who was totally over than retirement age even though he’s supposed to drive deaf man.  After standing for 15-20 minutes the app shows he’s arrived and they were asking to look for gray ford 2011 David name old man. Tell me one thing how could I get to him when there was a parking lot and there was already all parked cars no one came there with Lyft tag on their front. I called the driver 4-6 times 3 times he picked up and just said HELLO and he hanged up. He did the same for 3 times after that he dropped my calls n didn’t replied my msg I send him that I’m in front of densit hospital where are you. Then he just maked 5 minutes and he left me there without replying without responding to my calls. In few seconds I booked another ride they charged me the fee without ride without getting me to my destination. It was a 100 times hate and regret for me why even I made the Lyft I hate it . Now I’m sending this review and their system isn’t allowing me they’re asking for nickname I tried 7 nickname they’re rejecting.. why? Bcz they’re scammers
7,SpANKY050,"February 4, 2020",4,Drivers Absolutely love using this app . The only reason I give it 4 stars instead of 5 is because of the different types of drivers . Granted majority of the time I get great drivers . I’ve been using this app on and off for 3 years now . In the 3 years I’ve used this app I’ve come across 4-5 horrible drivers . I feel as though hygiene should b a MuST ! I got a driver today who was of the Indian culture and did not have any type of fragrance or deodorant on . I understand for some types of religion it’s a no no . But if your job requires you to interact with the public in a commercial capacity you should at the very least wear deodorant or powder . Something to mask the HORRIBLE smell !!! Other than that it’s a solid 4 star for me . They usually pick you up right at the location you put in. I would suggest the engineers or whoever to fix the location services . I have used just my location at times instead of typing in the adress to where I am located and 6 times so far I’ve been picked up in the wrong location . Aka up the block or up the block and across the street . Across the highway . So that part is bad . Other then those 2 issues and the fact that the drivers are people and have “ mood swings” I have no complaints . It’s a relatively good app all around.
8,kwadublin,"January 17, 2019",5,"Need an easier way to get receipts for expense reporting Been using Lyft for a while when it became my company’s preferred ride share provider.  The service itself has been great. My gripe is the receipts you get. The email receipts you send after a ride are totally useless for expense reporting. The format you use doesn’t allow the payment info to print on the page.  I even tried landscape mode and it still doesn’t work.  You have a zillion business users.  We need to attach receipts to expense reports electronically.  PDF versions that are concise and under one page are what we need.  As it is now, I’m forced to snap a photo/JPG on my phone and then convert it to PDF and then email it to myself. That’s nuts!  The email you send takes 3 pages to print, and even then, the format doesn’t have the expense info on it because of the crazy formatting you use.  I tried going to my account on your website and there is no ride history data to allow you to get a receipt there.  You guys really put no thought into making this easy for business users.  If I have to keep doing this I will probably just go back to Uber simply to get receipts easier. I’d gladly talk to anyone there about this.  Thanks."
9,dntrcjjfil,"June 26, 2019",4,"Don’t trust current location. Several times lately I’ve found that if I didn’t specify where I was by entering an address the Lyft driver could not find me. I asked a Lyft driver, who had grown up in Seattle what the problem was. He suggested I always enter an exact address, even if I had to look it up in advance. I did that this morning and tonight and had a better experience. If we add inexperienced drivers in a location to the problem of the satellite location you can be texting with a driver who is on the other side of the block and doesn’t understand you are waiting at the front door of the hall “Town Hall” Seattle, Wa. Not only that but this morning I entered an address where I was at a diner and the program auto changed it to Coleman Dock 2-3 blocks away. What gives?  I am writing on my husbands phone. I’m Dusty Collings. We are traveling together and we take turns calling Lyft. I think, & hope you can make some refinements to the experience. I don’t like having to pay for a driver who is in the wrong location and doesn’t want to drive around the block to pick me up. It wasn’t my fault and I had to pay the fee for standing him up. Not really fair. I have a walking disability and I try limit the number of steps I take. Thanks."
